dataset	optimizer	elapsed_seconds	joint_convergence	null_iterations	alternative_iterations	statistic	null_objective	alternative_objective	hessian_vector_evaluations	hessian_vector_seconds
mouse	lbfgs	40.5199897037819	True	118	63	17.408880105384014	12265.840369695043	12257.13592964235	0	0.0
mouse	trust_ncg_20	90.41400229372084	False	20	20	1269.0232299995769	13199.82839178617	12565.316776786382	261	67.28438355301158
human	lbfgs	54.33758332300931	True	40	81	343.6060021741723	42076.560957876165	41904.75795678908	0	0.0
human	trust_ncg_20	151.3577962499112	False	20	20	52.498825201866566	42303.728053030754	42277.47864042982	251	125.38062130566686
