dataset	method	job_ids	tasks	completed_tasks	failed_tasks	aggregate_task_hours	cpu_hours	median_task_minutes	p90_task_minutes	campaign_hours	peak_memory_gib
mouse	analytic	19702818,19703171	97	97	0	38.40555555555556	72.68044416666666	23.583333333333332	25.816666666666666	0.5047222222222222	4.8095855712890625
mouse	autodiff	19644785	256	256	0	87.6036111111111	145.23515	19.241666666666667	35.333333333333336	1.2297222222222222	4.741962432861328
human	analytic	19703904,19703905	769	769	0	258.1036111111111	495.03629416666666	20.383333333333333	23.030000000000005	2.325277777777778	6.157077789306641
human	autodiff	19644787	1024	1024	0	631.0491666666667	1058.2936122222222	35.81666666666667	59.27833333333336	4.007777777777778	6.831981658935547
