dataset	tests	analytic_joint_convergence	production_joint_convergence	common_joint_convergence	analytic_bh_discoveries	production_bh_discoveries	shared_bh_discoveries	discovery_jaccard	median_absolute_lrt_difference	maximum_absolute_lrt_difference	analytic_fit_hours	analytic_worker_hours	production_worker_hours	worker_speedup
mouse	4825	4546	4546	4546	322	323	322	0.9969040247678018	3.637978807091713e-12	6.832500878288563	12.145252015946964	12.565833333	31.18	2.4813316533584806
human	11597	10982	10981	10978	1463	1459	1458	0.9959016393442623	1.404254490466883e-09	26.67948484484168	54.60519600334286	55.165	98.39	1.7835584156621047
mouse_condition	14833	13779	13779	13779	3	3	3	1.0	2.2737367544323206e-13	0.2294921093334778	37.90063042313449	38.405555556	87.603611111	2.281013703243207
human_condition	73144	68774	68771	68767	193	193	193	1.0	9.094947017729282e-13	3.031102712359484	254.25193675431208	258.103611111	631.049166667	2.444945128627476
