comparison	method	shared_genes	fold0_bh	fold1_bh	replicated_bh	heldout_nominal_replication	spearman_logp	shared_gene_pairs
Tealeaf EC GLMM vs LeafCutter	Tealeaf EC GLMM	138	20	14	10	0.8392857142857143	0.5608874205704623	739
Tealeaf EC GLMM vs LeafCutter	LeafCutter	138	38	43	25	0.7435740514075888	0.5372724702088881	739
Tealeaf EC GLMM vs MAJIQ Heterogen	Tealeaf EC GLMM	475	26	32	17	0.8485576923076923	0.3936408262341291	2471
Tealeaf EC GLMM vs MAJIQ Heterogen	MAJIQ Heterogen	475	55	117	38	0.6922299922299922	0.4321328756682806	2471
Tealeaf EC GLMM vs scQuint	Tealeaf EC GLMM	494	27	35	17	0.8301587301587301	0.3657709323333929	2519
Tealeaf EC GLMM vs scQuint	scQuint	494	88	97	57	0.7729615745079663	0.46392829262478025	2519
