comparison	method	k	overlap	overlap_fraction	shared_gene_pairs
Tealeaf EC GLMM vs LeafCutter	Tealeaf EC GLMM	25	18	0.72	172
Tealeaf EC GLMM vs LeafCutter	Tealeaf EC GLMM	36	36	1.0	172
Tealeaf EC GLMM vs LeafCutter	Tealeaf EC GLMM	36	36	1.0	172
Tealeaf EC GLMM vs LeafCutter	Tealeaf EC GLMM	36	36	1.0	172
Tealeaf EC GLMM vs LeafCutter	Tealeaf EC GLMM	36	36	1.0	172
Tealeaf EC GLMM vs LeafCutter	LeafCutter	25	20	0.8	172
Tealeaf EC GLMM vs LeafCutter	LeafCutter	36	36	1.0	172
Tealeaf EC GLMM vs LeafCutter	LeafCutter	36	36	1.0	172
Tealeaf EC GLMM vs LeafCutter	LeafCutter	36	36	1.0	172
Tealeaf EC GLMM vs LeafCutter	LeafCutter	36	36	1.0	172
Tealeaf EC GLMM vs MAJIQ Heterogen	Tealeaf EC GLMM	25	15	0.6	364
Tealeaf EC GLMM vs MAJIQ Heterogen	Tealeaf EC GLMM	50	42	0.84	364
Tealeaf EC GLMM vs MAJIQ Heterogen	Tealeaf EC GLMM	63	63	1.0	364
Tealeaf EC GLMM vs MAJIQ Heterogen	Tealeaf EC GLMM	63	63	1.0	364
Tealeaf EC GLMM vs MAJIQ Heterogen	Tealeaf EC GLMM	63	63	1.0	364
Tealeaf EC GLMM vs MAJIQ Heterogen	MAJIQ Heterogen	25	18	0.72	364
Tealeaf EC GLMM vs MAJIQ Heterogen	MAJIQ Heterogen	50	41	0.82	364
Tealeaf EC GLMM vs MAJIQ Heterogen	MAJIQ Heterogen	63	63	1.0	364
Tealeaf EC GLMM vs MAJIQ Heterogen	MAJIQ Heterogen	63	63	1.0	364
Tealeaf EC GLMM vs MAJIQ Heterogen	MAJIQ Heterogen	63	63	1.0	364
Tealeaf EC GLMM vs scQuint	Tealeaf EC GLMM	25	14	0.56	337
Tealeaf EC GLMM vs scQuint	Tealeaf EC GLMM	50	43	0.86	337
Tealeaf EC GLMM vs scQuint	Tealeaf EC GLMM	61	61	1.0	337
Tealeaf EC GLMM vs scQuint	Tealeaf EC GLMM	61	61	1.0	337
Tealeaf EC GLMM vs scQuint	Tealeaf EC GLMM	61	61	1.0	337
Tealeaf EC GLMM vs scQuint	scQuint	25	18	0.72	337
Tealeaf EC GLMM vs scQuint	scQuint	50	43	0.86	337
Tealeaf EC GLMM vs scQuint	scQuint	61	61	1.0	337
Tealeaf EC GLMM vs scQuint	scQuint	61	61	1.0	337
Tealeaf EC GLMM vs scQuint	scQuint	61	61	1.0	337
