event	subject	cell_type	primer	spliced_umis
App	A_8	INH_midbrain	poly(dT)	6
App	A_8	INH_midbrain	random hexamer	116
App	A_8	INH_migrating_interneuron	poly(dT)	4
App	A_8	INH_migrating_interneuron	random hexamer	61
App	A_8	ODC	poly(dT)	3
App	A_8	ODC	random hexamer	31
App	A_9	ASC	poly(dT)	1
App	A_9	ASC	random hexamer	4
App	A_9	EX_cerebellum_granule	poly(dT)	16
App	A_9	EX_cerebellum_granule	random hexamer	1
App	A_9	EX_cortical	poly(dT)	22
App	A_9	EX_cortical	random hexamer	9
App	A_9	EX_hippocampus_pyramidal	poly(dT)	1
App	A_9	EX_hippocampus_pyramidal	random hexamer	2
App	A_9	EX_thalamus	poly(dT)	5
App	A_9	INH_medium_spiny	poly(dT)	1
App	A_9	INH_medium_spiny	random hexamer	3
App	A_9	INH_midbrain	poly(dT)	5
App	A_9	INH_midbrain	random hexamer	1
App	A_9	INH_migrating_interneuron	poly(dT)	3
App	A_9	INH_migrating_interneuron	random hexamer	3
App	B_1	ASC	poly(dT)	7
App	B_1	ASC	random hexamer	4
App	B_1	EX_cerebellum_granule	poly(dT)	7
App	B_1	EX_cerebellum_granule	random hexamer	10
App	B_1	EX_cortical	poly(dT)	19
App	B_1	EX_cortical	random hexamer	58
App	B_1	EX_hippocampus_granule	poly(dT)	1
App	B_1	EX_hippocampus_pyramidal	random hexamer	2
App	B_1	EX_thalamus	random hexamer	1
App	B_1	INH_medium_spiny	poly(dT)	12
App	B_1	INH_medium_spiny	random hexamer	16
App	B_1	INH_midbrain	poly(dT)	9
App	B_1	INH_midbrain	random hexamer	31
App	B_1	INH_migrating_interneuron	poly(dT)	10
App	B_1	INH_migrating_interneuron	random hexamer	9
App	B_1	ODC	poly(dT)	1
App	B_1	ODC	random hexamer	9
App	B_2	ASC	poly(dT)	4
App	B_2	ASC	random hexamer	4
App	B_2	EX_cerebellum_granule	poly(dT)	8
App	B_2	EX_cerebellum_granule	random hexamer	2
App	B_2	EX_cortical	poly(dT)	35
App	B_2	EX_cortical	random hexamer	22
App	B_2	EX_hippocampus_granule	poly(dT)	3
App	B_2	EX_hippocampus_granule	random hexamer	7
App	B_2	EX_hippocampus_pyramidal	poly(dT)	7
App	B_2	EX_hippocampus_pyramidal	random hexamer	2
App	B_2	EX_thalamus	poly(dT)	2
App	B_2	EX_thalamus	random hexamer	7
App	B_2	INH_medium_spiny	poly(dT)	40
App	B_2	INH_medium_spiny	random hexamer	18
App	B_2	INH_midbrain	poly(dT)	36
App	B_2	INH_midbrain	random hexamer	33
App	B_2	INH_migrating_interneuron	poly(dT)	9
App	B_2	INH_migrating_interneuron	random hexamer	9
App	B_2	ODC	poly(dT)	20
App	B_2	ODC	random hexamer	30
App	B_3	ASC	poly(dT)	5
App	B_3	ASC	random hexamer	16
App	B_3	EX_cerebellum_granule	poly(dT)	1
App	B_3	EX_cerebellum_granule	random hexamer	7
App	B_3	EX_cortical	poly(dT)	49
App	B_3	EX_cortical	random hexamer	46
App	B_3	EX_hippocampus_granule	poly(dT)	3
App	B_3	EX_hippocampus_granule	random hexamer	6
App	B_3	EX_hippocampus_pyramidal	poly(dT)	2
App	B_3	EX_hippocampus_pyramidal	random hexamer	3
App	B_3	EX_thalamus	poly(dT)	2
App	B_3	EX_thalamus	random hexamer	2
App	B_3	INH_medium_spiny	poly(dT)	1
App	B_3	INH_medium_spiny	random hexamer	10
App	B_3	INH_midbrain	poly(dT)	5
App	B_3	INH_midbrain	random hexamer	14
App	B_3	INH_migrating_interneuron	poly(dT)	1
App	B_3	INH_migrating_interneuron	random hexamer	6
App	B_3	ODC	random hexamer	6
App	B_4	ASC	poly(dT)	3
App	B_4	ASC	random hexamer	2
App	B_4	EX_cerebellum_granule	poly(dT)	3
App	B_4	EX_cerebellum_granule	random hexamer	2
App	B_4	EX_cortical	poly(dT)	1
App	B_4	EX_cortical	random hexamer	1
App	B_4	EX_hippocampus_granule	poly(dT)	1
App	B_4	EX_hippocampus_granule	random hexamer	1
App	B_4	EX_thalamus	poly(dT)	3
App	B_4	INH_medium_spiny	poly(dT)	1
App	B_4	INH_midbrain	poly(dT)	6
App	B_4	INH_midbrain	random hexamer	6
App	B_4	INH_migrating_interneuron	poly(dT)	4
App	B_4	INH_migrating_interneuron	random hexamer	2
App	B_4	ODC	poly(dT)	11
App	B_4	ODC	random hexamer	1
