test_id	cell_type	path	path_number	n_subjects	mean_proportion	sd_proportion	se_proportion
ENSMUSG00000022892.12:B3	ASC	Path 1	1	22	0.05163639250688708	0.048588638190898495	0.01035913246904313
ENSMUSG00000022892.12:B3	ASC	Path 2	2	22	0.948363607493113	0.04858863819089848	0.010359132469043127
ENSMUSG00000022892.12:B3	EX_cerebellum_granule	Path 1	1	18	0.025632956678030807	0.02654112270225467	0.006255802614356168
ENSMUSG00000022892.12:B3	EX_cerebellum_granule	Path 2	2	18	0.9743670433219691	0.026541122702254637	0.00625580261435616
ENSMUSG00000022892.12:B3	EX_cortical	Path 1	1	46	0.01666804314336851	0.013154416371746018	0.0019395128819262373
ENSMUSG00000022892.12:B3	EX_cortical	Path 2	2	46	0.9833319568566314	0.013154416371746021	0.001939512881926238
ENSMUSG00000022892.12:B3	EX_hippocampus_pyramidal	Path 1	1	4	0.0311889836669502	0.01346993991334295	0.006734969956671475
ENSMUSG00000022892.12:B3	EX_hippocampus_pyramidal	Path 2	2	4	0.9688110163330498	0.01346993991334288	0.00673496995667144
ENSMUSG00000022892.12:B3	EX_thalamus	Path 1	1	4	0.029749746379973276	0.010537577251193262	0.005268788625596631
ENSMUSG00000022892.12:B3	EX_thalamus	Path 2	2	4	0.9702502536200266	0.010537577251193263	0.005268788625596632
ENSMUSG00000022892.12:B3	INH_medium_spiny	Path 1	1	28	0.035927310907346945	0.03129470517282345	0.005914143374312676
ENSMUSG00000022892.12:B3	INH_medium_spiny	Path 2	2	28	0.9640726890926531	0.03129470517282346	0.005914143374312678
ENSMUSG00000022892.12:B3	INH_midbrain	Path 1	1	38	0.02246192677748295	0.013084393368247743	0.002122568886831074
ENSMUSG00000022892.12:B3	INH_midbrain	Path 2	2	38	0.9775380732225171	0.013084393368247698	0.0021225688868310665
ENSMUSG00000022892.12:B3	INH_migrating_interneuron	Path 1	1	33	0.023518666203476594	0.012296801293581528	0.0021405983449396654
ENSMUSG00000022892.12:B3	INH_migrating_interneuron	Path 2	2	33	0.9764813337965234	0.012296801293581532	0.002140598344939666
ENSMUSG00000022892.12:B3	ODC	Path 1	1	13	0.029952662749789378	0.022085728297901546	0.006125478910311542
ENSMUSG00000022892.12:B3	ODC	Path 2	2	13	0.9700473372502105	0.022085728297901605	0.006125478910311558
ENSMUSG00000026959.14:B3	EX_cerebellum_granule	Path 1	1	5	0.47132285697415777	0.1447892874295864	0.0647517378212622
ENSMUSG00000026959.14:B3	EX_cerebellum_granule	Path 2	2	5	0.5286771430258422	0.1447892874295864	0.0647517378212622
ENSMUSG00000026959.14:B3	EX_cortical	Path 1	1	39	0.6546173796788753	0.19660601837439803	0.03148215874926139
ENSMUSG00000026959.14:B3	EX_cortical	Path 2	2	39	0.3453826203211246	0.19660601837439803	0.03148215874926139
ENSMUSG00000026959.14:B3	INH_medium_spiny	Path 1	1	20	0.5440134902131162	0.23247484863345916	0.051982956460338875
ENSMUSG00000026959.14:B3	INH_medium_spiny	Path 2	2	20	0.45598650978688376	0.23247484863345919	0.05198295646033888
ENSMUSG00000026959.14:B3	INH_midbrain	Path 1	1	12	0.8442791004060798	0.154667042137102	0.04464852920630952
ENSMUSG00000026959.14:B3	INH_midbrain	Path 2	2	12	0.1557208995939201	0.154667042137102	0.04464852920630952
ENSMUSG00000026959.14:B3	INH_migrating_interneuron	Path 1	1	20	0.7185611431667672	0.18159304119899788	0.04060543843618792
ENSMUSG00000026959.14:B3	INH_migrating_interneuron	Path 2	2	20	0.2814388568332328	0.18159304119899786	0.04060543843618791
ENSMUSG00000033981.15:B1	ASC	Path 1	1	30	0.8137151007502866	0.06859963633061589	0.01252452275164308
ENSMUSG00000033981.15:B1	ASC	Path 2	2	30	0.18628489924971336	0.06859963633061589	0.01252452275164308
ENSMUSG00000033981.15:B1	EX_cerebellum_granule	Path 1	1	9	0.7485530552163788	0.10888029467880948	0.03629343155960316
ENSMUSG00000033981.15:B1	EX_cerebellum_granule	Path 2	2	9	0.2514469447836212	0.10888029467880952	0.03629343155960318
ENSMUSG00000033981.15:B1	EX_cortical	Path 1	1	47	0.8100630719515177	0.0841804752011216	0.012278984299500325
ENSMUSG00000033981.15:B1	EX_cortical	Path 2	2	47	0.18993692804848217	0.08418047520112162	0.012278984299500329
ENSMUSG00000033981.15:B1	EX_hippocampus_granule	Path 1	1	12	0.7778345457937506	0.1073658622504473	0.030993854736036015
ENSMUSG00000033981.15:B1	EX_hippocampus_granule	Path 2	2	12	0.22216545420624936	0.10736586225044728	0.03099385473603601
ENSMUSG00000033981.15:B1	EX_hippocampus_pyramidal	Path 1	1	10	0.7862456558536376	0.2089357707351788	0.06607129202059181
ENSMUSG00000033981.15:B1	EX_hippocampus_pyramidal	Path 2	2	10	0.21375434414636238	0.2089357707351788	0.06607129202059181
ENSMUSG00000033981.15:B1	INH_medium_spiny	Path 1	1	38	0.818688739701632	0.07069521612226494	0.011468278426500216
ENSMUSG00000033981.15:B1	INH_medium_spiny	Path 2	2	38	0.18131126029836797	0.07069521612226495	0.011468278426500217
ENSMUSG00000033981.15:B1	INH_midbrain	Path 1	1	40	0.7512628575385422	0.09183240180114356	0.014519977634768136
ENSMUSG00000033981.15:B1	INH_midbrain	Path 2	2	40	0.2487371424614578	0.09183240180114356	0.014519977634768136
ENSMUSG00000033981.15:B1	INH_migrating_interneuron	Path 1	1	40	0.7760096183042866	0.06909310009372464	0.010924578344908158
ENSMUSG00000033981.15:B1	INH_migrating_interneuron	Path 2	2	40	0.2239903816957134	0.06909310009372466	0.010924578344908162
