subject	cell_type	primer	cells
C_7	EX_cortical	random hexamer	62
C_7	INH_medium_spiny	poly(dT)	25
C_7	INH_medium_spiny	random hexamer	25
C_7	INH_midbrain	poly(dT)	29
C_7	INH_midbrain	random hexamer	29
C_8	EX_cortical	poly(dT)	486
C_8	EX_cortical	random hexamer	486
C_8	INH_medium_spiny	poly(dT)	138
C_8	INH_medium_spiny	random hexamer	138
C_8	INH_midbrain	poly(dT)	168
C_8	INH_midbrain	random hexamer	168
D_1	EX_cortical	poly(dT)	170
D_1	EX_cortical	random hexamer	170
D_1	INH_medium_spiny	poly(dT)	39
D_1	INH_medium_spiny	random hexamer	39
D_1	INH_midbrain	poly(dT)	41
D_1	INH_midbrain	random hexamer	41
D_2	EX_cortical	poly(dT)	378
D_2	EX_cortical	random hexamer	378
D_2	INH_medium_spiny	poly(dT)	13
D_2	INH_medium_spiny	random hexamer	13
D_2	INH_midbrain	poly(dT)	125
D_2	INH_midbrain	random hexamer	125
D_3	EX_cortical	poly(dT)	119
D_3	EX_cortical	random hexamer	119
D_3	INH_medium_spiny	poly(dT)	85
D_3	INH_medium_spiny	random hexamer	85
D_3	INH_midbrain	poly(dT)	45
D_3	INH_midbrain	random hexamer	45
D_4	EX_cortical	poly(dT)	259
D_4	EX_cortical	random hexamer	259
D_4	INH_medium_spiny	poly(dT)	74
D_4	INH_medium_spiny	random hexamer	74
D_4	INH_midbrain	poly(dT)	75
D_4	INH_midbrain	random hexamer	75
D_5	EX_cortical	poly(dT)	231
D_5	EX_cortical	random hexamer	231
D_5	INH_medium_spiny	poly(dT)	55
D_5	INH_medium_spiny	random hexamer	55
D_5	INH_midbrain	poly(dT)	53
D_5	INH_midbrain	random hexamer	53
D_6	EX_cortical	poly(dT)	479
D_6	EX_cortical	random hexamer	479
D_6	INH_medium_spiny	poly(dT)	114
D_6	INH_medium_spiny	random hexamer	114
D_6	INH_midbrain	poly(dT)	144
D_6	INH_midbrain	random hexamer	144
D_7	EX_cortical	poly(dT)	133
D_7	EX_cortical	random hexamer	133
D_7	INH_medium_spiny	poly(dT)	42
D_7	INH_medium_spiny	random hexamer	42
D_7	INH_midbrain	poly(dT)	53
D_7	INH_midbrain	random hexamer	53
D_8	EX_cortical	poly(dT)	282
D_8	EX_cortical	random hexamer	282
D_8	INH_medium_spiny	poly(dT)	75
D_8	INH_medium_spiny	random hexamer	75
D_8	INH_midbrain	poly(dT)	99
D_8	INH_midbrain	random hexamer	99
E_1	EX_cortical	poly(dT)	341
E_1	EX_cortical	random hexamer	341
E_1	INH_medium_spiny	poly(dT)	116
E_1	INH_medium_spiny	random hexamer	116
E_1	INH_midbrain	poly(dT)	63
E_1	INH_midbrain	random hexamer	63
E_2	EX_cortical	poly(dT)	68
E_2	EX_cortical	random hexamer	68
E_2	INH_medium_spiny	poly(dT)	22
E_2	INH_medium_spiny	random hexamer	22
E_2	INH_midbrain	poly(dT)	20
E_2	INH_midbrain	random hexamer	20
E_3	EX_cortical	poly(dT)	522
E_3	EX_cortical	random hexamer	522
E_3	INH_medium_spiny	poly(dT)	125
E_3	INH_medium_spiny	random hexamer	125
E_3	INH_midbrain	poly(dT)	82
E_3	INH_midbrain	random hexamer	82
E_4	EX_cortical	poly(dT)	92
E_4	EX_cortical	random hexamer	92
E_4	INH_medium_spiny	poly(dT)	45
E_4	INH_medium_spiny	random hexamer	45
E_4	INH_midbrain	poly(dT)	20
E_4	INH_midbrain	random hexamer	20
E_5	EX_cortical	poly(dT)	483
E_5	EX_cortical	random hexamer	483
E_5	INH_medium_spiny	poly(dT)	282
E_5	INH_medium_spiny	random hexamer	282
E_5	INH_midbrain	poly(dT)	76
E_5	INH_midbrain	random hexamer	76
E_6	EX_cortical	poly(dT)	197
E_6	EX_cortical	random hexamer	197
E_6	INH_medium_spiny	poly(dT)	31
E_6	INH_medium_spiny	random hexamer	31
E_6	INH_midbrain	poly(dT)	33
E_6	INH_midbrain	random hexamer	33
E_7	EX_cortical	poly(dT)	93
E_7	EX_cortical	random hexamer	93
E_7	INH_medium_spiny	poly(dT)	21
E_7	INH_medium_spiny	random hexamer	21
E_7	INH_midbrain	poly(dT)	25
E_7	INH_midbrain	random hexamer	25
E_8	EX_cortical	poly(dT)	217
E_8	EX_cortical	random hexamer	217
E_8	INH_medium_spiny	poly(dT)	33
E_8	INH_medium_spiny	random hexamer	33
