test_id	block_id	statistic	empirical_p_value	fdr	level_a	level_b	mean_difference_norm	reporting_mean_difference_norm	testing_empirical_p_value	testing_fdr
ENSMUSG00000022892.12:B3|cell_type|EX_cortical|EX_hippocampus_pyramidal	ENSMUSG00000022892.12:B3	30.63749301026824	0.0040381867506057	0.0210862361272968	EX_cortical	EX_hippocampus_pyramidal	1.1515221311460473	1.1515221311460473	0.0040381867506057	0.0210862361272968
ENSMUSG00000026959.14:B3|cell_type|INH_medium_spiny|INH_midbrain	ENSMUSG00000026959.14:B3	31.312473488846507	0.0006926806742091	0.0057663880868445	INH_medium_spiny	INH_midbrain	1.4984890395172632	1.4984890395172632	0.0006926806742091	0.0057663880868445
ENSMUSG00000033981.15:B1|cell_type|EX_cortical|INH_midbrain	ENSMUSG00000033981.15:B1	163.2914074826315	3.1724881824815205e-05	0.001049508388176	EX_cortical	INH_midbrain	0.2941216539800365	0.2941216539800365	3.1724881824815205e-05	0.001049508388176
