procedure	families	tests	converged	p_below_0.05	p_below_0.01	p_below_0.001	mean_bh_discoveries	worker_hours	peak_gib
hybrid	4	19300	18379	0.09826432341259046	0.03846781652973502	0.014092170411883128	57.25	23.165311320362008	5.607830047607422
scalar	1	4825	4535	0.10474090407938258	0.04321940463065049	0.014773980154355016	62	31.20862786509756	4.832317352294922
