dataset	tests	hybrid_joint_convergence	scalar_joint_convergence	common_joint_convergence	hybrid_bh_discoveries	scalar_bh_discoveries	shared_bh_discoveries	discovery_jaccard	median_absolute_statistic_difference	maximum_absolute_statistic_difference	hybrid_worker_hours	scalar_worker_hours	hybrid_peak_gib	scalar_peak_gib
mouse	4825	4597	4546	4544	324	323	319	0.9725609756097561	0.00013126119574846662	423.72178989097296	24.551965496521703	31.18	5.311313629150391	3.97
human	11597	11004	10981	10978	1460	1459	1453	0.9911323328785812	0.00019071636961598415	411.5667390447343	134.73689174357162	98.39	8.135425567626953	6.55
