dataset	method	job_ids
mouse	Tealeaf EC GLMM	19665535,19665537,19702818,19703171
mouse	LeafCutter	19486883,19496634
mouse	scQuint	19496635,19510059
mouse	MAJIQ Heterogen	19486886,19486887,19486888,19510108
human	Tealeaf EC GLMM	19665536,19665538,19703904,19703905
human	LeafCutter	19510071,19510072
human	scQuint	19510073
human	MAJIQ Heterogen	19510139,19510140,19510141,19510142
