dataset	method	job_ids	tasks	completed_tasks	failed_tasks	aggregate_task_hours	cpu_hours	median_task_minutes	p90_task_minutes	campaign_hours	peak_memory_gib
mouse discovery	isoform-space EC GLMM	19644784	256	256	0	31.18166666666667	51.827493611111116	7.05	12.258333333333333	0.42333333333333334	3.966197967529297
mouse discovery	path-space EC GLMM	19648869	256	256	0	33.225	55.084922222222225	7.9	12.341666666666667	0.7741666666666667	4.041263580322266
mouse replication fold 0	isoform-space EC GLMM	19649992	96	96	0	8.170833333333333	13.322887222222223	4.833333333333333	7.708333333333333	0.35694444444444445	3.553264617919922
mouse replication fold 0	path-space EC GLMM	19648871	96	96	0	8.395	13.679325833333332	5.516666666666667	6.508333333333334	0.8755555555555555	3.6367645263671875
mouse replication fold 1	isoform-space EC GLMM	19649993	96	96	0	7.600555555555555	12.607793055555556	4.45	7.766666666666667	0.2822222222222222	3.2505569458007812
mouse replication fold 1	path-space EC GLMM	19648872	96	96	0	8.26	13.485017777777777	5.025	6.558333333333334	0.6141666666666666	3.6119651794433594
