dataset	method	job_id	task_indices	completed_tasks	aggregate_task_hours	median_task_minutes	p90_task_minutes	peak_memory_gib
human matched shard subset	isoform-space EC GLMM	19644786	0-358	359	33.69083333333333	6.0	7.52	6.391834259033203
human matched shard subset	path-space EC GLMM	19648870	0-358	359	36.54611111111111	6.4	7.723333333333333	6.651668548583984
