comparison	method	gene_id	fold0_p_value	fold1_p_value	conjunction_p_value	conjunction_q_value	shared_block_tests
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000058013	0.286822379021279	0.4649718243599718	0.4649718243599718	0.6399992411342578	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000058248	1.075134917449887e-05	1.429146336766422e-15	1.075134917449887e-05	5.6817348922169215e-05	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000058254	6.486936839616911e-06	0.8697584039234535	0.8697584039234535	0.9462069169064129	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000058297	0.1865046842239213	0.2940610727258044	0.2940610727258044	0.45686741771133554	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000058704	0.0504471919979993	0.0141142790995705	0.0504471919979993	0.11169347708425531	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000058756	0.0019240645325431	0.0489954445999117	0.0489954445999117	0.10881196898876097	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000058793	5.031078314106751e-13	1.5902026937089766e-50	5.031078314106751e-13	5.971312621988996e-12	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000058799	2.6780840121873144e-62	0.0014397669399902	0.0014397669399902	0.0052913262160045925	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000058975	0.0808932406937096	0.0115306871749523	0.0808932406937096	0.16405239849368555	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000059146	0.0026453695492312	0.7332733225695338	0.7332733225695338	0.8551619442735018	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000059456	8.432198393724061e-06	0.0026092699820592	0.0026092699820592	0.008827623677620845	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000059974	5.620958129750502e-13	2.284379205937615e-16	5.620958129750502e-13	6.459640771332323e-12	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000060012	0.0001720276150456	3.522686823485128e-48	0.0001720276150456	0.0007548363229879661	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000060371	0.5110982637900081	0.6253359276223799	0.6253359276223799	0.7779092982793866	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000060961	0.0020138165831471	0.1142641256532672	0.1142641256532672	0.2194356153129057	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000061080	0.000378786167564	0.0003970470041733	0.0003970470041733	0.001614955230457692	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000061576	0.0007809232562597	0.0359748856738493	0.0359748856738493	0.08321347357145972	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000061578	0.011802714341135	0.0181991658397151	0.0181991658397151	0.047913440247104484	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000061601	1.5329655873317254e-06	0.0035471358166241	0.0035471358166241	0.011214525463912002	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000061603	0.0441312045524308	0.0225139161110478	0.0441312045524308	0.0986141731356787	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000061689	3.6640370033031415e-17	1.5111476484396384e-16	1.5111476484396384e-16	2.879133940711311e-15	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000061751	1.108724515403064e-16	1.0743869247781563e-08	1.0743869247781563e-08	8.275065250418991e-08	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000061755	0.7983281045603432	0.8756334728277578	0.8756334728277578	0.9462069169064129	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000061911	0.0006142292186802	0.0019530691644978	0.0019530691644978	0.006798183053348112	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000062044	3.4813961654486075e-10	0.036533508181955	0.036533508181955	0.08396907912296958	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000062078	8.073913401177675e-08	0.0001779298035651	0.0001779298035651	0.0007713842980906131	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000062115	1.47711073451429e-07	0.0671611946020808	0.0671611946020808	0.14053382916735982	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000062151	0.1927722072676259	0.5723946228220721	0.5723946228220721	0.7359722952412506	948
