bayes_factor	null_type	tests	empirical_fdr_0.05_calls	minimum_selected_log_bayes_factor	minimum_empirical_q_value	null_replicates
mixture_log_bayes_factor	label_permutation	935	32	33.57769798139407	0.0	8
bic_log_bayes_factor	label_permutation	935	19	3.222315595670296	0.0	8
