bayes_factor	null_type	observed_tests	replicates	mean_null_tests	observed_bf_ge_1	mean_null_bf_ge_1	max_null_bf_ge_1	mean_null_rate_bf_ge_1	expected_null_bf_ge_1_at_observed_size	observed_bf_ge_10	mean_null_bf_ge_10	max_null_bf_ge_10	mean_null_rate_bf_ge_10	expected_null_bf_ge_10_at_observed_size	observed_bf_ge_100	mean_null_bf_ge_100	max_null_bf_ge_100	mean_null_rate_bf_ge_100	expected_null_bf_ge_100_at_observed_size
mixture_log_bayes_factor	label_permutation	935	8	909.375	304	78.75	83	0.08659643280566329	80.96766467329518	196	26.75	30	0.029412918616248167	27.501078906192035	160	16.375	19	0.018010167216385018	16.839506347319993
bic_log_bayes_factor	label_permutation	935	8	909.375	23	4.0	6	0.004396266076635423	4.11050878165412	19	0.625	1	0.00068682083370635	0.6421774795154372	17	0.25	1	0.0002751829504700979	0.2572960586895416
