comparison	method	shared_genes	fold0_bh	fold1_bh	replicated_bh	heldout_nominal_replication	spearman_logp	shared_gene_pairs
Tealeaf direct local path vs SUPPA2 native PSI	Tealeaf direct local path	457	180	174	131	0.8843869731800766	0.8119320295813764	2342
Tealeaf direct local path vs SUPPA2 native PSI	SUPPA2 native PSI	457	26	22	1	0.9003496503496504	0.35182413899294884	2342
