strength	mean_log_evidence	null_weight	alternative_shape	genes	tests
2.0	0.0026883753488338735	1.1202553738557666e-13	0.9301205772546586	4080	14833
4.0	0.0038603503543292125	2.1884758081465353e-13	0.9170444277744677	4080	14833
8.0	0.005024643051538453	8.319916928467038e-16	0.9061061137991084	4080	14833
16.0	0.0059017622634862325	4.568034579480765e-14	0.8987845942498082	4080	14833
32.0	0.006112538564000242	1.5656113228104664e-14	0.8971191845439178	4080	14833
64.0	0.0062519648468722456	3.3650730523820486e-14	0.8960354967639685	4080	14833
128.0	0.006075986417866585	2.656571185222613e-14	0.8974056189536722	4080	14833
256.0	0.005878606094152849	3.7022413156489415e-14	0.8989696144911167	4080	14833
