strength	mean_log_evidence	null_weight	alternative_shape	genes	tests
2.0	0.25114258312988996	0.3784228607590754	0.41638473670592174	1157	11317
4.0	0.3429697370089571	0.33267018753421806	0.38656523739580934	1156	11316
8.0	0.41533901301847304	0.27717799701324186	0.37606828324345415	1157	11315
16.0	0.46430435887072435	0.23584707756534568	0.3718565264792933	1155	11313
32.0	0.48136088623238177	0.21659841686459327	0.37213053398057055	1156	11310
64.0	0.4851748250041268	0.20472331193445165	0.3743046335268128	1155	11305
128.0	0.4795135419391958	0.19196381707814927	0.3797052998092501	1155	11297
256.0	0.4717645575853973	0.18666539448217973	0.3836868770158984	1156	11292
