fold	tests	tests_with_global_nuisance	tests_with_nonzero_leakage	median_relative_leakage	p90_relative_leakage	maximum_relative_leakage
0	1353	1269	1081	0.341185	0.522233	0.816609
1	859	814	653	0.329620	0.522995	0.815979
