null_type	null_tests	replicates	pooled_p_le_0.05	pooled_p_le_0.01	pooled_p_le_0.001	median_p	uniform_ks_statistic	mean_family_bh_calls	median_family_bh_calls	max_family_bh_calls
label_permutation	141975	32	0.041591829547455536	0.01512238070082761	0.004782532135939426	0.8140431914856514	0.32122054006150136	11.03125	11.0	18
wild_cluster	136736	32	0.022422770886964663	0.006384565878773695	0.0014992394102504095	0.9054212802477346	0.4082915798023733	1.5625	2.0	5
