null_type	replicate	tests	p_le_0.05	p_le_0.01	p_le_0.001	bh_0.05	bh_rate
label_permutation	0	4436	0.03584310189359784	0.013300270513976555	0.003832281334535618	4	0.0009017132551848512
label_permutation	1	4428	0.04019873532068654	0.016034327009936768	0.004516711833785004	10	0.002258355916892502
label_permutation	2	4437	0.03763804372323642	0.01329727293216137	0.004732927653820149	11	0.0024791525805724587
label_permutation	3	4436	0.04170423805229937	0.014201983769161406	0.0031559963931469793	6	0.001352569882777277
label_permutation	4	4438	0.04393871113114015	0.014871563767462822	0.00608382154123479	15	0.0033799008562415502
label_permutation	5	4445	0.044319460067491566	0.018222722159730035	0.005174353205849269	13	0.002924634420697413
label_permutation	6	4428	0.03929539295392954	0.012195121951219513	0.004968383017163505	12	0.0027100271002710027
label_permutation	7	4434	0.042174109156517814	0.015336039693279206	0.0045105999097880016	11	0.002480829950383401
label_permutation	8	4440	0.0445945945945946	0.015540540540540541	0.004054054054054054	8	0.0018018018018018018
label_permutation	9	4433	0.041506880216557636	0.01691856530566208	0.0051883600270697045	14	0.003158132190390255
label_permutation	10	4437	0.04192021636240703	0.01555104800540906	0.005409060175794456	12	0.002704530087897228
label_permutation	11	4438	0.04123479044614691	0.014195583596214511	0.003605227579990987	10	0.002253267237494367
label_permutation	12	4431	0.04445948995712029	0.01331527871812232	0.005190701873166328	9	0.002031144211238998
label_permutation	13	4435	0.038556933483652765	0.012626832018038332	0.0038331454340473506	11	0.002480270574971815
label_permutation	14	4439	0.04167605316512728	0.01531876548772246	0.004956071187204325	12	0.0027033115566569045
label_permutation	15	4447	0.03935237238587812	0.015516078255003373	0.004722284686305375	15	0.0033730604902181245
label_permutation	16	4441	0.04233280792614276	0.015987390227426256	0.004953839225399685	10	0.002251745102454402
label_permutation	17	4439	0.04460464068483893	0.014417661635503492	0.003379139445821131	7	0.0015769317413831944
label_permutation	18	4429	0.04199593587717318	0.01535335290133213	0.004741476631293746	7	0.0015804922104312486
label_permutation	19	4439	0.038972741608470376	0.011714350078846587	0.0051813471502590676	11	0.0024780355936021626
label_permutation	20	4434	0.039918809201623814	0.014208389715832206	0.0036084799278304014	7	0.0015787099684258007
label_permutation	21	4440	0.03626126126126126	0.015540540540540541	0.00518018018018018	13	0.002927927927927928
label_permutation	22	4432	0.042644404332129966	0.01647111913357401	0.005640794223826715	11	0.0024819494584837547
label_permutation	23	4442	0.04434939216569113	0.016884286357496624	0.004277352543899144	8	0.0018009905447996398
label_permutation	24	4437	0.04372323642100518	0.01757944557133198	0.004958305161144917	10	0.00225377507324769
label_permutation	25	4441	0.041432109885161	0.012384598063499211	0.004503490204908804	13	0.0029272686331907227
label_permutation	26	4441	0.047511821661787884	0.0184643098401261	0.005179013735645125	14	0.003152443143436163
label_permutation	27	4434	0.04330175913396482	0.018718989625620207	0.006765899864682003	17	0.0038340099233198015
label_permutation	28	4438	0.04213609734114466	0.014420910319963948	0.004281207751239297	11	0.0024785939612438036
label_permutation	29	4436	0.04170423805229937	0.014878268710550046	0.005410279531109108	13	0.0029305680793507666
label_permutation	30	4437	0.03966644128915934	0.014874915483434753	0.006535947712418301	18	0.004056795131845842
label_permutation	31	4433	0.04195804195804196	0.015565080081209114	0.004511617414843221	10	0.0022558087074216106
wild_cluster	0	4273	0.025274982447928855	0.007020828457758015	0.002340276152586005	1	0.0002340276152586005
wild_cluster	1	4273	0.019658319681722443	0.006084717996723613	0.0016381933068102036	2	0.000468055230517201
wild_cluster	2	4273	0.02270067868008425	0.005850690381465013	0.001404165691551603	2	0.000468055230517201
wild_cluster	3	4273	0.021296512988532648	0.0035104142288790077	0.000936110461034402	1	0.0002340276152586005
