bayes_factor	null_type	observed_tests	replicates	mean_null_tests	observed_bf_ge_1	mean_null_bf_ge_1	max_null_bf_ge_1	mean_null_rate_bf_ge_1	expected_null_bf_ge_1_at_observed_size	observed_bf_ge_10	mean_null_bf_ge_10	max_null_bf_ge_10	mean_null_rate_bf_ge_10	expected_null_bf_ge_10_at_observed_size	observed_bf_ge_100	mean_null_bf_ge_100	max_null_bf_ge_100	mean_null_rate_bf_ge_100	expected_null_bf_ge_100_at_observed_size
mixture_log_bayes_factor	label_permutation	4472	32	4436.71875	913	421.0625	443	0.09490375104446366	424.4095746708415	277	28.125	39	0.006339212483487713	28.348958226157052	163	12.21875	17	0.002753829501482184	12.315125530628327
mixture_log_bayes_factor	wild_cluster	4472	32	4273.0	913	313.1875	346	0.07329452375380295	327.7731102270068	277	13.96875	19	0.003269073250643576	14.619295576878072	163	4.28125	7	0.0010019307278258836	4.480634214837352
bic_log_bayes_factor	label_permutation	4472	32	4436.71875	153	44.59375	56	0.01005102859007129	44.94819985479881	83	7.875	13	0.0017748624435454695	7.93718484753534	51	3.34375	7	0.0007536116008994927	3.370151079222531
bic_log_bayes_factor	wild_cluster	4472	32	4273.0	153	23.1875	33	0.0054265153288087994	24.26737655043295	83	1.125	4	0.0002632810671659256	1.1773929323660193	51	0.21875	1	5.119354083781886e-05	0.22893751462672596
