bayes_factor	null_type	replicate	tests	bf_ge_1	bf_ge_10	bf_ge_100
bic_log_bayes_factor	label_permutation	27	4434	54	9	5
bic_log_bayes_factor	label_permutation	28	4438	47	6	3
bic_log_bayes_factor	label_permutation	29	4436	41	10	7
bic_log_bayes_factor	label_permutation	30	4437	46	9	2
bic_log_bayes_factor	label_permutation	31	4433	40	9	3
bic_log_bayes_factor	wild_cluster	0	4273	26	0	0
bic_log_bayes_factor	wild_cluster	1	4273	19	1	0
bic_log_bayes_factor	wild_cluster	2	4273	22	2	1
bic_log_bayes_factor	wild_cluster	3	4273	22	0	0
bic_log_bayes_factor	wild_cluster	4	4273	24	1	0
bic_log_bayes_factor	wild_cluster	5	4273	20	0	0
bic_log_bayes_factor	wild_cluster	6	4273	22	1	0
bic_log_bayes_factor	wild_cluster	7	4273	24	0	0
bic_log_bayes_factor	wild_cluster	8	4273	21	0	0
bic_log_bayes_factor	wild_cluster	9	4273	33	1	1
bic_log_bayes_factor	wild_cluster	10	4273	23	1	0
bic_log_bayes_factor	wild_cluster	11	4273	25	1	0
bic_log_bayes_factor	wild_cluster	12	4273	21	4	0
bic_log_bayes_factor	wild_cluster	13	4273	19	2	0
bic_log_bayes_factor	wild_cluster	14	4273	29	3	1
bic_log_bayes_factor	wild_cluster	15	4273	21	0	0
bic_log_bayes_factor	wild_cluster	16	4273	25	2	0
bic_log_bayes_factor	wild_cluster	17	4273	24	0	0
bic_log_bayes_factor	wild_cluster	18	4273	20	2	1
bic_log_bayes_factor	wild_cluster	19	4273	16	0	0
bic_log_bayes_factor	wild_cluster	20	4273	21	1	0
bic_log_bayes_factor	wild_cluster	21	4273	26	2	0
bic_log_bayes_factor	wild_cluster	22	4273	25	0	0
bic_log_bayes_factor	wild_cluster	23	4273	18	0	0
bic_log_bayes_factor	wild_cluster	24	4273	33	2	1
bic_log_bayes_factor	wild_cluster	25	4273	17	0	0
bic_log_bayes_factor	wild_cluster	26	4273	22	0	0
bic_log_bayes_factor	wild_cluster	27	4273	22	1	0
bic_log_bayes_factor	wild_cluster	28	4273	25	2	0
bic_log_bayes_factor	wild_cluster	29	4273	25	3	1
bic_log_bayes_factor	wild_cluster	30	4273	29	2	0
bic_log_bayes_factor	wild_cluster	31	4273	23	2	1
