test_id	null_type	analytic_p_value	calibrated_p_value	reference_nulls	degrees_of_freedom	denominator_df_bin	fdr
ENSMUSG00000031154.16:B5	label_permutation	0.7811649279638895	0.434444116779711	16954	4	all	0.9376062759544701
ENSMUSG00000061904.13:B1	label_permutation	0.9582033682847164	0.6300796225302271	16954	4	all	1.0
ENSMUSG00000061904.13:B2	label_permutation	0.9915995219708048	0.6804351834777799	16268	2	all	1.0
ENSMUSG00000061904.13:B3	label_permutation	0.94986994489532	0.6042780748663101	16268	2	all	0.9936632774667871
ENSMUSG00000023235.15:B1	label_permutation	0.9999999698751266	0.8091337160549571	15502	3	all	1.0
ENSMUSG00000023235.15:B2	label_permutation	0.9999999999779392	0.9368806548901336	13925	6	all	1.0
ENSMUSG00000029203.17:B2	label_permutation	0.9889334056968704	0.7474508114318541	13925	6	all	1.0
ENSMUSG00000036112.16:B1	label_permutation	0.6881760792470153	0.45699831365935917	8894	8	all	0.9434121874347738
ENSMUSG00000036112.16:B2	label_permutation	0.0261932025980399	0.016160424653494543	16954	4	all	0.2691581219320304
ENSMUSG00000045983.17:B1	label_permutation	0.3147835839895062	0.21782178217821782	1009	20	all	0.7661234379377012
ENSMUSG00000045983.17:B5	label_permutation	0.1761556360449863	0.13774255261000273	7317	10	all	0.6694313152665289
ENSMUSG00000097167.3:B1	label_permutation	1.0	1.0	16954	4	all	1.0
ENSMUSG00000097167.3:B2	label_permutation	1.0	1.0	16268	2	all	1.0
ENSMUSG00000011877.14:B1	label_permutation	0.9999999997403948	0.9112984822934233	8894	8	all	1.0
ENSMUSG00000019820.12:B1	label_permutation	3.554198204212453e-05	0.002535772504980982	5520	7	all	0.09947346177434167
ENSMUSG00000020704.14:B1	label_permutation	0.1742233070004404	0.08193496834470465	16268	2	all	0.5619834025115326
ENSMUSG00000021770.12:B1	label_permutation	0.8679818860246282	0.45268657679158875	15502	3	all	0.942919009515274
ENSMUSG00000022788.17:B1	label_permutation	0.8942672482988585	0.543057348331182	16268	2	all	0.9770803221143918
ENSMUSG00000024566.11:B1	label_permutation	0.9997117315432108	0.7433769746142971	16268	2	all	1.0
ENSMUSG00000025616.15:B1	label_permutation	0.9051109621267576	0.4974521060439915	15502	3	all	0.9564864097893082
ENSMUSG00000026754.17:B1	label_permutation	0.7052502404818772	0.361324182478805	17338	1	all	0.8947074994713266
ENSMUSG00000028886.16:B1	label_permutation	0.99999987402142	0.8503159315379425	16300	5	all	1.0
ENSMUSG00000029780.15:B1	label_permutation	0.999999999992737	0.8983780595694485	16954	4	all	1.0
ENSMUSG00000031214.14:B1	label_permutation	0.2824093309745996	0.1360070775582424	16954	4	all	0.6661814357507776
ENSMUSG00000032238.18:B1	label_permutation	0.6980836493780962	0.4309205802096797	13925	6	all	0.9365848937228801
ENSMUSG00000033499.15:B1	label_permutation	0.2942711597956789	0.19606159131341636	16300	5	all	0.7430402002996593
ENSMUSG00000035011.16:B1	label_permutation	0.9998503531272516	0.9096509240246407	1460	24	all	1.0
ENSMUSG00000036792.13:B1	label_permutation	0.2729504987277739	0.17808415912681316	13925	6	all	0.7222042783671644
ENSMUSG00000038324.14:B1	label_permutation	0.6399060583671341	0.32724814063556457	16268	2	all	0.8665308666331631
ENSMUSG00000039782.16:B2	label_permutation	0.999999999999998	0.9531811001005314	13925	6	all	1.0
ENSMUSG00000041483.15:B1	label_permutation	0.2743885205895666	0.11851894572928082	17338	1	all	0.6354032451828997
ENSMUSG00000044835.16:B1	label_permutation	0.9998974445192382	0.7886169271601298	16954	4	all	1.0
ENSMUSG00000050240.17:B1	label_permutation	0.9999999999999938	0.9050506353608979	15502	3	all	1.0
ENSMUSG00000054874.13:B1	label_permutation	0.9686436681212524	0.653376585078148	16954	4	all	1.0
ENSMUSG00000059003.13:B1	label_permutation	0.8218371585711258	0.52585092632486	13925	6	all	0.9692257845734665
ENSMUSG00000063887.14:B2	label_permutation	0.2495057113684734	0.11838465793841048	16268	2	all	0.6354032451828997
ENSMUSG00000074259.11:B1	label_permutation	0.5634207301097569	0.2775823288540285	17338	1	all	0.8209974699968355
ENSMUSG00000097156.9:B1	label_permutation	0.1560936277884883	0.01639344262295082	60	35	all	0.27152398299939284
ENSMUSG00000032036.16:B1	label_permutation	0.9992484550999744	0.8251472066637944	13925	6	all	1.0
ENSMUSG00000032036.16:B2	label_permutation	0.9899313187370772	0.7128280743143616	16954	4	all	1.0
ENSMUSG00000032036.16:B3	label_permutation	0.5057973178151047	0.24568197184830046	16268	2	all	0.7965319795940031
ENSMUSG00000032036.16:B5	label_permutation	0.7582898558716625	0.4150398112651135	16954	4	all	0.9283022516951911
ENSMUSG00000020893.18:B1	label_permutation	0.4731886935233913	0.3036348729160973	7317	10	all	0.8470712112793433
ENSMUSG00000020893.18:B2	label_permutation	0.2222567642455845	0.1553278939942335	16300	5	all	0.6916940052214177
ENSMUSG00000020893.18:B3	label_permutation	0.2082011266754145	0.14808907428992085	16300	5	all	0.6799678046529166
ENSMUSG00000031166.14:B3	label_permutation	0.160297407058722	0.12109686522299246	16300	5	all	0.6368615701264723
ENSMUSG00000062270.15:B1	label_permutation	0.8919109983844346	0.5910084722601804	7317	10	all	0.9923163945405419
ENSMUSG00000062270.15:B2	label_permutation	0.8814163530175992	0.5974480093245813	16300	5	all	0.9935128959734081
ENSMUSG00000062270.15:B3	label_permutation	0.5845312846089399	0.3722471014048218	16300	5	all	0.9017703089829339
ENSMUSG00000023467.19:B3	label_permutation	1.0	1.0	17338	1	all	1.0
ENSMUSG00000029245.17:B1	label_permutation	0.00015607266574	0.0034414055424741895	5520	7	all	0.12176082068577852
ENSMUSG00000029245.17:B2	label_permutation	0.0002020571985177	0.018923713778829097	1690	14	all	0.2839827114728984
ENSMUSG00000036192.16:B2	label_permutation	0.912666554653569	0.5630954576187842	16268	2	all	0.98526135947064
ENSMUSG00000046449.16:B1	label_permutation	0.7995858661056454	0.507755277897458	13925	6	all	0.9622490126004959
ENSMUSG00000046449.16:B2	label_permutation	0.9999998892207548	0.7871379732954912	15502	3	all	1.0
ENSMUSG00000097391.9:B1	label_permutation	0.4350425988585242	0.35375	1599	16	all	0.8915461853811769
