null_type	numerator_df	denominator_df_bin	tests	p_le_0.05	p_le_0.01	median_p
label_permutation	1	all	17338	0.019264044295766523	0.003633637097704464	0.9181665140653684
label_permutation	2	all	16268	0.019301696582247358	0.004241455618391935	0.8548127181692857
label_permutation	3	all	15502	0.021997161656560443	0.004451038575667656	0.9067362506532028
label_permutation	4	all	16954	0.026837324525185797	0.00637017812905509	0.8556400105136392
label_permutation	5	all	16300	0.04595092024539877	0.016012269938650306	0.7592462956833379
label_permutation	6	all	13925	0.0437342908438061	0.013357271095152603	0.7886129082514715
label_permutation	7	all	5520	0.0677536231884058	0.028985507246376812	0.6764651397725334
label_permutation	8	all	8894	0.05070834270294581	0.015628513604677312	0.7403705114485096
label_permutation	9	all	4828	0.050124275062137534	0.015534382767191384	0.7499583174969866
label_permutation	10	all	7317	0.056580565805658053	0.022960229602296024	0.7771155761148673
label_permutation	11	all	1376	0.06976744186046512	0.025436046511627907	0.6557090527075002
label_permutation	12	all	6516	0.058931860036832415	0.02470841006752609	0.7154247605487503
label_permutation	14	all	1690	0.11242603550295859	0.0621301775147929	0.6702653969376737
label_permutation	15	all	1231	0.06417546709991877	0.02924451665312754	0.8468227899278663
label_permutation	16	all	1599	0.08943089430894309	0.043151969981238276	0.6682466116958318
label_permutation	18	all	1782	0.12401795735129069	0.08024691358024691	0.6419638667023513
label_permutation	20	all	1009	0.06640237859266601	0.040634291377601585	0.7634070190730281
label_permutation	21	all	333	0.03303303303303303	0.012012012012012012	0.9185570440730066
label_permutation	22	all	416	0.15865384615384615	0.11057692307692307	0.7409332384292994
label_permutation	24	all	1460	0.11095890410958904	0.06027397260273973	0.6232750986483848
label_permutation	25	all	95	0.010526315789473684	0.0	0.5418238146530104
label_permutation	27	all	288	0.13194444444444445	0.0798611111111111	0.6254457499390282
label_permutation	28	all	64	0.015625	0.0	0.7497907296359294
label_permutation	30	all	287	0.0975609756097561	0.041811846689895474	0.575149405635284
label_permutation	32	all	192	0.13020833333333334	0.06770833333333333	0.49503095348728887
label_permutation	33	all	192	0.3645833333333333	0.3177083333333333	0.26416613102103226
label_permutation	35	all	60	0.0	0.0	0.9334330985277355
label_permutation	36	all	154	0.08441558441558442	0.01948051948051948	0.5396577233305153
label_permutation	40	all	225	0.06222222222222222	0.017777777777777778	0.6408949022324275
label_permutation	44	all	32	0.125	0.0625	0.30628536784198523
label_permutation	48	all	32	0.0625	0.03125	0.5007768087939195
label_permutation	54	all	16	0.0	0.0	0.9999490344644741
label_permutation	60	all	32	0.21875	0.0625	0.27069715260831917
label_permutation	80	all	16	0.0	0.0	0.9999869028475605
label_permutation	90	all	32	0.0	0.0	0.5502407682505528
wild_cluster	1	all	16832	0.00992157794676806	0.0004752851711026616	0.956313575023519
wild_cluster	2	all	15744	0.01638719512195122	0.0026041666666666665	0.9010175071601344
wild_cluster	3	all	14912	0.011266094420600859	0.0008717811158798284	0.9530849988451836
wild_cluster	4	all	16480	0.015412621359223302	0.003944174757281553	0.9278443732640973
wild_cluster	5	all	15616	0.02695952868852459	0.006211577868852459	0.8655977699377277
wild_cluster	6	all	13216	0.02065677966101695	0.005220944309927361	0.8826246266887678
wild_cluster	7	all	5344	0.030127245508982037	0.008233532934131737	0.8276394122933683
wild_cluster	8	all	8608	0.017657992565055763	0.003949814126394052	0.8954518077994318
wild_cluster	9	all	4608	0.024305555555555556	0.007161458333333333	0.8887179044868166
wild_cluster	10	all	6880	0.02877906976744186	0.011046511627906977	0.9035292595495906
wild_cluster	11	all	1376	0.0755813953488372	0.018168604651162792	0.7409893400542757
wild_cluster	12	all	6208	0.045103092783505154	0.018524484536082474	0.8528003371871521
wild_cluster	14	all	1664	0.0655048076923077	0.03064903846153846	0.8559249694823232
wild_cluster	15	all	1184	0.006756756756756757	0.0016891891891891893	0.961948855196179
wild_cluster	16	all	1568	0.04846938775510204	0.01721938775510204	0.904168369483492
wild_cluster	18	all	1728	0.08043981481481481	0.04282407407407408	0.8690646537423197
wild_cluster	20	all	928	0.004310344827586207	0.0021551724137931034	0.9662286384002955
wild_cluster	21	all	352	0.002840909090909091	0.0	0.9897524936371838
wild_cluster	22	all	384	0.041666666666666664	0.018229166666666668	0.917382053617291
wild_cluster	24	all	1408	0.061079545454545456	0.029829545454545456	0.8116863036795352
wild_cluster	25	all	96	0.0	0.0	0.9467173198165222
wild_cluster	27	all	224	0.06696428571428571	0.03125	0.8501404616953316
wild_cluster	28	all	64	0.0	0.0	0.9646934881788887
wild_cluster	30	all	256	0.05078125	0.015625	0.7398285486318159
wild_cluster	32	all	224	0.026785714285714284	0.004464285714285714	0.9040054951322776
wild_cluster	33	all	192	0.19270833333333334	0.16666666666666666	0.6881241072591118
wild_cluster	35	all	64	0.0	0.0	0.9986064527977516
wild_cluster	36	all	128	0.03125	0.0234375	0.9631332284122892
wild_cluster	40	all	256	0.00390625	0.0	0.8961433310575325
wild_cluster	44	all	32	0.0	0.0	0.8689781521588287
wild_cluster	48	all	32	0.03125	0.03125	0.9402331964270181
wild_cluster	54	all	32	0.0	0.0	0.9999927975426074
wild_cluster	60	all	32	0.0625	0.0	0.6072657031386579
wild_cluster	80	all	32	0.0	0.0	0.9999999940631628
wild_cluster	90	all	32	0.0	0.0	0.9839308547240383
