comparison	method	shared_genes	fold0_bh	fold1_bh	replicated_bh	heldout_nominal_replication	spearman_logp	shared_gene_pairs
Tealeaf EC GLMM vs LeafCutter	Tealeaf EC GLMM	139	20	15	12	0.8666666666666667	0.5621183583586402	742
Tealeaf EC GLMM vs LeafCutter	LeafCutter	139	38	43	25	0.7435740514075888	0.5428704992381334	742
Tealeaf EC GLMM vs MAJIQ Heterogen	Tealeaf EC GLMM	473	29	34	19	0.8280933062880325	0.3616350207912478	2481
Tealeaf EC GLMM vs MAJIQ Heterogen	MAJIQ Heterogen	473	55	117	38	0.6965034965034964	0.4341193321831947	2481
Tealeaf EC GLMM vs scQuint	Tealeaf EC GLMM	492	30	37	18	0.8283783783783785	0.35786032267358836	2531
Tealeaf EC GLMM vs scQuint	scQuint	492	88	96	57	0.7769886363636364	0.4606081686253216	2531
