ragged_dot_key	kernel	blocks	samples	maximum_samples	sample_padding_ratio	compile_seconds	median_evaluation_seconds	minimum_evaluation_seconds
(3, 4, 4, 4)	padded	17	1482	618	7.089068825910931	1.1768218399956822	0.002252872502140235	0.0019651269976748154
(3, 4, 4, 4)	ragged_dot	17	1482	618	7.089068825910931	0.3935163209971506	0.001209243004268501	0.0011362130026100203
