batch_size	batches	actual_likelihood_work_proxy	padded_likelihood_work_proxy	padded_to_actual_ratio
8	1615	937893035	1979765784	2.1108652160957777
16	918	937893035	2352853869	2.508659070061225
32	576	937893035	2756611227	2.939153106089545
64	412	937893035	3212080487	3.424783389078052
