dataset	hybrid_elapsed_worker_hours	scalar_elapsed_worker_hours	hybrid_to_scalar_time_ratio	hybrid_peak_gib	scalar_peak_gib	hybrid_to_scalar_memory_ratio
mouse	30.4786	31.1800	0.9775	1.4049	3.9700	0.3539
human	125.2084	98.3900	1.2726	4.1920	6.5500	0.6400
