variant	elapsed_seconds	objective_evaluation_seconds	optimizer_seconds	joint_convergence	common_converged	median_absolute_statistic_difference	maximum_absolute_statistic_difference
baseline	616.9997608019039	198.54329929314554	14.263663095422089	19	19	0.0	0.0
global	553.4074965519831	179.35131678823382	14.21825486049056	19	19	0.0	0.0
warm	589.5184465274215	182.48905631620437	6.429982709698378	19	19	6.052149319657474e-05	0.3185119298598238
global_warm	674.3829596079886	215.10210907738656	7.194594459608195	19	19	6.052149319657474e-05	0.3185119298598238
global_warm_tight	637.7392236134037	206.76805820595473	7.503765139728783	19	19	1.459803566916662e-06	0.18711639873799868
