test_id	gene_id	coordinates	cosine_similarity	fold0_p_value	fold1_p_value	both_nominal	both_bh
ENSMUSG00000000305.13:B1	ENSMUSG00000000305.13	20	-0.13140960280004801	1.95126275763658e-74	3.4263225533865734e-07	True	True
ENSMUSG00000000440.13:B1	ENSMUSG00000000440.13	2	0.9999999999999999	0.1002440740694523	0.7706135838620386	False	False
ENSMUSG00000000441.18:B1	ENSMUSG00000000441.18	2	1.0	0.0023809569132843	0.0874378688944648	False	False
ENSMUSG00000000552.11:B1	ENSMUSG00000000552.11	3	0.9378847095073064	0.3164473208520635	0.5915066738843298	False	False
ENSMUSG00000000552.11:B2	ENSMUSG00000000552.11	2	1.0	0.7174590568892373	0.9670243028197396	False	False
ENSMUSG00000000631.21:B2	ENSMUSG00000000631.21	9	0.7554653652092573	0.34217000604606	0.494629021287148	False	False
ENSMUSG00000000631.21:B4	ENSMUSG00000000631.21	6	0.9936748007857761	0.6094747063681506	0.826645960732109	False	False
ENSMUSG00000000632.14:B1	ENSMUSG00000000632.14	6	-0.7616619119059922	0.0042778782829902	0.0509989273226415	False	False
ENSMUSG00000001127.13:B1	ENSMUSG00000001127.13	2	-1.0	0.5189780740025285	0.267261992418683	False	False
ENSMUSG00000001175.17:B1	ENSMUSG00000001175.17	42	-0.007207544753563461	0.0004499648994556	0.4753220988232713	False	False
ENSMUSG00000001248.16:B1	ENSMUSG00000001248.16	2	0.9999999999999999	0.9163701077448138	0.0763702308628411	False	False
ENSMUSG00000001472.18:B1	ENSMUSG00000001472.18	30	0.6488670717714776	0.0086279144387766	0.0374023890918116	True	False
ENSMUSG00000001521.13:B1	ENSMUSG00000001521.13	2	1.0	0.2604938677913753	2.431999933339796e-06	False	False
ENSMUSG00000001986.17:B1	ENSMUSG00000001986.17	12	-0.8448052752877312	0.9228856622811726	0.168444379004538	False	False
ENSMUSG00000002006.13:B1	ENSMUSG00000002006.13	6	-0.7011857605806401	0.0474910568713586	0.2318675961738666	False	False
ENSMUSG00000002107.19:B1	ENSMUSG00000002107.19	12	-0.19436295608363963	4.705503378267874e-16	0.1653113956287808	False	False
ENSMUSG00000002265.18:B1	ENSMUSG00000002265.18	30	-0.2472824387988821	1.7916189517544793e-14	1.5407256256619362e-20	True	True
ENSMUSG00000002489.17:B1	ENSMUSG00000002489.17	2	0.9999999999999999	0.5982126380466015	0.0419052200472752	False	False
