null_type	null_tests	replicates	pooled_p_le_0.05	pooled_p_le_0.01	pooled_p_le_0.001	median_p	uniform_ks_statistic	mean_family_bh_calls	median_family_bh_calls	max_family_bh_calls
label_permutation	143460	32	0.6578279659835494	0.5833124215809284	0.5171336958037084	0.00044300556059725005	0.6082971144309215	2844.09375	2844.5	2896
wild_cluster	143904	32	0.6025892261507672	0.5316530464754281	0.46787441627751836	0.00370968715771555	0.5532311732630197	2581.46875	2579.5	2616
