subset	coordinates	blocks	sign_agreement	effect_spearman
all coordinates	14059	985	0.568461483747066	0.15077699053156293
both block p<=0.05	8273	413	0.5794754019098272	0.13894585450102523
both block BH<=0.05	7626	367	0.5773669027012851	0.13784586506221155
both |z|>=1	2139	493	0.6283309957924264	0.19245296053235383
both |z|>=1.96	1035	279	0.6164251207729469	0.17266377229374458
