test_id	null_type	analytic_p_value	calibrated_p_value	reference_nulls	degrees_of_freedom	denominator_df_bin	fdr
ENSMUSG00000021843.18:B1	label_permutation	2.349297653274969e-05	0.568635275339186	7517	8	>20	0.8997902400062849
ENSMUSG00000021843.18:B2	label_permutation	2.445884901161574e-09	0.4595637137536579	7517	8	>20	0.8895566450977648
ENSMUSG00000021843.18:B3	label_permutation	2.349269367634882e-05	0.568635275339186	7517	8	>20	0.8997902400062849
ENSMUSG00000021843.18:B4	label_permutation	2.445805168629759e-09	0.4595637137536579	7517	8	>20	0.8895566450977648
ENSMUSG00000021843.18:B5	label_permutation	1.823143052736368e-05	0.5637137536578878	7517	8	>20	0.8989814084238991
ENSMUSG00000021843.18:B6	label_permutation	4.025291066196704e-13	0.655593220338983	1474	16	>20	0.9065341329856584
ENSMUSG00000002279.20:B1	label_permutation	0.0278609858560545	0.6578947368421053	10715	6	>20	0.9069038962860783
ENSMUSG00000002279.20:B2	label_permutation	9.659347710643746e-10	0.26710570376158055	8958	3	>20	0.8750110119110907
ENSMUSG00000002279.20:B3	label_permutation	0.440552432483086	0.8018752092867507	8958	3	>20	0.9423711272318666
ENSMUSG00000020882.18:B1	label_permutation	0.0079376017859235	0.5124148538782685	13652	5	>20	0.894080632179703
ENSMUSG00000020882.18:B2	label_permutation	0.0287999068811841	0.5737200615249396	13652	5	>20	0.8997902400062849
ENSMUSG00000020882.18:B3	label_permutation	9.142293809515288e-22	0.33686576750160563	6227	10	>20	0.8768883635306256
ENSMUSG00000026566.16:B1	label_permutation	3.599617689984831e-15	0.6386138613861386	403	15	11-20	0.9044849332081017
ENSMUSG00000026566.16:B2	label_permutation	0.1194310209945612	0.9110251450676983	1033	10	11-20	0.9836970211278798
ENSMUSG00000026566.16:B3	label_permutation	9.716116023753911e-07	0.6411992263056093	1033	10	11-20	0.9050223671739888
ENSMUSG00000031154.16:B1	label_permutation	8.106910613501263e-22	0.30165289256198347	1209	8	11-20	0.8768883635306256
ENSMUSG00000031154.16:B2	label_permutation	0.9309911769870488	0.9742569623215539	4272	4	11-20	1.0
ENSMUSG00000031154.16:B5	label_permutation	0.8378263927246612	0.9576410016381933	4272	4	11-20	1.0
ENSMUSG00000040003.19:B1	label_permutation	1.87671017160388e-14	0.6668649613325401	1680	18	>20	0.9092509515256175
ENSMUSG00000040003.19:B2	label_permutation	2.3512261111883243e-30	0.45211183819155265	1680	18	>20	0.8884086579942446
ENSMUSG00000040003.19:B3	label_permutation	1.4989704631742811e-40	0.2978723404255319	281	27	>20	0.8768883635306256
ENSMUSG00000061904.13:B1	label_permutation	4.052882042298064e-12	0.32929782082324455	825	4	6-10	0.8768883635306256
ENSMUSG00000061904.13:B2	label_permutation	0.9933378710366484	0.9829339143064634	2753	2	6-10	1.0
ENSMUSG00000061904.13:B3	label_permutation	1.4419062860885609e-05	0.2726942628903413	2753	2	6-10	0.8750110119110907
ENSMUSG00000015090.14:B1	label_permutation	2.186125613960602e-18	0.40135396518375244	1033	10	11-20	0.8802533382017219
ENSMUSG00000015090.14:B2	label_permutation	0.0158532648086748	0.5536270582999555	2246	5	11-20	0.8956389798674386
ENSMUSG00000021720.12:B1	label_permutation	1.8238093145178176e-36	0.24607426565675225	5412	12	>20	0.8695150142445928
ENSMUSG00000021720.12:B2	label_permutation	1.3802005715961097e-18	0.20419248069252313	11782	4	>20	0.8674506604704691
ENSMUSG00000024789.14:B1	label_permutation	0.0204620232237313	0.5824947343786567	4272	4	11-20	0.8997902400062849
ENSMUSG00000024789.14:B2	label_permutation	0.030414002009744	0.41687208983840046	7301	2	11-20	0.8802533382017219
ENSMUSG00000027985.15:B1	label_permutation	3.388643703694701e-129	0.013794482207117154	5001	3	11-20	0.8606239104020287
ENSMUSG00000027985.15:B2	label_permutation	2.208548543279449e-07	0.2919448153093013	2246	5	11-20	0.8750110119110907
ENSMUSG00000032503.19:B1	label_permutation	1.0	1.0	195	40	>20	1.0
ENSMUSG00000032503.19:B2	label_permutation	2.954218902734864e-63	0.34	199	32	>20	0.8772378175865799
ENSMUSG00000037703.15:B1	label_permutation	9.284747990318735e-40	0.09229189996267263	10715	6	>20	0.8606239104020287
ENSMUSG00000037703.15:B2	label_permutation	6.047450101176784e-29	0.14921612541993282	10715	6	>20	0.8606239104020287
ENSMUSG00000041540.17:B2	label_permutation	0.753773465603421	0.890916149068323	2575	1	>20	0.9741370112064653
ENSMUSG00000050530.15:B1	label_permutation	2.922874744266043e-06	0.6256198347107438	1209	8	11-20	0.9037363545202307
ENSMUSG00000050530.15:B2	label_permutation	1.6890499225154243e-06	0.35829627896091737	4272	4	11-20	0.8799716412619639
ENSMUSG00000063077.16:B2	label_permutation	1.132525324498275e-12	0.5357472750785147	5412	12	>20	0.894080632179703
ENSMUSG00000000384.16:B1	label_permutation	0.0005245152983931	0.25757906215921483	4584	1	6-10	0.8724251253863782
ENSMUSG00000001558.6:B1	label_permutation	5.4984572018109555e-84	0.07737941707505804	7753	1	11-20	0.8606239104020287
ENSMUSG00000003865.17:B1	label_permutation	0.2084732510724694	0.6988503181158612	8958	3	>20	0.9151749227970307
ENSMUSG00000006262.16:B1	label_permutation	1.8390901212682837e-90	0.06652528183949101	8958	3	>20	0.8606239104020287
ENSMUSG00000010086.18:B3	label_permutation	1.0	1.0	5617	7	>20	1.0
ENSMUSG00000015837.16:B1	label_permutation	0.5621497985063569	0.8712370907492859	13652	5	>20	0.9657719773454814
ENSMUSG00000018820.14:B1	label_permutation	2.5541763146878936e-08	0.286527514231499	8958	3	>20	0.8750110119110907
ENSMUSG00000020173.18:B1	label_permutation	0.0040771274031178	0.49936348977340234	11782	4	>20	0.8921327130306684
ENSMUSG00000020608.8:B1	label_permutation	1.0	1.0	11782	4	>20	1.0
ENSMUSG00000021061.16:B1	label_permutation	8.811450676316697e-14	0.3453186187255251	5617	7	>20	0.8777499279143155
ENSMUSG00000021596.18:B1	label_permutation	0.2056660187410686	0.5581243184296619	4584	1	6-10	0.8956389798674386
ENSMUSG00000022208.13:B1	label_permutation	0.0526285645226411	0.8124501197126895	7517	8	>20	0.9473665900334268
