subject	cell_type	primer	cells
E_1	EX_hippocampus_granule	poly(dT)	30
E_1	EX_hippocampus_granule	random hexamer	20
E_1	EX_hippocampus_pyramidal	poly(dT)	42
E_1	EX_hippocampus_pyramidal	random hexamer	34
E_1	EX_thalamus	poly(dT)	16
E_1	EX_thalamus	random hexamer	34
E_1	INH_medium_spiny	poly(dT)	136
E_1	INH_medium_spiny	random hexamer	158
E_1	INH_midbrain	poly(dT)	86
E_1	INH_midbrain	random hexamer	86
E_1	INH_migrating_interneuron	poly(dT)	218
E_1	INH_migrating_interneuron	random hexamer	204
E_1	ODC	poly(dT)	92
E_1	ODC	random hexamer	86
E_2	ASC	poly(dT)	22
E_2	ASC	random hexamer	16
E_2	EX_cerebellum_granule	poly(dT)	24
E_2	EX_cerebellum_granule	random hexamer	36
E_2	EX_cortical	poly(dT)	68
E_2	EX_cortical	random hexamer	82
E_2	EX_hippocampus_granule	poly(dT)	6
E_2	EX_hippocampus_granule	random hexamer	8
E_2	EX_hippocampus_pyramidal	poly(dT)	10
E_2	EX_hippocampus_pyramidal	random hexamer	4
E_2	EX_thalamus	poly(dT)	6
E_2	EX_thalamus	random hexamer	4
E_2	INH_medium_spiny	poly(dT)	28
E_2	INH_medium_spiny	random hexamer	20
E_2	INH_midbrain	poly(dT)	20
E_2	INH_midbrain	random hexamer	26
E_2	INH_migrating_interneuron	poly(dT)	126
E_2	INH_migrating_interneuron	random hexamer	84
E_2	ODC	poly(dT)	42
E_2	ODC	random hexamer	66
E_3	ASC	poly(dT)	118
E_3	ASC	random hexamer	134
E_3	EX_cerebellum_granule	poly(dT)	136
E_3	EX_cerebellum_granule	random hexamer	128
E_3	EX_cortical	poly(dT)	632
E_3	EX_cortical	random hexamer	602
E_3	EX_hippocampus_granule	poly(dT)	58
E_3	EX_hippocampus_granule	random hexamer	44
E_3	EX_hippocampus_pyramidal	poly(dT)	20
E_3	EX_hippocampus_pyramidal	random hexamer	20
E_3	EX_thalamus	poly(dT)	12
E_3	EX_thalamus	random hexamer	20
E_3	INH_medium_spiny	poly(dT)	140
E_3	INH_medium_spiny	random hexamer	148
E_3	INH_midbrain	poly(dT)	106
E_3	INH_midbrain	random hexamer	86
E_3	INH_migrating_interneuron	poly(dT)	120
E_3	INH_migrating_interneuron	random hexamer	100
E_3	ODC	poly(dT)	52
E_3	ODC	random hexamer	56
E_4	ASC	poly(dT)	44
E_4	ASC	random hexamer	40
E_4	EX_cerebellum_granule	poly(dT)	56
E_4	EX_cerebellum_granule	random hexamer	52
E_4	EX_cortical	poly(dT)	92
E_4	EX_cortical	random hexamer	94
E_4	EX_hippocampus_granule	poly(dT)	20
E_4	EX_hippocampus_granule	random hexamer	12
E_4	EX_hippocampus_pyramidal	poly(dT)	2
E_4	EX_hippocampus_pyramidal	random hexamer	12
E_4	EX_thalamus	random hexamer	4
E_4	INH_medium_spiny	poly(dT)	42
E_4	INH_medium_spiny	random hexamer	48
E_4	INH_midbrain	poly(dT)	18
E_4	INH_midbrain	random hexamer	22
E_4	INH_migrating_interneuron	poly(dT)	42
E_4	INH_migrating_interneuron	random hexamer	30
E_4	ODC	poly(dT)	46
E_4	ODC	random hexamer	20
E_5	ASC	poly(dT)	208
E_5	ASC	random hexamer	176
E_5	EX_cerebellum_granule	poly(dT)	112
E_5	EX_cerebellum_granule	random hexamer	78
E_5	EX_cortical	poly(dT)	758
E_5	EX_cortical	random hexamer	814
E_5	EX_hippocampus_granule	poly(dT)	42
E_5	EX_hippocampus_granule	random hexamer	30
E_5	EX_hippocampus_pyramidal	poly(dT)	40
E_5	EX_hippocampus_pyramidal	random hexamer	28
E_5	EX_thalamus	poly(dT)	46
E_5	EX_thalamus	random hexamer	48
E_5	INH_medium_spiny	poly(dT)	404
E_5	INH_medium_spiny	random hexamer	444
E_5	INH_midbrain	poly(dT)	120
E_5	INH_midbrain	random hexamer	114
E_5	INH_migrating_interneuron	poly(dT)	178
E_5	INH_migrating_interneuron	random hexamer	156
E_5	ODC	poly(dT)	168
E_5	ODC	random hexamer	134
E_6	ASC	poly(dT)	46
E_6	ASC	random hexamer	46
E_6	EX_cerebellum_granule	poly(dT)	18
E_6	EX_cerebellum_granule	random hexamer	6
E_6	EX_cortical	poly(dT)	216
E_6	EX_cortical	random hexamer	190
E_6	EX_hippocampus_granule	poly(dT)	8
E_6	EX_hippocampus_granule	random hexamer	2
E_6	EX_hippocampus_pyramidal	poly(dT)	4
E_6	EX_hippocampus_pyramidal	random hexamer	12
E_6	EX_thalamus	poly(dT)	4
E_6	EX_thalamus	random hexamer	4
E_6	INH_medium_spiny	poly(dT)	38
E_6	INH_medium_spiny	random hexamer	24
E_6	INH_midbrain	poly(dT)	30
E_6	INH_midbrain	random hexamer	38
E_6	INH_migrating_interneuron	poly(dT)	96
E_6	INH_migrating_interneuron	random hexamer	80
E_6	ODC	poly(dT)	12
E_6	ODC	random hexamer	26
E_7	ASC	poly(dT)	32
E_7	ASC	random hexamer	54
E_7	EX_cerebellum_granule	poly(dT)	64
E_7	EX_cerebellum_granule	random hexamer	60
E_7	EX_cortical	poly(dT)	103
E_7	EX_cortical	random hexamer	86
E_7	EX_hippocampus_granule	poly(dT)	6
E_7	EX_hippocampus_granule	random hexamer	4
E_7	EX_hippocampus_pyramidal	random hexamer	8
E_7	EX_thalamus	poly(dT)	4
E_7	EX_thalamus	random hexamer	4
E_7	INH_medium_spiny	poly(dT)	22
E_7	INH_medium_spiny	random hexamer	22
E_7	INH_midbrain	poly(dT)	28
E_7	INH_midbrain	random hexamer	21
E_7	INH_migrating_interneuron	poly(dT)	52
E_7	INH_migrating_interneuron	random hexamer	30
E_7	ODC	poly(dT)	28
E_7	ODC	random hexamer	32
E_8	ASC	poly(dT)	68
E_8	ASC	random hexamer	66
E_8	EX_cerebellum_granule	poly(dT)	62
E_8	EX_cerebellum_granule	random hexamer	42
E_8	EX_cortical	poly(dT)	224
E_8	EX_cortical	random hexamer	270
E_8	EX_hippocampus_granule	poly(dT)	30
E_8	EX_hippocampus_granule	random hexamer	16
E_8	EX_hippocampus_pyramidal	poly(dT)	20
E_8	EX_hippocampus_pyramidal	random hexamer	6
E_8	EX_thalamus	poly(dT)	18
E_8	EX_thalamus	random hexamer	12
E_8	INH_medium_spiny	poly(dT)	40
E_8	INH_medium_spiny	random hexamer	32
E_8	INH_midbrain	poly(dT)	78
E_8	INH_midbrain	random hexamer	60
E_8	INH_migrating_interneuron	poly(dT)	206
E_8	INH_migrating_interneuron	random hexamer	212
E_8	ODC	poly(dT)	22
E_8	ODC	random hexamer	38
F_1	ASC	poly(dT)	90
F_1	ASC	random hexamer	106
F_1	EX_cerebellum_granule	poly(dT)	90
F_1	EX_cerebellum_granule	random hexamer	80
F_1	EX_cortical	poly(dT)	520
F_1	EX_cortical	random hexamer	521
F_1	EX_hippocampus_granule	poly(dT)	40
F_1	EX_hippocampus_granule	random hexamer	58
F_1	EX_hippocampus_pyramidal	poly(dT)	26
F_1	EX_hippocampus_pyramidal	random hexamer	38
F_1	EX_thalamus	poly(dT)	46
F_1	EX_thalamus	random hexamer	32
F_1	INH_medium_spiny	poly(dT)	182
F_1	INH_medium_spiny	random hexamer	170
F_1	INH_midbrain	poly(dT)	190
F_1	INH_midbrain	random hexamer	208
F_1	INH_migrating_interneuron	poly(dT)	273
F_1	INH_migrating_interneuron	random hexamer	284
F_1	ODC	poly(dT)	42
F_1	ODC	random hexamer	64
F_2	ASC	poly(dT)	94
F_2	ASC	random hexamer	86
F_2	EX_cerebellum_granule	poly(dT)	78
F_2	EX_cerebellum_granule	random hexamer	74
F_2	EX_cortical	poly(dT)	204
F_2	EX_cortical	random hexamer	195
F_2	EX_hippocampus_granule	poly(dT)	24
F_2	EX_hippocampus_granule	random hexamer	30
F_2	EX_hippocampus_pyramidal	poly(dT)	14
F_2	EX_hippocampus_pyramidal	random hexamer	24
F_2	EX_thalamus	poly(dT)	4
F_2	EX_thalamus	random hexamer	12
F_2	INH_medium_spiny	poly(dT)	50
F_2	INH_medium_spiny	random hexamer	74
F_2	INH_midbrain	poly(dT)	40
F_2	INH_midbrain	random hexamer	50
F_2	INH_migrating_interneuron	poly(dT)	76
F_2	INH_migrating_interneuron	random hexamer	70
F_2	ODC	poly(dT)	48
F_2	ODC	random hexamer	52
F_3	ASC	poly(dT)	50
F_3	ASC	random hexamer	64
F_3	EX_cerebellum_granule	poly(dT)	24
F_3	EX_cerebellum_granule	random hexamer	12
F_3	EX_cortical	poly(dT)	100
F_3	EX_cortical	random hexamer	108
F_3	EX_hippocampus_granule	poly(dT)	8
F_3	EX_hippocampus_granule	random hexamer	16
F_3	EX_hippocampus_pyramidal	poly(dT)	4
F_3	EX_hippocampus_pyramidal	random hexamer	6
F_3	EX_thalamus	poly(dT)	2
F_3	EX_thalamus	random hexamer	4
F_3	INH_medium_spiny	poly(dT)	30
F_3	INH_medium_spiny	random hexamer	34
F_3	INH_midbrain	poly(dT)	44
F_3	INH_midbrain	random hexamer	36
F_3	INH_migrating_interneuron	poly(dT)	54
F_3	INH_migrating_interneuron	random hexamer	76
F_3	ODC	poly(dT)	36
F_3	ODC	random hexamer	36
F_4	ASC	poly(dT)	146
F_4	ASC	random hexamer	146
F_4	EX_cerebellum_granule	poly(dT)	254
F_4	EX_cerebellum_granule	random hexamer	244
F_4	EX_cortical	poly(dT)	306
F_4	EX_cortical	random hexamer	286
F_4	EX_hippocampus_granule	poly(dT)	24
F_4	EX_hippocampus_granule	random hexamer	14
F_4	EX_hippocampus_pyramidal	poly(dT)	22
F_4	EX_hippocampus_pyramidal	random hexamer	18
F_4	EX_thalamus	poly(dT)	20
F_4	EX_thalamus	random hexamer	22
F_4	INH_medium_spiny	poly(dT)	118
F_4	INH_medium_spiny	random hexamer	126
F_4	INH_midbrain	poly(dT)	162
F_4	INH_midbrain	random hexamer	156
F_4	INH_migrating_interneuron	poly(dT)	182
F_4	INH_migrating_interneuron	random hexamer	192
F_4	ODC	poly(dT)	88
F_4	ODC	random hexamer	78
F_5	ASC	poly(dT)	80
F_5	ASC	random hexamer	72
F_5	EX_cerebellum_granule	poly(dT)	106
F_5	EX_cerebellum_granule	random hexamer	84
F_5	EX_cortical	poly(dT)	734
F_5	EX_cortical	random hexamer	734
F_5	EX_hippocampus_granule	poly(dT)	68
F_5	EX_hippocampus_granule	random hexamer	84
F_5	EX_hippocampus_pyramidal	poly(dT)	86
F_5	EX_hippocampus_pyramidal	random hexamer	92
F_5	EX_thalamus	poly(dT)	98
F_5	EX_thalamus	random hexamer	88
F_5	INH_medium_spiny	poly(dT)	48
F_5	INH_medium_spiny	random hexamer	56
F_5	INH_midbrain	poly(dT)	134
F_5	INH_midbrain	random hexamer	156
F_5	INH_migrating_interneuron	poly(dT)	186
F_5	INH_migrating_interneuron	random hexamer	138
F_5	ODC	poly(dT)	82
F_5	ODC	random hexamer	88
F_6	ASC	poly(dT)	98
F_6	ASC	random hexamer	100
F_6	EX_cerebellum_granule	poly(dT)	86
F_6	EX_cerebellum_granule	random hexamer	60
F_6	EX_cortical	poly(dT)	366
F_6	EX_cortical	random hexamer	442
F_6	EX_hippocampus_granule	poly(dT)	56
F_6	EX_hippocampus_granule	random hexamer	52
F_6	EX_hippocampus_pyramidal	poly(dT)	30
F_6	EX_hippocampus_pyramidal	random hexamer	40
F_6	EX_thalamus	poly(dT)	26
F_6	EX_thalamus	random hexamer	18
F_6	INH_medium_spiny	poly(dT)	68
F_6	INH_medium_spiny	random hexamer	66
F_6	INH_midbrain	poly(dT)	72
F_6	INH_midbrain	random hexamer	42
F_6	INH_migrating_interneuron	poly(dT)	112
F_6	INH_migrating_interneuron	random hexamer	140
F_6	ODC	poly(dT)	10
F_6	ODC	random hexamer	34
F_7	ASC	poly(dT)	138
F_7	ASC	random hexamer	124
F_7	EX_cerebellum_granule	poly(dT)	174
F_7	EX_cerebellum_granule	random hexamer	246
F_7	EX_cortical	poly(dT)	350
F_7	EX_cortical	random hexamer	324
F_7	EX_hippocampus_granule	poly(dT)	30
F_7	EX_hippocampus_granule	random hexamer	18
F_7	EX_hippocampus_pyramidal	poly(dT)	12
F_7	EX_hippocampus_pyramidal	random hexamer	30
F_7	EX_thalamus	poly(dT)	18
F_7	EX_thalamus	random hexamer	22
F_7	INH_medium_spiny	poly(dT)	90
F_7	INH_medium_spiny	random hexamer	88
F_7	INH_midbrain	poly(dT)	98
F_7	INH_midbrain	random hexamer	94
F_7	INH_migrating_interneuron	poly(dT)	206
F_7	INH_migrating_interneuron	random hexamer	230
F_7	ODC	poly(dT)	86
F_7	ODC	random hexamer	104
F_8	ASC	poly(dT)	12
F_8	ASC	random hexamer	10
F_8	EX_cerebellum_granule	poly(dT)	8
F_8	EX_cerebellum_granule	random hexamer	12
F_8	EX_cortical	poly(dT)	122
F_8	EX_cortical	random hexamer	144
F_8	EX_hippocampus_granule	poly(dT)	4
F_8	EX_hippocampus_granule	random hexamer	6
F_8	EX_hippocampus_pyramidal	poly(dT)	6
F_8	EX_hippocampus_pyramidal	random hexamer	8
F_8	EX_thalamus	poly(dT)	6
F_8	EX_thalamus	random hexamer	6
F_8	INH_medium_spiny	poly(dT)	18
F_8	INH_medium_spiny	random hexamer	24
F_8	INH_midbrain	poly(dT)	30
F_8	INH_midbrain	random hexamer	28
F_8	INH_migrating_interneuron	poly(dT)	38
F_8	INH_migrating_interneuron	random hexamer	52
F_8	ODC	poly(dT)	14
F_8	ODC	random hexamer	14
