feature_type	primer	n_blocks	n_features	median_rank_correlation	median_ci_low	median_ci_high	positive_fraction	positive_ci_low	positive_ci_high	positive_sign_p_value
exon	poly(dT)	115	353	0.18125	0.028571428571428574	0.3015387902550122	0.6086956521739131	0.5217391304347826	0.7043478260869566	0.012396768169821841
exon	random hexamer	288	988	0.11666666666666668	0.05714285714285715	0.246250923872875	0.5729166666666666	0.5172743055555556	0.6319444444444444	0.007774083444951333
junction	poly(dT)	76	313	0.2693022845425538	0.18121378563007257	0.38885205023884906	0.7105263157894737	0.5921052631578947	0.8026315789473685	0.0001564893004185251
junction	random hexamer	190	833	0.2601942051731124	0.14642857142857144	0.33333333333333337	0.6631578947368421	0.5947368421052631	0.7315789473684211	4.04299323413327e-06
