feature_type	primer	n_blocks	n_features	pearson	spearman	sign_agreement	pearson_ci_low	pearson_ci_high	spearman_ci_low	spearman_ci_high	sign_agreement_ci_low	sign_agreement_ci_high
exon	poly(dT)	264	884	0.10319130485417624	0.06663046638750202	0.5606060606060606	-0.022033473443180157	0.22386882317198084	-0.05093954093520137	0.1821993001550414	0.4962121212121212	0.6175189393939393
exon	random hexamer	517	1675	0.10173843645215713	0.10179564620111342	0.5551257253384912	0.007640760350503923	0.19726937735265335	0.016582796122920854	0.18332081616026424	0.5106382978723404	0.5938588007736944
junction	poly(dT)	75	163	0.13979988415778408	0.22248107047001703	0.5733333333333334	-0.05422034500255988	0.35644038212317886	-0.009381965311317386	0.4359673084002597	0.4533333333333333	0.68
junction	random hexamer	168	463	0.15119991005921385	0.1577622478196649	0.48214285714285715	0.007218666171052406	0.3038929270388617	-0.0024740203472386627	0.30232536771153573	0.4107142857142857	0.5595238095238095
