method	endpoint	scope	minimum_depth	n_tests	n_replicated	replication_rate	ci_low	ci_high	conditional_null_rate
SUPPA2 (full data)	pooled direction	top-ranked calls per contrast	20.0	3871	1872	0.48359597003358307	0.46787756770112976	0.49934689777709074	0.5
SUPPA2 (full data)	both biological replicates	top-ranked calls per contrast	20.0	2590	802	0.3096525096525097	0.29213924630156063	0.3277295792787466	0.5
