event_type	n_blocks	fraction
alternative first region	462	0.584070796460177
cassette exon	139	0.17572692793931732
alternative last region	94	0.11883691529709228
whole-gene complex	41	0.051833122629582805
compound internal	27	0.03413400758533502
multi-exon skipping	14	0.017699115044247787
mutually exclusive exons	9	0.011378002528445006
complex internal	3	0.0037926675094816687
alternative acceptor	2	0.0025284450063211127
