test_id	null_type	analytic_p_value	calibrated_p_value	reference_nulls	degrees_of_freedom	denominator_df_bin	fdr
ENSMUSG00000022139.18:B1	wild_cluster	0.0552003009201064	0.41116213352172376	2830	7	>20	0.7211054582229988
ENSMUSG00000022604.19:B1	wild_cluster	2.7659977845064104e-27	0.02877697841726619	416	12	11-20	0.4135401864624129
ENSMUSG00000023034.8:B1	wild_cluster	6.7035122961705844e-12	0.03461538461538462	6759	5	>20	0.42154010255574076
ENSMUSG00000024384.5:B1	wild_cluster	0.0568427586834718	0.1845107503290917	4557	3	>20	0.5693254400567805
ENSMUSG00000024858.15:B1	wild_cluster	0.4634429627764438	0.4780194354465525	2160	4	11-20	0.7633688691677389
ENSMUSG00000025326.13:B1	wild_cluster	0.0404665942881321	0.5138562705495537	2128	9	>20	0.7808668360313246
ENSMUSG00000026020.10:B1	wild_cluster	0.0250904349744262	0.109828141783029	3723	2	11-20	0.4860396790295065
ENSMUSG00000026554.16:B1	wild_cluster	8.388522898092589e-11	0.149583600256246	3121	10	>20	0.5445133973671451
ENSMUSG00000026959.14:B3	wild_cluster	1.35312801748615e-05	0.20381490639350053	2830	7	>20	0.5868824099484643
ENSMUSG00000027589.15:B1	wild_cluster	0.1003012083632659	0.2161035541904344	4557	3	>20	0.5893176173056948
ENSMUSG00000028106.14:B1	wild_cluster	0.0334783488879011	0.3790180148357471	2830	7	>20	0.7044058430459975
ENSMUSG00000028664.15:B1	wild_cluster	0.6677290683505961	0.45119910764082544	1792	1	1-5	0.7428045572611157
ENSMUSG00000029131.15:B1	wild_cluster	0.6054326194843562	0.7294242317202402	2830	7	>20	0.9013957768603353
ENSMUSG00000029587.17:B1	wild_cluster	0.911685310663194	0.7743221690590112	3761	1	11-20	0.9242997930910971
ENSMUSG00000030231.12:B1	wild_cluster	4.313822570212178e-30	0.06958671847403744	2830	7	>20	0.46225881142269104
ENSMUSG00000030898.16:B1	wild_cluster	0.7955258939619637	0.7041906327033689	1216	1	>20	0.8867992710590356
ENSMUSG00000031592.11:B1	wild_cluster	1.0417346983162536e-29	0.04190018681611956	3746	8	>20	0.4346781505265798
ENSMUSG00000032050.19:B1	wild_cluster	9.264102341046552e-07	0.31110283159463487	2683	12	>20	0.6638830971606174
ENSMUSG00000032479.16:B1	wild_cluster	2.0664224183000732e-22	0.20807833537331702	816	18	>20	0.5882245182474101
ENSMUSG00000033065.15:B1	wild_cluster	0.0014462875900345	0.35490070467648943	3121	10	>20	0.6916329567925339
ENSMUSG00000034021.16:B1	wild_cluster	0.2347783235163317	0.8390461997019374	2683	12	>20	0.9515860898791374
ENSMUSG00000034751.18:B1	wild_cluster	4.852016158812773e-83	0.012345679012345678	80	36	>20	0.4062768507212951
ENSMUSG00000035545.14:B1	wild_cluster	1.1567498729512524e-40	0.04723346828609987	740	11	>20	0.43963983201651363
ENSMUSG00000036503.14:B1	wild_cluster	0.3026263144118619	0.4823529411764706	84	4	1-5	0.7633688691677389
ENSMUSG00000037331.16:B1	wild_cluster	0.0465448499320836	0.19959643517740036	5946	4	>20	0.580691183171556
ENSMUSG00000038095.16:B1	wild_cluster	1.0943346080200221e-07	0.14464905257539365	3746	8	>20	0.5379116859054327
ENSMUSG00000039473.9:B1	wild_cluster	0.0497029781093963	0.1792452830188679	4557	3	>20	0.5659442343066245
ENSMUSG00000040390.14:B1	wild_cluster	1.0	1.0	512	10	11-20	1.0
ENSMUSG00000041215.17:B1	wild_cluster	8.49735190157289e-10	0.05969396334286195	5946	4	>20	0.4608847075722556
ENSMUSG00000042228.15:B1	wild_cluster	0.0221190067525773	0.10664881749219099	2240	1	6-10	0.4860396790295065
ENSMUSG00000043987.19:B1	wild_cluster	0.2519408932739306	0.3121983326020184	4557	3	>20	0.6649572830954322
ENSMUSG00000046658.17:B1	wild_cluster	0.9425677957599116	0.8424810352521196	2240	1	6-10	0.9532556197361514
ENSMUSG00000049100.16:B1	wild_cluster	0.0158616053287603	0.7430972388955582	832	14	>20	0.9090394327665707
ENSMUSG00000051675.14:B1	wild_cluster	0.7652349891886043	0.6806793341180427	5946	4	>20	0.8768967091723633
ENSMUSG00000054006.15:B1	wild_cluster	0.923328309788686	0.8134761267291388	2240	1	6-10	0.9430025190367204
ENSMUSG00000056267.15:B1	wild_cluster	0.0687633775611794	0.19087318999561212	4557	3	>20	0.5723647326170157
ENSMUSG00000058297.17:B1	wild_cluster	0.2263161051308936	0.8110661268556005	740	11	>20	0.9419042487834912
ENSMUSG00000060534.17:B1	wild_cluster	0.1430447178221918	0.2139755230951441	2532	3	11-20	0.5892456975867133
ENSMUSG00000062762.18:B1	wild_cluster	0.3292078595529929	0.3364638628011433	2448	2	>20	0.6796392655758321
