subset	coordinates	blocks	sign_agreement	effect_spearman
all coordinates	14091	987	0.5707898658718331	0.15407743989605488
both block p<=0.05	5301	177	0.6025278249386908	0.16923498146145707
both block BH<=0.05	4396	128	0.5916742493175614	0.14822101384008865
both |z|>=1	712	224	0.7556179775280899	0.46662153826349345
both |z|>=1.96	217	69	0.8064516129032258	0.41490391164851065
