null_type	replicate	tests	p_le_0.05	p_le_0.01	p_le_0.001	bh_0.05	bh_rate
label_permutation	0	4477	0.36877373241009603	0.3037748492293947	0.25329461693098054	1432	0.3198570471297744
label_permutation	1	4480	0.3609375	0.2975446428571429	0.24910714285714286	1394	0.3111607142857143
label_permutation	2	4478	0.3619919606967396	0.2990174184903975	0.2505582849486378	1407	0.31420276909334527
label_permutation	3	4476	0.3652815013404826	0.30116175156389635	0.25	1384	0.3092046470062556
label_permutation	4	4478	0.3624385886556498	0.29834747655203214	0.2534613666815543	1405	0.313756141134435
label_permutation	5	4481	0.38473555010042404	0.31689355054675294	0.2653425574648516	1509	0.336755188573979
label_permutation	6	4475	0.36983240223463687	0.3059217877094972	0.25430167597765363	1434	0.3204469273743017
label_permutation	7	4479	0.371511498102255	0.30877427997320833	0.25697700379549004	1441	0.32172359901763786
label_permutation	8	4479	0.3625809332440277	0.3034159410582719	0.2540745702165662	1427	0.3185979013172583
label_permutation	9	4477	0.3761447397811034	0.31114585660040206	0.2620058074603529	1474	0.32923832923832924
label_permutation	10	4477	0.36721018539200356	0.30511503238775967	0.25910207728389545	1427	0.3187402278311369
label_permutation	11	4481	0.3664360633787101	0.3050658335193037	0.25730863646507474	1434	0.32001785315777725
label_permutation	12	4479	0.36481357445858453	0.3022996204509935	0.2525117213663764	1417	0.3163652601027015
label_permutation	13	4478	0.3651183564091112	0.3032603841000447	0.2603841000446628	1422	0.31755247878517195
label_permutation	14	4479	0.36548336682295157	0.30966733645903105	0.2632283991962492	1434	0.3201607501674481
label_permutation	15	4479	0.3636972538513061	0.3092208082161197	0.25184192900200936	1435	0.3203840142889038
wild_cluster	0	4492	0.3388245770258237	0.27382012466607303	0.22395369545859306	1283	0.28561887800534286
wild_cluster	1	4492	0.3397150489759573	0.27560106856634015	0.22796081923419412	1283	0.28561887800534286
wild_cluster	2	4492	0.3428317008014248	0.2771593944790739	0.22016918967052537	1290	0.2871772039180766
wild_cluster	3	4492	0.33103294746215495	0.2642475512021371	0.21482635796972396	1242	0.27649154051647373
wild_cluster	4	4492	0.3441674087266251	0.2742653606411398	0.22128227960819233	1290	0.2871772039180766
wild_cluster	5	4492	0.33147818343722174	0.2709260908281389	0.2195013357079252	1260	0.2804986642920748
wild_cluster	6	4492	0.3397150489759573	0.2767141585040071	0.22929652715939447	1293	0.28784505788067677
wild_cluster	7	4492	0.33192341941228853	0.2713713268032057	0.22284060552092608	1257	0.2798308103294746
wild_cluster	8	4492	0.33993766696349065	0.27604630454140694	0.22595725734639358	1299	0.2891807658058771
wild_cluster	9	4492	0.33637577916295636	0.26691896705253787	0.21994657168299198	1236	0.27515583259127335
wild_cluster	10	4492	0.3352626892252894	0.27649154051647373	0.22105966162065896	1298	0.2889581478183437
wild_cluster	11	4492	0.342386464826358	0.2771593944790739	0.23018699910952806	1307	0.29096170970614427
wild_cluster	12	4492	0.34260908281389135	0.2809439002671416	0.2346393588601959	1306	0.29073909171861084
wild_cluster	13	4492	0.3357079252003562	0.26936776491540515	0.21616206589492432	1263	0.281166518254675
wild_cluster	14	4492	0.33504007123775603	0.27003561887800537	0.22617987533392697	1265	0.2816117542297418
wild_cluster	15	4492	0.33504007123775603	0.26892252894033836	0.22016918967052537	1255	0.27938557435440786
