test_id	block_id	gene_id	contrast	cell_type	level_a	level_b	method	latent_space	pairwise_null_seed	n_paths	n_isoforms	n_original_isoforms	n_ecs	n_samples	n_test_levels	degrees_of_freedom	median_gene_umis	statistic	lrt_p_value	bic_log_bayes_factor	null_converged	alternative_converged	null_objective	alternative_objective	alternative_observation_noise_sd	null_random_effect_sd	alternative_random_effect_sd	alternative_concentration	null_iterations	alternative_iterations	null_cavi_iterations	alternative_cavi_iterations	null_gradient_norm	alternative_gradient_norm	null_scaled_gradient_norm	alternative_scaled_gradient_norm	null_optimizer_scale	alternative_optimizer_scale	null_mode_score_norm	alternative_mode_score_norm	null_mode_steps	alternative_mode_steps	null_attempts	alternative_attempts	alternative_reused	null_warm_start	null_optimizer	alternative_optimizer	null_objective_evaluations	alternative_objective_evaluations	null_objective_evaluation_seconds	alternative_objective_evaluation_seconds	null_optimizer_seconds	alternative_optimizer_seconds
ENSMUSG00000003233.13:B2	ENSMUSG00000003233.13:B2	ENSMUSG00000003233.13	cell_type				laplace_multinomial	isoform		2	3	3	10	32	3	2	15.0	1.0697774393629516	0.5857344672363474	-2.460843553872515	True	True	570.4245529015186	569.8896641818371	0.0	0.000411948286895018	0.0004120076456770145	inf	45	29			0.003651982318404818	0.005201155503731303	5.725277040641058e-06	9.118042828407604e-06	637.8699742355011	570.4245529015184	4.440892118352961e-15	1.7763568394002505e-15	12	12	1	1	False	default	lbfgs	lbfgs	51	35	5.1243646470829844	4.421729111112654	0.10550336632877588	0.060643198899924755
ENSMUSG00000003762.14:B1	ENSMUSG00000003762.14:B1	ENSMUSG00000003762.14	cell_type				laplace_multinomial	isoform		2	3	3	10	77	5	4	14.0	0.012196380819204933	0.9999814814572956	-7.269074129043169	False	False	1914.296607027575	1914.2905088371654	0.0	1.078350251913782	1.0782511824147631	inf	20	2			145.72184565949658	154.7869407041679	0.06292023442588382	0.08085838875508289	2315.9774751180876	1914.2966250912061	6.511946537557378e-11	7.181526704425067e-07	12	12	1	1	False	default	lbfgs	lbfgs	85	33	5.391775104217231	4.366110280156136	0.27371399477124214	0.13593871518969536
ENSMUSG00000021010.10:B3	ENSMUSG00000021010.10:B3	ENSMUSG00000021010.10	cell_type				laplace_multinomial	isoform		2	4	4	19	231	12	11	71.0	26.922940474323696	0.00471998429831787	-7.830135322831552	True	True	39860.433271457914	39846.97180122075	0.0	0.36749240394926475	0.38480740126084	inf	37	13			0.4280171823115307	0.3549987428919128	9.4896856998083e-06	8.906043255332834e-06	45103.40972833031	39860.43327145798	1.354472090042691e-14	1.176836406102666e-14	12	12	1	1	False	default	lbfgs	lbfgs	47	16	7.535902122966945	6.011486419476569	0.4524782132357359	0.12273671198636293
ENSMUSG00000021224.16:B3	ENSMUSG00000021224.16:B3	ENSMUSG00000021224.16	cell_type				laplace_multinomial	isoform		2	3	3	9	34	2	1	19.0	0.7853197016365812	0.37551910760049156	-1.3243337514242826	True	True	929.2847708761498	928.8921110253315	0.0	0.005595034617430689	0.005598936550880517	inf	47	19			0.0034696034555128435	0.008404310009745744	3.6414437746884863e-06	9.04384777749234e-06	952.8098386771485	929.2847708761497	1.3988810110276972e-14	6.106226635438361e-15	12	12	1	1	False	default	lbfgs	lbfgs	56	29	5.8032255079597235	4.994782688096166	0.09824058786034584	0.041825865395367146
ENSMUSG00000021756.13:B1	ENSMUSG00000021756.13:B1	ENSMUSG00000021756.13	cell_type				laplace_multinomial	isoform		5	5	5	20	25	3	8	12.0	8.786369439805867	0.3606370010322011	-6.939668656321931	True	True	660.1206266459411	655.7274419260382	0.0	0.21097198411035165	0.0023457265337955713	inf	27	25			0.005842266206014871	0.00520031236400572	8.10784583277913e-06	7.87782134662553e-06	720.569473878651	660.120626654383	1.0658205410905494e-14	2.220452825513891e-15	12	12	1	1	False	default	lbfgs	lbfgs	33	30	6.495085151866078	5.640731225721538	0.09766141325235367	0.05979449022561312
ENSMUSG00000022415.13:B1	ENSMUSG00000022415.13:B1	ENSMUSG00000022415.13	cell_type				laplace_multinomial	isoform		2	2	2	6	124	6	5	20.0	9.496592999015775	0.09082223371700887	-4.712177585287765	True	True	3612.5176209192573	3607.7693244197494	0.0	0.542357185059819	0.036879340714589676	inf	21	10			0.03473051055601484	0.025144442496166146	8.779701799576025e-06	6.960365355883429e-06	3955.7733678029913	3612.517620919447	4.218847493575595e-15	4.440892098500626e-16	12	12	1	1	False	default	lbfgs	lbfgs	33	13	5.098753429017961	3.921260611154139	0.09494090732187033	0.018297875300049782
ENSMUSG00000024219.17:B2	ENSMUSG00000024219.17:B2	ENSMUSG00000024219.17	cell_type				laplace_multinomial	isoform		2	3	3	12	27	4	3	13.0	2.687414355278065	0.4423703316585763	-2.815175905720639	True	True	490.2104550299685	488.86674785232947	0.0	0.00033546262790251185	0.00033546262790251185	inf	67	45			0.0028654973850594893	0.004025591869939037	5.7478287623836434e-06	8.211966571975575e-06	498.53562162682766	490.2104550299685	4.163336342344337e-15	8.909539772616881e-15	12	12	1	1	False	default	lbfgs	lbfgs	73	57	5.707096506841481	5.119528184644878	0.12119306158274412	0.13935850840061903
ENSMUSG00000025261.19:B1	ENSMUSG00000025261.19:B1	ENSMUSG00000025261.19	cell_type				laplace_multinomial	isoform		2	3	3	16	272	13	12	51.0	11.777508756757015	0.46370970365226094	-17.33845168706884	True	True	8883.368362385843	8877.479608007465	0.0	0.3926472117699853	0.390657627167449	inf	36	36			0.09112599735911597	0.05579322221020211	9.49094257499631e-06	6.280638146949082e-06	9601.364315403775	8883.368362386	2.3936408410918375e-13	1.021405182655144e-13	12	12	1	1	False	default	lbfgs	lbfgs	44	40	5.891311176121235	5.189324513077736	0.28682399448007345	0.19538530614227057
ENSMUSG00000030759.17:B1	ENSMUSG00000030759.17:B1	ENSMUSG00000030759.17	cell_type				laplace_multinomial	isoform		2	2	2	10	76	4	3	17.0	13.008362090387891	0.004618556790748308	0.9708618640230409	True	True	2638.779653448555	2632.275472403361	0.0	0.012026818244198439	0.012119221968491837	inf	15	14			0.024615084639004935	0.021208318369082983	9.145839517754452e-06	8.03716912905796e-06	2691.396956093605	2638.7796534485547	5.10702591327572e-15	4.107825191113079e-15	12	12	1	1	False	default	lbfgs	lbfgs	19	17	4.568422278389335	4.1257706778123975	0.03662910871207714	0.046689340844750404
ENSMUSG00000031284.17:B1	ENSMUSG00000031284.17:B1	ENSMUSG00000031284.17	cell_type				laplace_multinomial	isoform		3	4	4	7	65	5	8	16.0	6.388957143110929	0.6037490929054126	-10.410310955093157	True	True	1204.5901990096845	1201.395720438129	0.0	0.0003354626551560989	0.00033546262790251185	inf	62	19			0.011514557238604744	0.009321029509487117	7.556276250055297e-06	7.737925742007619e-06	1523.8401638003215	1204.5901990096843	9.992009339208777e-16	6.661338147750939e-16	12	12	1	1	False	default	lbfgs	lbfgs	78	23	5.307629308663309	5.573036747053266	0.19460226316004992	0.03967416100203991
