ragged_dot_key	kernel	blocks	samples	maximum_samples	sample_padding_ratio	compile_seconds	median_evaluation_seconds	minimum_evaluation_seconds
(3, 10, 10, 12)	padded	28	2133	240	3.150492264416315	1.7551647539949045	0.0028124884993303567	0.0023800119961379096
(3, 10, 10, 12)	ragged_dot	28	2133	240	3.150492264416315	0.8316304000036325	0.0025749224951141514	0.0023154619993874803
