test_id	batched_null_converged	batched_alternative_converged	scalar_null_converged	scalar_alternative_converged	batched_null_objective	scalar_null_objective	batched_alternative_objective	scalar_alternative_objective	batched_statistic	scalar_statistic	absolute_statistic_difference	batched_null_gradient_norm	batched_alternative_gradient_norm	batched_null_mode_score_norm	batched_alternative_mode_score_norm	batched_null_iterations	batched_alternative_iterations	batched_null_line_search_evaluations	batched_alternative_line_search_evaluations	scalar_null_iterations	scalar_alternative_iterations
ENSMUSG00000059119.10:B1	True	True	True	True	1721.0723105343216	1721.0723105343977	1719.7267667601427	1719.7280956070842	2.6910875483577	2.6884298546269747	0.002657693730725441	9.452151868126605e-06	9.573056949620526e-06	7.709366032371832e-15	5.567069512698188e-15	52	80	52	83	52	83
ENSMUSG00000063663.12:B1	True	True	True	True	1470.6994419311466	1470.6984726465012	1469.488413824925	1469.4885073609817	2.4220562124432945	2.4199305710390036	0.0021256414042909455	9.78753106995465e-06	9.445762886427377e-06	3.2681537105138504e-15	3.5543565895944634e-15	68	57	73	59	63	57
ENSMUSG00000035469.18:B1	True	True	True	True	1544.580845922736	1544.5807408096582	1544.9293955540654	1544.93008486125	0.0	0.0	0.0	8.471736284524746e-06	9.639740318697332e-06	2.513992528302614e-16	2.240702055700479e-16	59	40	64	41	59	42
ENSMUSG00000036257.16:B2	True	True	True	True	2034.545056222947	2034.5456414951245	2034.5460722110083	2034.5460722110083	0.0	0.0	0.0	9.154899730413783e-06	4.488814780386912e-06	5.158284558961825e-16	5.22994554755828e-16	43	31	47	31	41	31
ENSMUSG00000007476.19:B1	True	True	False	True	3046.2423216981297	3121.0254190426704	3050.6227823806958	3050.62355322071	0.0	140.8037316439204	140.8037316439204	8.1185179174513e-06	9.471864105988518e-06	2.6350599329650806e-14	3.6049002802148287e-16	28	57	30	98	4	43
ENSMUSG00000024867.15:B1	True	True	True	True	3512.2979748399594	3512.2978822496116	3510.643438243377	3510.64430064094	3.309073193164295	3.307163217343259	0.0019099758210359141	8.81430741364677e-06	9.443330248100518e-06	7.555577331881854e-15	8.939515712892071e-15	19	19	21	21	19	18
ENSMUSG00000037503.13:B2	True	True	True	True	1616.6426635245489	1616.642699031792	1616.1455154147407	1616.1452314693554	0.9942962196164444	0.9949351248733365	0.0006389052568920306	5.065807675998058e-06	6.268232799239321e-06	2.037540268904076e-16	1.1662079847435306e-14	43	42	58	46	44	42
ENSMUSG00000027698.15:B1	True	True	True	True	2467.011019301895	2467.030008639411	2467.0065301334207	2467.1547526315626	0.008978336948530341	0.0	0.008978336948530341	8.908915147397898e-06	7.95671318372181e-06	5.072033338936465e-17	8.626520404809712e-17	40	36	47	50	35	30
