test_id	batched_null_converged	batched_alternative_converged	scalar_null_converged	scalar_alternative_converged	batched_null_objective	scalar_null_objective	batched_alternative_objective	scalar_alternative_objective	batched_statistic	scalar_statistic	absolute_statistic_difference	batched_null_gradient_norm	batched_alternative_gradient_norm	batched_null_mode_score_norm	batched_alternative_mode_score_norm	batched_null_iterations	batched_alternative_iterations	batched_null_line_search_evaluations	batched_alternative_line_search_evaluations	scalar_null_iterations	scalar_alternative_iterations
ENSMUSG00000059119.10:B1	True	True	True	True	1721.0723105354753	1721.072310534645	1719.7274791851012	1719.7274690972656	2.6896627007481584	2.6896828747590007	2.0174010842310963e-05	9.452144218483581e-06	6.7267385769213555e-06	1.0103029524088925e-14	5.329070518200751e-15	52	34	52	37	52	34
ENSMUSG00000063663.12:B1	True	True	True	True	1470.6994419311898	1470.6984726464411	1469.3602947340619	1469.3497122262204	2.678294394255772	2.6975208404414843	0.01922644618571212	9.787528882307813e-06	4.067925740243736e-06	3.9968028886505635e-15	5.773159728050814e-15	68	38	73	40	63	36
ENSMUSG00000035469.18:B1	True	True	True	True	1544.5808459227296	1544.5807408096966	1543.8628711364286	1543.8617221596005	1.4359495726021123	1.4380373001922635	0.0020877275901511894	8.47173613241592e-06	8.314676963584233e-06	3.3306690738754696e-15	1.7763568394002505e-15	59	45	64	47	59	46
ENSMUSG00000036257.16:B2	True	True	True	True	2034.545056222947	2034.5456414951245	2034.5450269946255	2034.5456414951245	5.845664327353006e-05	0.0	5.845664327353006e-05	9.15489974696237e-06	4.682763292842568e-06	4.440892098500626e-15	1.3322676295501878e-14	43	2	47	2	41	0
ENSMUSG00000007476.19:B1	True	True	False	True	3046.242321698131	3121.0254190426704	3044.4103142201443	3050.622371968081	3.664014955973471	140.80609414917853	137.14207919320506	8.118517918213944e-06	4.043732372381836e-06	3.108624468950438e-14	3.885780586188048e-14	28	9	30	10	4	37
ENSMUSG00000024867.15:B1	True	True	True	True	3512.2979748399603	3512.2978822496125	3510.636621689816	3510.6366074218904	3.3227063002887007	3.3225496554441634	0.00015664484453736804	8.814307413638401e-06	8.148205602116286e-06	2.0095036745715333e-14	1.1102230246251565e-14	19	14	21	15	19	14
ENSMUSG00000037503.13:B2	True	True	True	True	1616.642663524548	1616.6426990317925	1616.642663524548	1616.6425472933283	0.0	0.0003034769283658534	0.0003034769283658534	5.065807985337474e-06	8.338363430702127e-06	1.7763568394002505e-15	8.881784197001252e-16	43	0	58	0	44	2
ENSMUSG00000027698.15:B1	True	True	True	True	2467.0110193034143	2467.0300086394523	2467.0094410125225	2467.0300086394523	0.0031565817835144117	0.0	0.0031565817835144117	8.908916128056488e-06	9.60705586206624e-06	8.881784197001252e-15	3.219646771412954e-15	40	2	47	2	35	0
