test_id	block_id	gene_id	gene_name	event_type	level_a	level_b	n_paths	n_mappable_paths	n_mapped_transcripts	mapping_complete	original_effect_norm	long_read_effect_norm	pooled_dot_product	pooled_cosine	pooled_replicated	replicate_1_dot_product	replicate_2_dot_product	replicate_1_cosine	replicate_2_cosine	both_replicates_replicated	minimum_pooled_depth	minimum_replicate_depth	technical_g_test_p_value	counts_a_rep1	counts_a_rep2	counts_b_rep1	counts_b_rep2	technical_g_test_fdr	technical_bh_directional_replication
ENSMUSG00000000305.13:B1|cell_type|EX_cortical|INH_medium_spiny	ENSMUSG00000000305.13:B1	ENSMUSG00000000305.13	Cdh4	whole-gene complex	EX_cortical	INH_medium_spiny	2	2	2	True	0.09872963557731673	0.05142594772265801	0.0050772650778761665	1.0	True	0.008462108463126939	NA	0.9999999999999998	NA	NA	55.0	13.0	0.45051323317691316	[13, 0]	[44, 0]	[31, 2]	[22, 0]	0.6085450916217037	False
ENSMUSG00000000631.21:B5|cell_type|ASC|EX_cortical	ENSMUSG00000000631.21:B5	ENSMUSG00000000631.21	Myo18a	alternative last region	ASC	EX_cortical	6	6	12	True	0.11552111652803541	1.4142135623730951	-0.10832264524040007	-0.6630448121314932	False	-0.10832264524040007	NA	-0.6630448121314932	NA	NA	1.0	0.0	0.24141300345729966	[0, 0, 0, 0, 0, 1]	[0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 6, 0]	[0, 0, 0, 0, 3, 0]	0.37740377001522657	False
ENSMUSG00000000826.17:B1|cell_type|EX_cortical|INH_migrating_interneuron	ENSMUSG00000000826.17:B1	ENSMUSG00000000826.17	Dnajc5	alternative first region	EX_cortical	INH_migrating_interneuron	2	2	2	False	0.028764889621595024	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[60, 12]	[48, 37]	[0, 0]	[0, 0]	NA	False
ENSMUSG00000001175.17:B1|cell_type|EX_cerebellum_granule|INH_medium_spiny	ENSMUSG00000001175.17:B1	ENSMUSG00000001175.17	Calm1	alternative first region	EX_cerebellum_granule	INH_medium_spiny	2	2	2	True	0.15001783156156825	0.0004514981352302955	6.773277120134064e-05	1.0000000000000002	True	NA	0.00014539340716374056	NA	1.0000000000000002	NA	10526.92	540.17	0.09223236575949402	[540, 0]	[9986, 0]	[15057, 0]	[13123, 9]	0.1717983911535643	False
ENSMUSG00000001175.17:B1|cell_type|EX_cerebellum_granule|INH_midbrain	ENSMUSG00000001175.17:B1	ENSMUSG00000001175.17	Calm1	alternative first region	EX_cerebellum_granule	INH_midbrain	2	2	2	False	0.24543135348396664	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[540, 0]	[9986, 0]	[0, 0]	[0, 0]	NA	False
ENSMUSG00000001248.16:B1|cell_type|EX_cortical|INH_midbrain	ENSMUSG00000001248.16:B1	ENSMUSG00000001248.16	Gramd1a	alternative first region	EX_cortical	INH_midbrain	2	2	2	False	0.016919936709924425	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[0, 48]	[0, 162]	[0, 0]	[0, 0]	NA	False
ENSMUSG00000001472.18:B1|cell_type|ASC|EX_cortical	ENSMUSG00000001472.18:B1	ENSMUSG00000001472.18	Tcf25	alternative first region	ASC	EX_cortical	2	2	2	True	0.039611023131961604	0.5837654121003659	-0.023123545242346694	-1.0	False	-0.019250089551775807	-0.025012276434476025	-1.0	-0.9999999999999999	False	149.87	60.370000000000005	2.2129580771356734e-30	[30, 29]	[41, 48]	[337, 60]	[1000, 105]	4.4397471422534447e-29	False
ENSMUSG00000001472.18:B1|cell_type|EX_cerebellum_granule|EX_cortical	ENSMUSG00000001472.18:B1	ENSMUSG00000001472.18	Tcf25	alternative first region	EX_cerebellum_granule	EX_cortical	2	2	2	True	0.10544186823251407	0.1847055101617883	-0.01947569406429857	-1.0	False	-0.00909279271225466	-0.02190583806368505	-1.0	-1.0	False	159.59	8.25	2.083573586379145e-05	[6, 1]	[114, 36]	[337, 60]	[1000, 105]	8.395319513318478e-05	False
ENSMUSG00000001472.18:B1|cell_type|EX_cortical|INH_medium_spiny	ENSMUSG00000001472.18:B1	ENSMUSG00000001472.18	Tcf25	alternative first region	EX_cortical	INH_medium_spiny	2	2	2	True	0.10428357892065135	0.15715741817888265	-0.016388938021623316	-1.0	False	-0.002343278096184818	-0.029009675835691116	-1.0000000000000002	-0.9999999999999999	False	586.9499999999999	254.5	3.8837183903962697e-10	[337, 60]	[1000, 105]	[276, 55]	[180, 74]	2.8769390845781596e-09	False
ENSMUSG00000001472.18:B1|cell_type|EX_cortical|INH_midbrain	ENSMUSG00000001472.18:B1	ENSMUSG00000001472.18	Tcf25	alternative first region	EX_cortical	INH_midbrain	2	2	2	False	0.10212984928144209	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[337, 60]	[1000, 105]	[0, 0]	[0, 0]	NA	False
ENSMUSG00000001472.18:B1|cell_type|EX_cortical|INH_migrating_interneuron	ENSMUSG00000001472.18:B1	ENSMUSG00000001472.18	Tcf25	alternative first region	EX_cortical	INH_migrating_interneuron	2	2	2	False	0.11017896815048309	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[337, 60]	[1000, 105]	[0, 0]	[0, 0]	NA	False
ENSMUSG00000001911.17:B3|cell_type|ASC|EX_cortical	ENSMUSG00000001911.17:B3	ENSMUSG00000001911.17	Nfix	cassette exon	ASC	EX_cortical	2	2	4	True	0.002032218970164402	0.1496687669386823	-0.0003041597074139048	-0.9999999999999998	False	-0.0003319011180775459	-0.0002831318894622152	-1.0	-0.9999999999999998	False	964.64	397.0	1.6874373970933252e-25	[8, 388]	[23, 544]	[216, 1366]	[530, 3263]	2.9545494789106765e-24	False
ENSMUSG00000001911.17:B4|cell_type|ASC|EX_cortical	ENSMUSG00000001911.17:B4	ENSMUSG00000001911.17	Nfix	cassette exon	ASC	EX_cortical	2	2	4	True	0.05970169986685476	0.05244383025998228	-0.0031309858140497375	-0.9999999999999999	False	-0.0062165048309916204	-0.0013119392953198365	-1.0000000000000002	-1.0	False	964.64	397.0	0.004913489455912417	[313, 83]	[469, 97]	[1367, 216]	[3198, 595]	0.013835351889016544	False
ENSMUSG00000001911.17:B4|cell_type|EX_cerebellum_granule|EX_cortical	ENSMUSG00000001911.17:B4	ENSMUSG00000001911.17	Nfix	cassette exon	EX_cerebellum_granule	EX_cortical	2	2	4	True	0.14192566799065487	0.08784292446778728	-0.012467165733343352	-1.0	False	-0.014818079292426114	-0.011301502379311329	-0.9999999999999999	-1.0	False	751.0	38.0	3.1131596631270306e-05	[30, 8]	[561, 152]	[1367, 216]	[3198, 595]	0.00012236623492209512	False
ENSMUSG00000001986.17:B1|cell_type|EX_cortical|INH_medium_spiny	ENSMUSG00000001986.17:B1	ENSMUSG00000001986.17	Gria3	alternative first region	EX_cortical	INH_medium_spiny	2	2	2	True	0.03581986426142558	0.04692759027278971	-0.001680939913687123	-1.0	False	-0.00146138626647086	-0.002297309175639432	-0.9999999999999999	-1.0	False	1283.56	554.62	0.03476653081804779	[213, 511]	[459, 1164]	[193, 535]	[131, 422]	0.07535298657141364	False
ENSMUSG00000001986.17:B1|cell_type|EX_cortical|INH_midbrain	ENSMUSG00000001986.17:B1	ENSMUSG00000001986.17	Gria3	alternative first region	EX_cortical	INH_midbrain	2	2	2	False	0.01600980992034331	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[213, 511]	[459, 1164]	[0, 0]	[0, 0]	NA	False
ENSMUSG00000001986.17:B1|cell_type|EX_cortical|INH_migrating_interneuron	ENSMUSG00000001986.17:B1	ENSMUSG00000001986.17	Gria3	alternative first region	EX_cortical	INH_migrating_interneuron	2	2	2	False	0.009282246302524408	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[213, 511]	[459, 1164]	[0, 0]	[0, 0]	NA	False
ENSMUSG00000002107.19:B1|cell_type|EX_cerebellum_granule|EX_cortical	ENSMUSG00000002107.19:B1	ENSMUSG00000002107.19	Celf2	alternative first region	EX_cerebellum_granule	EX_cortical	4	4	5	True	0.05753059265860902	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 1, 0]	[0, 2, 0, 0]	NA	False
ENSMUSG00000002107.19:B1|cell_type|EX_cortical|INH_medium_spiny	ENSMUSG00000002107.19:B1	ENSMUSG00000002107.19	Celf2	alternative first region	EX_cortical	INH_medium_spiny	4	4	5	True	0.015896757873637656	0.4851347495519355	-0.0005820915864719911	-0.07547799915078635	False	NA	-0.001131234592577643	NA	-0.07547799915078633	NA	3.0	0.0	0.971330770119663	[0, 0, 1, 0]	[0, 2, 0, 0]	[0, 0, 0, 0]	[0, 1, 2, 0]	1.0	False
ENSMUSG00000002107.19:B1|cell_type|EX_cortical|INH_midbrain	ENSMUSG00000002107.19:B1	ENSMUSG00000002107.19	Celf2	alternative first region	EX_cortical	INH_midbrain	4	4	5	False	0.038139808193501865	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[0, 0, 1, 0]	[0, 2, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	NA	False
ENSMUSG00000002107.19:B1|cell_type|EX_cortical|INH_migrating_interneuron	ENSMUSG00000002107.19:B1	ENSMUSG00000002107.19	Celf2	alternative first region	EX_cortical	INH_migrating_interneuron	4	4	5	False	0.039672622651978	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[0, 0, 1, 0]	[0, 2, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	NA	False
ENSMUSG00000002265.18:B1|cell_type|ASC|EX_cortical	ENSMUSG00000002265.18:B1	ENSMUSG00000002265.18	Peg3	cassette exon	ASC	EX_cortical	2	1	1	False	0.00249193233473914	0.0	NA	NA	NA	NA	NA	NA	NA	NA	202.0	93.0	NA	[109, 0]	[93, 0]	[1030, 0]	[1085, 0]	NA	False
ENSMUSG00000002265.18:B1|cell_type|ASC|INH_midbrain	ENSMUSG00000002265.18:B1	ENSMUSG00000002265.18	Peg3	cassette exon	ASC	INH_midbrain	2	1	1	False	0.021732818835971918	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[109, 0]	[93, 0]	[0, 0]	[0, 0]	NA	False
ENSMUSG00000002265.18:B1|cell_type|ASC|INH_migrating_interneuron	ENSMUSG00000002265.18:B1	ENSMUSG00000002265.18	Peg3	cassette exon	ASC	INH_migrating_interneuron	2	1	1	False	0.025625686927731654	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[109, 0]	[93, 0]	[0, 0]	[0, 0]	NA	False
ENSMUSG00000002265.18:B1|cell_type|EX_cerebellum_granule|EX_cortical	ENSMUSG00000002265.18:B1	ENSMUSG00000002265.18	Peg3	cassette exon	EX_cerebellum_granule	EX_cortical	2	1	1	False	0.005637997215970725	0.0	NA	NA	NA	NA	NA	NA	NA	NA	184.0	10.0	NA	[10, 0]	[174, 0]	[1030, 0]	[1085, 0]	NA	False
ENSMUSG00000002265.18:B1|cell_type|EX_cerebellum_granule|INH_midbrain	ENSMUSG00000002265.18:B1	ENSMUSG00000002265.18	Peg3	cassette exon	EX_cerebellum_granule	INH_midbrain	2	1	1	False	0.014900566745477049	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[10, 0]	[174, 0]	[0, 0]	[0, 0]	NA	False
ENSMUSG00000002265.18:B1|cell_type|EX_cortical|EX_thalamus	ENSMUSG00000002265.18:B1	ENSMUSG00000002265.18	Peg3	cassette exon	EX_cortical	EX_thalamus	2	1	1	False	0.05943496963243914	0.0	NA	NA	NA	NA	NA	NA	NA	NA	149.0	37.0	NA	[1030, 0]	[1085, 0]	[37, 0]	[112, 0]	NA	False
ENSMUSG00000002265.18:B1|cell_type|EX_cortical|INH_medium_spiny	ENSMUSG00000002265.18:B1	ENSMUSG00000002265.18	Peg3	cassette exon	EX_cortical	INH_medium_spiny	2	1	1	False	0.040451523316982915	0.0	NA	NA	NA	NA	NA	NA	NA	NA	1683.83	774.3299999999999	NA	[1030, 0]	[1085, 0]	[909, 0]	[774, 0]	NA	False
ENSMUSG00000002265.18:B1|cell_type|EX_cortical|INH_migrating_interneuron	ENSMUSG00000002265.18:B1	ENSMUSG00000002265.18	Peg3	cassette exon	EX_cortical	INH_migrating_interneuron	2	1	1	False	0.02906608461892539	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[1030, 0]	[1085, 0]	[0, 0]	[0, 0]	NA	False
ENSMUSG00000002265.18:B1|cell_type|EX_thalamus|INH_midbrain	ENSMUSG00000002265.18:B1	ENSMUSG00000002265.18	Peg3	cassette exon	EX_thalamus	INH_midbrain	2	1	1	False	0.031139037158639693	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[37, 0]	[112, 0]	[0, 0]	[0, 0]	NA	False
ENSMUSG00000002265.18:B1|cell_type|EX_thalamus|INH_migrating_interneuron	ENSMUSG00000002265.18:B1	ENSMUSG00000002265.18	Peg3	cassette exon	EX_thalamus	INH_migrating_interneuron	2	1	1	False	0.047936156284046835	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[37, 0]	[112, 0]	[0, 0]	[0, 0]	NA	False
ENSMUSG00000002265.18:B1|cell_type|INH_medium_spiny|INH_midbrain	ENSMUSG00000002265.18:B1	ENSMUSG00000002265.18	Peg3	cassette exon	INH_medium_spiny	INH_midbrain	2	1	1	False	0.06833812648411229	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[909, 0]	[774, 0]	[0, 0]	[0, 0]	NA	False
ENSMUSG00000002265.18:B1|cell_type|INH_medium_spiny|INH_migrating_interneuron	ENSMUSG00000002265.18:B1	ENSMUSG00000002265.18	Peg3	cassette exon	INH_medium_spiny	INH_migrating_interneuron	2	1	1	False	0.0027181926975904623	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[909, 0]	[774, 0]	[0, 0]	[0, 0]	NA	False
ENSMUSG00000002265.18:B1|cell_type|INH_midbrain|INH_migrating_interneuron	ENSMUSG00000002265.18:B1	ENSMUSG00000002265.18	Peg3	cassette exon	INH_midbrain	INH_migrating_interneuron	2	1	1	False	0.06511076517302458	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[0, 0]	[0, 0]	[0, 0]	[0, 0]	NA	False
ENSMUSG00000002985.17:B1|cell_type|ASC|EX_cerebellum_granule	ENSMUSG00000002985.17:B1	ENSMUSG00000002985.17	Apoe	alternative first region	ASC	EX_cerebellum_granule	3	3	3	True	0.020185619765707395	0.14695110303301775	-0.0028924569534343474	-0.9751063077924342	False	NA	-0.0031399334500938994	NA	-0.975106307792434	NA	48.17	0.0	0.00753734929965889	[0, 310, 3412]	[0, 973, 7654]	[0, 0, 0]	[0, 0, 48]	0.020036872264420223	False
ENSMUSG00000002985.17:B1|cell_type|ASC|EX_cortical	ENSMUSG00000002985.17:B1	ENSMUSG00000002985.17	Apoe	alternative first region	ASC	EX_cortical	3	3	3	True	0.08182641731871722	0.14695110303301775	-0.009955674476865357	-0.8279503635330515	False	-0.007981200252757793	-0.010807474687233979	-0.8279503635330514	-0.8279503635330513	False	190.59	29.25	1.3803625550235092e-09	[0, 310, 3412]	[0, 973, 7654]	[0, 0, 29]	[0, 0, 161]	9.295728255158318e-09	False
ENSMUSG00000002985.17:B2|cell_type|ASC|EX_cerebellum_granule	ENSMUSG00000002985.17:B2	ENSMUSG00000002985.17	Apoe	alternative last region	ASC	EX_cerebellum_granule	2	2	4	True	0.018838625227947325	0.0	NA	NA	NA	NA	NA	NA	NA	NA	48.17	0.0	NA	[4368, 0]	[12658, 0]	[0, 0]	[48, 0]	NA	False
ENSMUSG00000002985.17:B2|cell_type|ASC|EX_cortical	ENSMUSG00000002985.17:B2	ENSMUSG00000002985.17	Apoe	alternative last region	ASC	EX_cortical	2	2	4	True	0.06030795159016648	0.0	NA	NA	NA	NA	NA	NA	NA	NA	190.59	29.25	NA	[4368, 0]	[12658, 0]	[29, 0]	[161, 0]	NA	False
ENSMUSG00000003119.15:B1|cell_type|EX_cortical|INH_midbrain	ENSMUSG00000003119.15:B1	ENSMUSG00000003119.15	Cdk12	alternative first region	EX_cortical	INH_midbrain	3	3	3	False	0.06637582213015022	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[10, 1, 11]	[4, 8, 40]	[0, 0, 0]	[0, 0, 0]	NA	False
ENSMUSG00000003119.15:B1|cell_type|EX_cortical|INH_migrating_interneuron	ENSMUSG00000003119.15:B1	ENSMUSG00000003119.15	Cdk12	alternative first region	EX_cortical	INH_migrating_interneuron	3	3	3	False	0.06111018102116126	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[10, 1, 11]	[4, 8, 40]	[0, 0, 0]	[0, 0, 0]	NA	False
ENSMUSG00000003279.18:B1|cell_type|ASC|INH_migrating_interneuron	ENSMUSG00000003279.18:B1	ENSMUSG00000003279.18	Dlgap1	alternative first region	ASC	INH_migrating_interneuron	3	3	3	False	0.303229165646623	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[0, 0, 0]	[0, 2, 0]	[0, 0, 0]	[0, 0, 0]	NA	False
ENSMUSG00000003279.18:B1|cell_type|EX_cerebellum_granule|INH_migrating_interneuron	ENSMUSG00000003279.18:B1	ENSMUSG00000003279.18	Dlgap1	alternative first region	EX_cerebellum_granule	INH_migrating_interneuron	3	3	3	False	0.32736705799777527	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[0, 0, 0]	[2, 1, 0]	[0, 0, 0]	[0, 0, 0]	NA	False
ENSMUSG00000003279.18:B1|cell_type|EX_cortical|INH_migrating_interneuron	ENSMUSG00000003279.18:B1	ENSMUSG00000003279.18	Dlgap1	alternative first region	EX_cortical	INH_migrating_interneuron	3	3	3	False	0.2636094662440665	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[3, 33, 8]	[29, 24, 8]	[0, 0, 0]	[0, 0, 0]	NA	False
ENSMUSG00000003363.16:B1|cell_type|EX_cortical|INH_medium_spiny	ENSMUSG00000003363.16:B1	ENSMUSG00000003363.16	Pld3	alternative first region	EX_cortical	INH_medium_spiny	2	2	2	True	0.026023464658530154	0.0	NA	NA	NA	NA	NA	NA	NA	NA	610.92	247.92	NA	[528, 0]	[1437, 0]	[363, 0]	[247, 0]	NA	False
ENSMUSG00000003363.16:B1|cell_type|EX_cortical|INH_midbrain	ENSMUSG00000003363.16:B1	ENSMUSG00000003363.16	Pld3	alternative first region	EX_cortical	INH_midbrain	2	2	2	False	0.09839285552329803	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[528, 0]	[1437, 0]	[0, 0]	[0, 0]	NA	False
ENSMUSG00000003363.16:B1|cell_type|EX_cortical|INH_migrating_interneuron	ENSMUSG00000003363.16:B1	ENSMUSG00000003363.16	Pld3	alternative first region	EX_cortical	INH_migrating_interneuron	2	2	2	False	0.10476183003577476	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[528, 0]	[1437, 0]	[0, 0]	[0, 0]	NA	False
ENSMUSG00000004110.18:B1|cell_type|ASC|EX_cerebellum_granule	ENSMUSG00000004110.18:B1	ENSMUSG00000004110.18	Cacna1e	alternative first region	ASC	EX_cerebellum_granule	2	2	2	True	0.14437536200104187	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[0, 0]	[0, 0]	[0, 0]	[0, 0]	NA	False
ENSMUSG00000004110.18:B1|cell_type|ASC|EX_cortical	ENSMUSG00000004110.18:B1	ENSMUSG00000004110.18	Cacna1e	alternative first region	ASC	EX_cortical	2	2	2	True	0.0557034958950505	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[0, 0]	[0, 0]	[19, 63]	[0, 20]	NA	False
ENSMUSG00000004110.18:B1|cell_type|EX_cerebellum_granule|EX_cortical	ENSMUSG00000004110.18:B1	ENSMUSG00000004110.18	Cacna1e	alternative first region	EX_cerebellum_granule	EX_cortical	2	2	2	True	0.0783218179483349	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[0, 0]	[0, 0]	[19, 63]	[0, 20]	NA	False
ENSMUSG00000004110.18:B1|cell_type|EX_cortical|EX_hippocampus_granule	ENSMUSG00000004110.18:B1	ENSMUSG00000004110.18	Cacna1e	alternative first region	EX_cortical	EX_hippocampus_granule	2	2	2	True	0.021994397399298166	0.2676207518460063	0.005886157168400021	1.0	True	0.007338270787393705	NA	1.0	NA	NA	22.95	9.42	0.021855345819985064	[19, 63]	[0, 20]	[0, 9]	[0, 13]	0.05035095221207086	False
ENSMUSG00000004110.18:B1|cell_type|EX_cortical|EX_hippocampus_pyramidal	ENSMUSG00000004110.18:B1	ENSMUSG00000004110.18	Cacna1e	alternative first region	EX_cortical	EX_hippocampus_pyramidal	2	2	2	True	0.02960998179277533	0.2676207518460063	0.00792424558952909	0.9999999999999998	True	NA	NA	NA	NA	NA	9.58	0.0	0.2419327692349268	[19, 63]	[0, 20]	[0, 0]	[0, 9]	0.37751855398527734	False
ENSMUSG00000004110.18:B1|cell_type|EX_cortical|INH_medium_spiny	ENSMUSG00000004110.18:B1	ENSMUSG00000004110.18	Cacna1e	alternative first region	EX_cortical	INH_medium_spiny	2	2	2	True	0.019038641549986805	0.2676207518460063	0.0050951355657340835	1.0	True	0.006352104337370311	NA	1.0	NA	NA	63.06999999999999	20.369999999999997	6.968496595264024e-05	[19, 63]	[0, 20]	[0, 23]	[0, 39]	0.00026629611989044665	True
ENSMUSG00000004110.18:B1|cell_type|EX_cortical|INH_midbrain	ENSMUSG00000004110.18:B1	ENSMUSG00000004110.18	Cacna1e	alternative first region	EX_cortical	INH_midbrain	2	2	2	False	0.011655209366271768	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[19, 63]	[0, 20]	[0, 0]	[0, 0]	NA	False
ENSMUSG00000004110.18:B1|cell_type|EX_cortical|INH_migrating_interneuron	ENSMUSG00000004110.18:B1	ENSMUSG00000004110.18	Cacna1e	alternative first region	EX_cortical	INH_migrating_interneuron	2	2	2	False	0.04300999516842514	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[19, 63]	[0, 20]	[0, 0]	[0, 0]	NA	False
ENSMUSG00000004110.18:B1|cell_type|EX_hippocampus_pyramidal|INH_midbrain	ENSMUSG00000004110.18:B1	ENSMUSG00000004110.18	Cacna1e	alternative first region	EX_hippocampus_pyramidal	INH_midbrain	2	2	2	False	0.06309133833004364	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[0, 0]	[0, 9]	[0, 0]	[0, 0]	NA	False
ENSMUSG00000004110.18:B1|cell_type|INH_medium_spiny|INH_midbrain	ENSMUSG00000004110.18:B1	ENSMUSG00000004110.18	Cacna1e	alternative first region	INH_medium_spiny	INH_midbrain	2	2	2	False	0.023216704741936565	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[0, 23]	[0, 39]	[0, 0]	[0, 0]	NA	False
ENSMUSG00000004113.19:B2|cell_type|EX_cortical|INH_medium_spiny	ENSMUSG00000004113.19:B2	ENSMUSG00000004113.19	Cacna1b	mutually exclusive exons	EX_cortical	INH_medium_spiny	2	2	5	True	0.011542453019079357	0.0	NA	NA	NA	NA	NA	NA	NA	NA	15.65	7.58	NA	[0, 16]	[0, 22]	[0, 7]	[0, 8]	NA	False
ENSMUSG00000004113.19:B2|cell_type|EX_cortical|INH_midbrain	ENSMUSG00000004113.19:B2	ENSMUSG00000004113.19	Cacna1b	mutually exclusive exons	EX_cortical	INH_midbrain	2	2	5	False	0.022174675999143603	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[0, 16]	[0, 22]	[0, 0]	[0, 0]	NA	False
ENSMUSG00000004113.19:B2|cell_type|EX_cortical|INH_migrating_interneuron	ENSMUSG00000004113.19:B2	ENSMUSG00000004113.19	Cacna1b	mutually exclusive exons	EX_cortical	INH_migrating_interneuron	2	2	5	False	0.06024943134574536	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[0, 16]	[0, 22]	[0, 0]	[0, 0]	NA	False
ENSMUSG00000004113.19:B8|cell_type|EX_cortical|INH_medium_spiny	ENSMUSG00000004113.19:B8	ENSMUSG00000004113.19	Cacna1b	alternative last region	EX_cortical	INH_medium_spiny	3	3	4	True	0.022062575938147838	0.0	NA	NA	NA	NA	NA	NA	NA	NA	15.65	7.58	NA	[0, 0, 16]	[0, 0, 22]	[0, 0, 7]	[0, 0, 8]	NA	False
ENSMUSG00000004113.19:B8|cell_type|EX_cortical|INH_midbrain	ENSMUSG00000004113.19:B8	ENSMUSG00000004113.19	Cacna1b	alternative last region	EX_cortical	INH_midbrain	3	3	4	False	0.04522604622606596	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[0, 0, 16]	[0, 0, 22]	[0, 0, 0]	[0, 0, 0]	NA	False
ENSMUSG00000004113.19:B8|cell_type|EX_cortical|INH_migrating_interneuron	ENSMUSG00000004113.19:B8	ENSMUSG00000004113.19	Cacna1b	alternative last region	EX_cortical	INH_migrating_interneuron	3	3	4	False	0.0633224125346039	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[0, 0, 16]	[0, 0, 22]	[0, 0, 0]	[0, 0, 0]	NA	False
ENSMUSG00000004207.15:B1|cell_type|EX_cortical|INH_medium_spiny	ENSMUSG00000004207.15:B1	ENSMUSG00000004207.15	Psap	alternative first region	EX_cortical	INH_medium_spiny	2	2	4	True	0.035041310763007066	0.15346286324993927	-0.005377539881721979	-1.0000000000000002	False	-0.018913743131239235	NA	-1.0	NA	NA	439.4	140.25	1.5173608777622174e-19	[252, 156]	[1029, 0]	[299, 0]	[140, 0]	1.974619628763534e-18	False
ENSMUSG00000004207.15:B1|cell_type|EX_cortical|INH_midbrain	ENSMUSG00000004207.15:B1	ENSMUSG00000004207.15	Psap	alternative first region	EX_cortical	INH_midbrain	2	2	4	False	0.017255369240429967	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[252, 156]	[1029, 0]	[0, 0]	[0, 0]	NA	False
ENSMUSG00000004207.15:B1|cell_type|EX_cortical|INH_migrating_interneuron	ENSMUSG00000004207.15:B1	ENSMUSG00000004207.15	Psap	alternative first region	EX_cortical	INH_migrating_interneuron	2	2	4	False	0.013144151212660939	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[252, 156]	[1029, 0]	[0, 0]	[0, 0]	NA	False
ENSMUSG00000004207.15:B2|cell_type|EX_cortical|INH_migrating_interneuron	ENSMUSG00000004207.15:B2	ENSMUSG00000004207.15	Psap	compound internal	EX_cortical	INH_migrating_interneuron	3	3	4	False	0.020156971839844585	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[573, 0, 0]	[2263, 0, 0]	[0, 0, 0]	[0, 0, 0]	NA	False
ENSMUSG00000004267.17:B1|cell_type|EX_cortical|INH_midbrain	ENSMUSG00000004267.17:B1	ENSMUSG00000004267.17	Eno2	alternative first region	EX_cortical	INH_midbrain	2	2	2	False	0.01421267108007561	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[43, 121]	[40, 368]	[0, 0]	[0, 0]	NA	False
