test_id	block_id	gene_id	gene_name	event_type	level_a	level_b	n_paths	n_mappable_paths	n_mapped_transcripts	mapping_complete	original_effect_norm	long_read_effect_norm	pooled_dot_product	pooled_cosine	pooled_replicated	replicate_1_dot_product	replicate_2_dot_product	replicate_1_cosine	replicate_2_cosine	both_replicates_replicated	minimum_pooled_depth	minimum_replicate_depth	technical_g_test_p_value	counts_a_rep1	counts_a_rep2	counts_b_rep1	counts_b_rep2	technical_g_test_fdr	technical_bh_directional_replication
ENSMUSG00000020859.17:B3|cell_type|EX_cortical|INH_midbrain	ENSMUSG00000020859.17:B3	ENSMUSG00000020859.17	Spag9	cassette exon	EX_cortical	INH_midbrain	2	2	5	False	0.08746686164996487	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[130, 10]	[174, 1]	[0, 0]	[0, 0]	NA	False
ENSMUSG00000020859.17:B3|cell_type|EX_cortical|INH_migrating_interneuron	ENSMUSG00000020859.17:B3	ENSMUSG00000020859.17	Spag9	cassette exon	EX_cortical	INH_migrating_interneuron	2	2	5	False	0.09621733756808473	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[130, 10]	[174, 1]	[0, 0]	[0, 0]	NA	False
ENSMUSG00000020863.16:B2|cell_type|ASC|EX_cortical	ENSMUSG00000020863.16:B2	ENSMUSG00000020863.16	Luc7l3	alternative acceptor	ASC	EX_cortical	2	2	2	True	0.05103989405868629	0.13848398865501227	0.007068208109776139	0.9999999999999999	True	-0.0013895683032805548	0.012109156762160414	-1.0	1.0	False	80.34	29.49	0.17786429174279994	[15, 14]	[19, 31]	[37, 38]	[67, 53]	0.2968514955776713	False
ENSMUSG00000020863.16:B2|cell_type|ASC|INH_midbrain	ENSMUSG00000020863.16:B2	ENSMUSG00000020863.16	Luc7l3	alternative acceptor	ASC	INH_midbrain	2	2	2	False	0.05804441272505864	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[15, 14]	[19, 31]	[0, 0]	[0, 0]	NA	False
ENSMUSG00000020863.16:B2|cell_type|ASC|INH_migrating_interneuron	ENSMUSG00000020863.16:B2	ENSMUSG00000020863.16	Luc7l3	alternative acceptor	ASC	INH_migrating_interneuron	2	2	2	False	0.005943930385303527	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[15, 14]	[19, 31]	[0, 0]	[0, 0]	NA	False
ENSMUSG00000020863.16:B2|cell_type|EX_cerebellum_granule|EX_cortical	ENSMUSG00000020863.16:B2	ENSMUSG00000020863.16	Luc7l3	alternative acceptor	EX_cerebellum_granule	EX_cortical	2	2	2	True	0.01652422929626848	0.16209311516201017	0.0026784638022835086	0.9999999999999999	True	-0.011916350543268476	0.0034876621099411047	-1.0	0.9999999999999999	False	133.39999999999998	2.08	0.05306255345601821	[2, 0]	[53, 77]	[37, 38]	[67, 53]	0.10623542407098864	False
ENSMUSG00000020863.16:B2|cell_type|EX_cerebellum_granule|INH_midbrain	ENSMUSG00000020863.16:B2	ENSMUSG00000020863.16	Luc7l3	alternative acceptor	EX_cerebellum_granule	INH_midbrain	2	2	2	False	0.021608504561902084	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[2, 0]	[53, 77]	[0, 0]	[0, 0]	NA	False
ENSMUSG00000020863.16:B2|cell_type|EX_cerebellum_granule|INH_migrating_interneuron	ENSMUSG00000020863.16:B2	ENSMUSG00000020863.16	Luc7l3	alternative acceptor	EX_cerebellum_granule	INH_migrating_interneuron	2	2	2	False	0.007407457223485696	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[2, 0]	[53, 77]	[0, 0]	[0, 0]	NA	False
ENSMUSG00000020863.16:B2|cell_type|EX_cortical|EX_hippocampus_granule	ENSMUSG00000020863.16:B2	ENSMUSG00000020863.16	Luc7l3	alternative acceptor	EX_cortical	EX_hippocampus_granule	2	2	2	True	0.02552846071211962	0.22277486114437967	0.0056870992903721995	1.0	True	0.004659894715909057	0.0063409096896989365	1.0	1.0	True	66.96000000000001	25.18	0.0363095154091169	[37, 38]	[67, 53]	[9, 16]	[15, 25]	0.07778690308181856	False
ENSMUSG00000020863.16:B2|cell_type|EX_cortical|EX_hippocampus_pyramidal	ENSMUSG00000020863.16:B2	ENSMUSG00000020863.16	Luc7l3	alternative acceptor	EX_cortical	EX_hippocampus_pyramidal	2	2	2	True	0.06184660197003132	0.1099487889509297	0.006799958987335127	1.0	True	0.042863990880479215	0.0041704635007917415	1.0	1.0	True	22.37	2.44	0.635630926605311	[37, 38]	[67, 53]	[0, 2]	[10, 9]	0.7856723645243138	False
