zeta	test_id	block_id	gene_id	gene_name	event_type	level_a	level_b	n_paths	n_mappable_paths	n_mapped_transcripts	mapping_complete	original_effect_norm	long_read_effect_norm	pooled_dot_product	pooled_cosine	pooled_replicated	replicate_1_dot_product	replicate_2_dot_product	replicate_1_cosine	replicate_2_cosine	both_replicates_replicated	minimum_pooled_depth	minimum_replicate_depth	technical_g_test_p_value	counts_a_rep1	counts_a_rep2	counts_b_rep1	counts_b_rep2	technical_g_test_fdr	technical_bh_directional_replication	test_statistic	test_p_value	test_raw_p_value
8.0	ENSMUSG00000028248.16:B1|cell_type|ASC|EX_cerebellum_granule	ENSMUSG00000028248.16:B1	ENSMUSG00000028248.16	ENSMUSG00000028248.16	local path	ASC	EX_cerebellum_granule	2	2	2	True	0.1101661213134794	0.0076831549173841	0.0008464233766987	1.0	True	0.0012369491491604	0.0033033045163911	1.0000000000000002	1.0	True	684.44	39.5	0.6892152439234509	[297, 2]	[611, 43]	[39, 0]	[615, 29]	0.8360733444219077	False	23.449920473813624	0.0005905221199744	0.0001589204543725
8.0	ENSMUSG00000026915.17:B1|cell_type|EX_cerebellum_granule|EX_cortical	ENSMUSG00000026915.17:B1	ENSMUSG00000026915.17	ENSMUSG00000026915.17	local path	EX_cerebellum_granule	EX_cortical	2	2	2	True	0.0058530245547707	0.0467217792476689	-0.0002734637211791	-0.9999999999999998	False	NA	NA	NA	NA	NA	60.09	0.0	0.2167535432260961	[0, 0]	[0, 60]	[35, 347]	[0, 689]	0.3486245800140007	False	55.08498865629939	0.0005905221199744	0.0001599366755799
8.0	ENSMUSG00000020524.17:B1|cell_type|EX_cortical|INH_medium_spiny	ENSMUSG00000020524.17:B1	ENSMUSG00000020524.17	ENSMUSG00000020524.17	local path	EX_cortical	INH_medium_spiny	2	2	2	True	0.0542357118206504	0.0526377131669408	-0.0028548438422202	-1.0	False	-0.0085493636352153	0.0031806736470427	-1.0000000000000002	1.0	False	455.29	214.33	0.1622251984711538	[212, 28]	[171, 42]	[176, 52]	[194, 36]	0.2751607348699511	False	13.668068682749032	0.0006027727546714	0.0005121599502203
8.0	ENSMUSG00000049583.16:B2|cell_type|EX_cortical|INH_medium_spiny	ENSMUSG00000049583.16:B2	ENSMUSG00000049583.16	ENSMUSG00000049583.16	local path	EX_cortical	INH_medium_spiny	2	2	3	True	0.0854759272565707	0.4816353792967944	-0.0411682306449636	-0.9999999999999998	False	-0.0356250213775867	-0.0413473143018117	-0.9999999999999998	-1.0	False	136.74	54.66	3.4557115216491447e-16	[0, 82]	[6, 48]	[45, 109]	[91, 108]	3.580241666573439e-15	False	14.89937337983906	0.0006027727546714	0.0005156434595474
8.0	ENSMUSG00000027797.16:B1|cell_type|EX_cortical|INH_medium_spiny	ENSMUSG00000027797.16:B1	ENSMUSG00000027797.16	ENSMUSG00000027797.16	local path	EX_cortical	INH_medium_spiny	3	3	4	True	0.2580559154185792	0.603932830998667	0.1552382706688297	0.9960848572651172	True	0.1268306741688024	0.1722936790986493	0.9583839732997742	0.9997322192650288	True	524.7	204.17	6.099738177634657e-83	[242, 118, 68]	[534, 94, 133]	[52, 118, 149]	[31, 82, 89]	8.76837363034982e-81	True	35.66188652914258	0.0006136417276374	0.0003635184548133
8.0	ENSMUSG00000030231.12:B1|cell_type|EX_cortical|INH_medium_spiny	ENSMUSG00000030231.12:B1	ENSMUSG00000030231.12	ENSMUSG00000030231.12	local path	EX_cortical	INH_medium_spiny	2	2	2	True	0.0676493245219981	0.0226480013934955	0.0015321219960432	1.0	True	-0.0047431203457043	0.0065608207046063	-0.9999999999999998	1.0	False	36.08	14.5	1.0	[12, 2]	[20, 1]	[24, 2]	[21, 3]	1.0	False	19.397605156189616	0.0006249023590064	0.000168437988617
8.0	ENSMUSG00000063077.16:B2|cell_type|EX_cortical|ODC	ENSMUSG00000063077.16:B2	ENSMUSG00000063077.16	ENSMUSG00000063077.16	local path	EX_cortical	ODC	2	2	3	True	0.0836407375037918	0.2721785494276846	0.0227652146068438	1.0000000000000002	True	0.0324188198150848	0.012999651231302	1.0	1.0	True	517.97	246.22	3.246081210762981e-20	[165, 106]	[175, 71]	[715, 94]	[758, 165]	4.2420379458834407e-19	True	16.745403341299657	0.0006249023590064	0.0002927403149043
8.0	ENSMUSG00000010086.18:B3|cell_type|EX_cortical|INH_medium_spiny	ENSMUSG00000010086.18:B3	ENSMUSG00000010086.18	ENSMUSG00000010086.18	local path	EX_cortical	INH_medium_spiny	2	2	3	True	0.0311028372777191	0.1580456172604485	0.0049156671161084	1.0	True	0.00875722353919	0.0047073533891771	1.0	0.9999999999999998	True	90.66	30.66	0.0548156267707589	[29, 3]	[133, 36]	[42, 18]	[20, 9]	0.1084990891331718	False	30.48179299843164	0.0006249511756893	8.653983234126052e-05
8.0	ENSMUSG00000025576.18:B4|cell_type|EX_cerebellum_granule|EX_cortical	ENSMUSG00000025576.18:B4	ENSMUSG00000025576.18	ENSMUSG00000025576.18	local path	EX_cerebellum_granule	EX_cortical	2	2	6	True	0.4691358043060138	0.3123378684061136	-0.146528877109928	-1.0	False	-0.2394409189253906	-0.1357755377046566	-1.0	-1.0	False	281.41	20.16	4.0217673731718036e-16	[9, 10]	[161, 99]	[786, 149]	[1229, 262]	4.092949096590773e-15	False	19.55068670643293	0.0006412174582139	0.0001569563342146
8.0	ENSMUSG00000041645.15:B1|cell_type|ASC|EX_cortical	ENSMUSG00000041645.15:B1	ENSMUSG00000041645.15	ENSMUSG00000041645.15	local path	ASC	EX_cortical	2	2	2	True	0.03416052256902	0.2716078045359425	-0.009278264536772	-0.9999999999999998	False	-0.0154069593714363	-0.005845069572952	-1.0	-1.0	False	197.68	72.34	1.459230109846631e-09	[0, 72]	[23, 102]	[181, 387]	[490, 1113]	9.534742195020602e-09	False	20.95884011751328	0.0006412174582139	0.0002164777421856
8.0	ENSMUSG00000032187.17:B2|cell_type|EX_cerebellum_granule|EX_cortical	ENSMUSG00000032187.17:B2	ENSMUSG00000032187.17	ENSMUSG00000032187.17	local path	EX_cerebellum_granule	EX_cortical	2	2	3	True	0.0595666919228847	0.0334175437643291	-0.0019905725342293	-1.0	False	-0.0034243760554159	-0.0010902888762588	-1.0000000000000002	-0.9999999999999998	False	268.16	4.0	0.0047218203804838	[4, 0]	[264, 0]	[433, 18]	[710, 9]	0.0134076381174232	False	29.338856044408043	0.0006412174582139	0.000230019511921
8.0	ENSMUSG00000039943.17:B1|cell_type|EX_cortical|ODC	ENSMUSG00000039943.17:B1	ENSMUSG00000039943.17	ENSMUSG00000039943.17	local path	EX_cortical	ODC	2	2	2	True	0.2641743480761479	0.0624446850825659	0.0164962839725072	0.9999999999999998	True	-0.0273127034744779	0.0320117523576495	-1.0	1.0	False	31.54	8.97	0.5912753794650911	[280, 38]	[460, 43]	[7, 1]	[22, 0]	0.7480381588392242	False	14.788829048607829	0.0006412174582139	0.0002535396054747
8.0	ENSMUSG00000014602.16:B4|cell_type|EX_cortical|INH_medium_spiny	ENSMUSG00000014602.16:B4	ENSMUSG00000014602.16	ENSMUSG00000014602.16	local path	EX_cortical	INH_medium_spiny	2	2	4	True	0.004007365349191	0.0242052973949075	-9.699947004721648e-05	-1.0000000000000002	False	0.001233326412499	-0.0008047860256691	0.9999999999999998	-1.0	False	112.71	37.08	0.8027982387897554	[160, 44]	[103, 24]	[37, 0]	[50, 25]	0.9382296489920922	False	13.59342807470566	0.0006662225183211	0.000535190619476
8.0	ENSMUSG00000001472.18:B1|cell_type|ASC|EX_cortical	ENSMUSG00000001472.18:B1	ENSMUSG00000001472.18	ENSMUSG00000001472.18	local path	ASC	EX_cortical	2	2	2	True	0.0396110231319616	0.5837654121003659	-0.0231235452423466	-1.0	False	-0.0192500895517758	-0.025012276434476	-1.0	-1.0	False	149.87	60.370000000000005	2.212958077135673e-30	[30, 29]	[41, 48]	[337, 60]	[1000, 105]	4.544467479832187e-29	False	15.73877775413086	0.0006662225183211	0.0005795397750262
8.0	ENSMUSG00000020863.16:B2|cell_type|EX_cortical|EX_hippocampus_granule	ENSMUSG00000020863.16:B2	ENSMUSG00000020863.16	ENSMUSG00000020863.16	local path	EX_cortical	EX_hippocampus_granule	2	2	2	True	0.0255284607121196	0.2227748611443796	0.0056870992903721	1.0	True	0.004659894715909	0.0063409096896989	1.0	1.0	True	66.96000000000001	25.18	0.0363095154091169	[37, 38]	[67, 53]	[9, 16]	[15, 25]	0.0768986053784243	False	18.60119051049782	0.0006662669065227	0.0001074363917614
8.0	ENSMUSG00000031748.17:B1|cell_type|INH_medium_spiny|ODC	ENSMUSG00000031748.17:B1	ENSMUSG00000031748.17	ENSMUSG00000031748.17	local path	INH_medium_spiny	ODC	3	3	3	True	0.3073826023369022	0.3473191953699048	0.078375614119957	0.7341298576231203	True	0.0981128699444758	0.0645928312280677	0.6624510264693416	0.9356534453540272	True	309.43	113.42000000000002	9.608833007716094e-25	[0, 156, 48]	[3, 93, 78]	[28, 42, 42]	[36, 76, 82]	1.5785939941247872e-23	True	82.76761071628694	0.0006743088334457	0.0004741711449065
8.0	ENSMUSG00000022961.19:B3|cell_type|EX_cortical|EX_hippocampus_pyramidal	ENSMUSG00000022961.19:B3	ENSMUSG00000022961.19	ENSMUSG00000022961.19	local path	EX_cortical	EX_hippocampus_pyramidal	4	4	4	True	0.0843484434632963	0.1949366096952719	0.0029449553180092	0.1791052138547127	True	0.0095999172853983	-0.0002389977373946	0.3673025619448467	-0.0095835753757186	False	67.78	9.46	0.0205032448424002	[38, 157, 29, 37]	[48, 212, 91, 98]	[1, 3, 3, 1]	[3, 41, 9, 3]	0.0476908374275229	True	188.9527417561202	0.0006885228536624	0.0004850436439433
8.0	ENSMUSG00000025404.16:B3|cell_type|EX_cerebellum_granule|EX_cortical	ENSMUSG00000025404.16:B3	ENSMUSG00000025404.16	ENSMUSG00000025404.16	local path	EX_cerebellum_granule	EX_cortical	2	2	8	True	0.2671027311996105	0.1276657937969151	-0.0340998822039223	-1.0000000000000002	False	-0.0177428987407598	-0.0536231552756538	-1.0	-1.0000000000000002	False	27.32	1.0	0.1266130628904248	[0, 1]	[0, 26]	[11, 227]	[28, 171]	0.2246991085246736	False	36.21096954573488	0.0006889424733034	0.0001696453204206
8.0	ENSMUSG00000020827.19:B2|cell_type|EX_cortical|INH_medium_spiny	ENSMUSG00000020827.19:B2	ENSMUSG00000020827.19	ENSMUSG00000020827.19	local path	EX_cortical	INH_medium_spiny	2	2	5	True	0.0377520009791029	0.0401516391047287	-0.0015158047187943	-1.0	False	-0.0014349272098266	-0.0015484734242867	-1.0	-1.0000000000000002	False	305.85	71.13	0.3468167923975346	[12, 58]	[41, 193]	[47, 273]	[19, 111]	0.5016846682480061	False	21.7096910981936	0.0007048044167743	0.0003024662561413
8.0	ENSMUSG00000014602.16:B1|cell_type|ASC|EX_cortical	ENSMUSG00000014602.16:B1	ENSMUSG00000014602.16	ENSMUSG00000014602.16	local path	ASC	EX_cortical	3	3	3	True	0.0194564631459231	0.4173132019613031	0.0080024506285798	0.9855915776158268	True	0.0144483254263953	0.001968386934006	0.9986748755670573	0.9315807594026662	True	27.02	9.5	0.0002148427079926	[0, 0, 9]	[0, 3, 13]	[45, 44, 58]	[7, 24, 75]	0.0007649198581783	True	21.81376955532776	0.000708048147274	0.0005380179292673
8.0	ENSMUSG00000032549.8:B1|cell_type|EX_cortical|EX_thalamus	ENSMUSG00000032549.8:B1	ENSMUSG00000032549.8	ENSMUSG00000032549.8	local path	EX_cortical	EX_thalamus	2	2	2	True	0.2547643395078032	0.0015206597444872	-0.0003874098754203	-1.0	False	-0.0003935458046323	-0.0003814623442466	-1.0	-1.0	False	47.5	11.5	1.0	[914, 1]	[943, 1]	[11, 0]	[36, 0]	1.0	False	62.53200895894854	0.0007352733237182	0.0001243389801913
