age	sample	region	broad	cell_type	subtype	tealeaf_cell_type	replicate	column
P56	M8	VisCortex	Supportive	Immune	Microglia	NA	1.0	371
P56	M8	VisCortex	Supportive	Vasc	Endo	NA	1.0	372
P56	M8	VisCortex	Supportive	Vasc	Fibroblasts	NA	1.0	373
P56	M8	VisCortex	Supportive	Vasc	Pericytes	NA	1.0	374
P56	M9	VisCortex	Glia	Astro	Astrocytes	ASC	2.0	375
P56	M9	VisCortex	Glia	Astro	Ependymal	NA	2.0	376
P56	M9	VisCortex	Glia	Oligo	COPs	NA	2.0	377
P56	M9	VisCortex	Glia	Oligo	DivOPCs	NA	2.0	378
P56	M9	VisCortex	Glia	Oligo	MFOLs	ODC	2.0	379
P56	M9	VisCortex	Glia	Oligo	MOLs	ODC	2.0	380
P56	M9	VisCortex	Glia	Oligo	OPCs	NA	2.0	381
P56	M9	VisCortex	Neuron	ExciteNeuron	ExciteL23	EX_cortical	2.0	382
P56	M9	VisCortex	Neuron	ExciteNeuron	ExciteL4	EX_cortical	2.0	383
P56	M9	VisCortex	Neuron	ExciteNeuron	ExciteL5	EX_cortical	2.0	384
P56	M9	VisCortex	Neuron	ExciteNeuron	ExciteL6	EX_cortical	2.0	385
P56	M9	VisCortex	Neuron	ExciteNeuron	ExciteNP	NA	2.0	386
P56	M9	VisCortex	Neuron	InhibNeuron	InhCajalRetzius	NA	2.0	387
P56	M9	VisCortex	Neuron	InhibNeuron	InhibNeuron	NA	2.0	388
P56	M9	VisCortex	Neuron	Progenitor	NIPCs	NA	2.0	389
P56	M9	VisCortex	Supportive	Immune	Macrophages	NA	2.0	390
P56	M9	VisCortex	Supportive	Immune	Microglia	NA	2.0	391
P56	M9	VisCortex	Supportive	Vasc	Endo	NA	2.0	392
P56	M9	VisCortex	Supportive	Vasc	Fibroblasts	NA	2.0	393
P56	M9	VisCortex	Supportive	Vasc	Pericytes	NA	2.0	394
