event_type	n_events	fraction
alternative first region	1700	0.576271186440678
cassette exon	562	0.19050847457627118
alternative last region	337	0.11423728813559322
whole-gene complex	191	0.06474576271186441
multi-exon skipping	54	0.01830508474576271
compound internal	43	0.014576271186440677
mutually exclusive exons	35	0.011864406779661017
alternative acceptor	17	0.00576271186440678
complex internal	11	0.003728813559322034
