method	endpoint	scope	minimum_depth	n_tests	n_replicated	replication_rate
rMATS paired JCEC	pooled direction	top-ranked calls per contrast on prior mapping intersection	20.0	3859	1778	0.46074112464369005
rMATS paired JCEC	both biological replicates	top-ranked calls per contrast on prior mapping intersection	20.0	2549	660	0.25892506865437426
