total_concentration	per_path_alpha	total_fold0_eligible	total_fold1_eligible	total_fold0_bh	total_fold1_bh	per_path_fold0_eligible	per_path_fold1_eligible	per_path_fold0_bh	per_path_fold1_bh	total_fold0_null_rejection_0.05	total_fold1_null_rejection_0.05	per_path_fold0_null_rejection_0.05	per_path_fold1_null_rejection_0.05	total_leafcutter_replicated_genes	total_majiq_replicated_genes	total_scquint_replicated_genes	per_path_leafcutter_replicated_genes	per_path_majiq_replicated_genes	per_path_scquint_replicated_genes	total_leafcutter_heldout_replication	total_majiq_heldout_replication	total_scquint_heldout_replication	per_path_leafcutter_heldout_replication	per_path_majiq_heldout_replication	per_path_scquint_heldout_replication
2	1	7523	5058	773	491	7523	5057	803	510	0.05003822	0.04996417	0.05003822	0.05004202	31	51	53	31	53	56	0.861111	0.793144	0.778038	0.865295	0.807726	0.798565
4	2	7523	5057	1121	704	7523	5057	1163	770	0.05001745	0.05003584	0.05003822	0.05001112	48	98	94	50	103	101	0.813889	0.826020	0.833398	0.798840	0.810372	0.818525
8	4	7523	5058	1353	887	7523	5057	1362	932	0.05002991	0.05001977	0.05003822	0.05001112	56	124	131	56	132	136	0.839591	0.842009	0.840159	0.847235	0.850000	0.853447
16	8	7523	5056	1442	1017	7523	5057	1456	1022	0.04998422	0.04996539	0.04998422	0.04999876	68	139	145	70	141	147	0.845022	0.854488	0.861429	0.857650	0.854552	0.864229
32	16	7522	5055	1471	1047	7523	5055	1471	1059	0.04997840	0.04995673	0.04998837	0.04998764	73	156	160	75	157	159	0.878449	0.887649	0.875489	0.888611	0.902316	0.884012
64	32	7523	5056	1424	1071	7521	5053	1404	1054	0.05003406	0.05002720	0.05003490	0.05005690	76	161	161	78	161	161	0.896786	0.907080	0.902826	0.897661	0.925372	0.912779
128	64	7522	5052	1312	1027	7520	5049	1282	1027	0.05006564	0.05005443	0.05003740	0.05005323	78	156	157	78	150	154	0.909169	0.919431	0.905844	0.908187	0.919415	0.907066
256	128	7520	5049	1255	1012	7517	5048	1250	1004	0.04999584	0.05000371	0.05001995	0.04996409	78	148	150	77	147	148	0.891489	0.907266	0.894335	0.890298	0.894646	0.879929
