null_type	replicate	tests	p_le_0.05	p_le_0.01	p_le_0.001	bh_0.05	bh_rate
label_permutation	0	894	0.7472035794183445	0.7158836689038032	0.6722595078299777	663	0.7416107382550335
label_permutation	1	897	0.750278706800446	0.7268673355629878	0.6800445930880713	671	0.7480490523968785
label_permutation	2	893	0.7670772676371781	0.7278835386338186	0.6920492721164614	677	0.7581187010078387
label_permutation	3	892	0.7679372197309418	0.7365470852017937	0.7006726457399103	677	0.7589686098654709
label_permutation	4	900	0.7422222222222222	0.7166666666666667	0.68	666	0.74
label_permutation	5	891	0.7519640852974186	0.7205387205387206	0.6947250280583613	665	0.7463524130190797
label_permutation	6	892	0.7466367713004485	0.7118834080717489	0.6748878923766816	660	0.7399103139013453
label_permutation	7	887	0.7485907553551296	0.7158962795941376	0.6674182638105975	657	0.7406989853438557
label_permutation	8	892	0.7533632286995515	0.7253363228699552	0.6939461883408071	665	0.7455156950672646
label_permutation	9	889	0.766029246344207	0.7289088863892014	0.6951631046119235	674	0.7581552305961755
label_permutation	10	884	0.75	0.7319004524886877	0.7047511312217195	659	0.745475113122172
label_permutation	11	894	0.7684563758389261	0.7304250559284117	0.6923937360178971	681	0.761744966442953
label_permutation	12	893	0.7446808510638298	0.7166853303471444	0.6741321388577828	661	0.7402015677491601
label_permutation	13	881	0.7514188422247446	0.717366628830874	0.6889897843359818	651	0.738933030646992
label_permutation	14	881	0.7468785471055619	0.7128263337116912	0.677639046538025	654	0.7423382519863791
label_permutation	15	896	0.7466517857142857	0.7243303571428571	0.6997767857142857	669	0.7466517857142857
wild_cluster	0	912	0.7160087719298246	0.680921052631579	0.643640350877193	649	0.7116228070175439
wild_cluster	1	912	0.7017543859649122	0.6633771929824561	0.6326754385964912	632	0.6929824561403509
wild_cluster	2	912	0.7390350877192983	0.7083333333333334	0.6644736842105263	671	0.7357456140350878
wild_cluster	3	912	0.7324561403508771	0.6918859649122807	0.6469298245614035	664	0.7280701754385965
wild_cluster	4	912	0.7269736842105263	0.6842105263157895	0.6589912280701754	649	0.7116228070175439
wild_cluster	5	912	0.7138157894736842	0.680921052631579	0.6392543859649122	647	0.7094298245614035
wild_cluster	6	912	0.7094298245614035	0.680921052631579	0.6469298245614035	636	0.6973684210526315
wild_cluster	7	912	0.7182017543859649	0.6820175438596491	0.6480263157894737	648	0.7105263157894737
wild_cluster	8	912	0.7247807017543859	0.6907894736842105	0.6600877192982456	651	0.7138157894736842
wild_cluster	9	912	0.7225877192982456	0.6842105263157895	0.6502192982456141	651	0.7138157894736842
wild_cluster	10	912	0.7291666666666666	0.6995614035087719	0.6600877192982456	658	0.7214912280701754
wild_cluster	11	912	0.7467105263157895	0.7138157894736842	0.6787280701754386	673	0.7379385964912281
wild_cluster	12	912	0.7203947368421053	0.6885964912280702	0.6535087719298246	651	0.7138157894736842
wild_cluster	13	912	0.7225877192982456	0.6907894736842105	0.6589912280701754	651	0.7138157894736842
wild_cluster	14	912	0.7094298245614035	0.6732456140350878	0.6260964912280702	638	0.6995614035087719
wild_cluster	15	912	0.7269736842105263	0.6907894736842105	0.6600877192982456	658	0.7214912280701754
