test_id	null_type	analytic_p_value	calibrated_p_value	reference_nulls	degrees_of_freedom	denominator_df_bin	fdr
ENSG00000270885.1:B1	wild_cluster	5.101699908397596e-30	0.06827309236947791	248	5	11-20	0.48379610443431414
ENSG00000284052.1:B1	wild_cluster	8.947903906793989e-11	0.59375	255	12	11-20	0.9178691678691678
ENSG00000073169.14:B1	wild_cluster	1.0137823026802889e-56	0.022598870056497175	176	22	>20	0.3753396029258098
ENSG00000073169.14:B2	wild_cluster	5.316654335699787e-44	0.04081632653061224	48	11	>20	0.4157407407407407
ENSG00000073169.14:B3	wild_cluster	2.8486401024360686e-09	0.35064935064935066	153	6	>20	0.7609161922414934
ENSG00000129646.14:B2	wild_cluster	4.553382590198365e-24	0.3401639344262295	243	20	>20	0.7463053297199639
ENSG00000129646.14:B3	wild_cluster	3.1933919624929376e-105	0.06147540983606557	243	20	>20	0.4748810153358012
ENSG00000186416.14:B2	wild_cluster	1.6002980497180374e-22	0.027624309392265192	180	8	>20	0.3814378252097271
ENSG00000086827.9:B1	wild_cluster	1.136289815890828e-05	0.7674418604651163	128	16	>20	1.0
ENSG00000086827.9:B2	wild_cluster	0.0643105593309155	0.7955801104972375	180	8	>20	1.0
ENSG00000114383.10:B1	wild_cluster	7.768148248277471e-17	0.3125	31	11	6-10	0.7372742200328407
ENSG00000114383.10:B2	wild_cluster	5.697820363547297e-56	0.25806451612903225	30	11	11-20	0.6897081413210445
ENSG00000128694.12:B1	wild_cluster	1.2705160721137177e-22	0.3684210526315789	18	32	6-10	0.7774891774891775
ENSG00000128694.12:B2	wild_cluster	0.0695969584812434	0.8587570621468926	176	8	11-20	1.0
ENSG00000142867.13:B1	wild_cluster	0.0012311632002018	0.603448275862069	173	9	11-20	0.9178691678691678
ENSG00000142867.13:B2	wild_cluster	0.7381046320985767	0.9560975609756097	409	6	11-20	1.0
ENSG00000160131.13:B1	wild_cluster	1.2250138543450197e-61	0.2605042016806723	118	30	>20	0.6941625314814354
ENSG00000160131.13:B2	wild_cluster	5.101359063222189e-55	0.01020408163265306	97	15	>20	0.344655536365381
ENSG00000170537.13:B1	wild_cluster	5.521001970679366e-06	0.5271317829457365	128	3	1-5	0.878226977894752
ENSG00000170537.13:B2	wild_cluster	0.0001750513289344	0.40816326530612246	48	2	1-5	0.7985416388777733
ENSG00000204386.10:B1	wild_cluster	6.067680013267861e-27	0.26356589147286824	128	14	11-20	0.6945915392396026
ENSG00000204386.10:B5	wild_cluster	0.2224765040074938	0.9625	79	7	11-20	1.0
ENSG00000266412.5:B2	wild_cluster	2.145503071384479e-29	0.2903225806451613	30	11	11-20	0.7142730888201504
ENSG00000009954.11:B1	wild_cluster	1.0	1.0	135	50	>20	1.0
ENSG00000023909.10:B1	wild_cluster	1.6380485896312531e-80	0.012658227848101266	78	27	11-20	0.34485407066052226
ENSG00000044524.11:B1	wild_cluster	0.0040958779114393	0.6609195402298851	173	9	11-20	0.9379447207969396
ENSG00000058056.9:B1	wild_cluster	7.84023587657442e-73	0.006493506493506494	153	6	>20	0.344655536365381
ENSG00000070831.16:B1	wild_cluster	5.475797327297612e-35	0.5233160621761658	192	46	>20	0.8779329608938549
ENSG00000080224.17:B1	wild_cluster	3.01368494134683e-59	0.281437125748503	166	47	>20	0.7127538712940628
ENSG00000085365.18:B1	wild_cluster	2.5362950309573848e-48	0.28125	31	43	11-20	0.7127538712940628
ENSG00000089248.7:B1	wild_cluster	1.6112865067336291e-81	0.041666666666666664	23	42	11-20	0.4157407407407407
ENSG00000094841.14:B1	wild_cluster	5.053404511915069e-12	0.5	1	18	1-5	0.8684719535783365
ENSG00000103150.6:B1	wild_cluster	8.983326971822352e-09	0.37142857142857144	34	25	>20	0.7774891774891775
ENSG00000104671.8:B1	wild_cluster	0.0001292725279182	0.2	204	4	11-20	0.627972027972028
ENSG00000105675.8:B1	wild_cluster	0.860676294429781	0.9395973154362416	297	2	11-20	1.0
ENSG00000106723.17:B1	wild_cluster	3.870225752992722e-53	0.4153846153846154	129	43	>20	0.8056487788669214
ENSG00000109956.13:B1	wild_cluster	9.095421215826748e-86	0.0743801652892562	120	42	>20	0.4917083854818523
ENSG00000111371.15:B1	wild_cluster	3.170563791877104e-85	0.125	7	62	>20	0.5640703517587939
ENSG00000116661.11:B1	wild_cluster	1.2198554361187783e-79	0.1509433962264151	52	60	>20	0.5753091165353322
ENSG00000117877.10:B1	wild_cluster	3.146216068613258e-09	0.5193798449612403	128	16	>20	0.8778710378196899
ENSG00000121060.18:B1	wild_cluster	1.0	1.0	4	54	1-5	1.0
ENSG00000125351.11:B1	wild_cluster	9.000414672683228e-53	0.25	3	23	>20	0.6782477341389728
ENSG00000129194.7:B1	wild_cluster	0.6469117111481683	0.7993197278911565	293	2	6-10	1.0
ENSG00000130724.8:B1	wild_cluster	4.5629598094752944e-35	0.13580246913580246	80	21	>20	0.5692704416030944
ENSG00000134748.13:B1	wild_cluster	4.18462833690726e-09	0.4631578947368421	189	19	>20	0.8421510098584141
ENSG00000135698.10:B1	wild_cluster	1.0	1.0	232	36	>20	1.0
ENSG00000137575.12:B1	wild_cluster	5.017725084258815e-25	0.75	51	25	11-20	1.0
ENSG00000139793.18:B1	wild_cluster	2.9437095990643014e-50	0.04519774011299435	176	22	>20	0.4460172595765816
ENSG00000145016.16:B1	wild_cluster	3.5444981268062e-39	0.18181818181818182	10	90	>20	0.6093318199763127
ENSG00000146425.11:B1	wild_cluster	1.704719430983268e-05	0.3170731707317073	409	6	11-20	0.7372742200328407
ENSG00000148219.16:B1	wild_cluster	1.0	1.0	88	52	>20	1.0
ENSG00000151692.15:B1	wild_cluster	1.0	1.0	136	49	>20	1.0
ENSG00000154957.14:B1	wild_cluster	9.582297430339482e-15	0.453125	255	12	11-20	0.8390047206923681
ENSG00000156508.18:B1	wild_cluster	1.0	1.0	47	49	11-20	1.0
ENSG00000158186.13:B1	wild_cluster	4.126918411306779e-97	0.018518518518518517	107	54	>20	0.3648923201950426
ENSG00000163531.15:B1	wild_cluster	1.1201707824565052e-92	0.07692307692307693	12	77	>20	0.4935760906904844
ENSG00000164070.12:B1	wild_cluster	3.826055868866226e-09	0.5983606557377049	243	20	>20	0.9178691678691678
ENSG00000164715.6:B1	wild_cluster	5.795247151581613e-29	0.25	243	20	>20	0.6782477341389728
ENSG00000165661.16:B1	wild_cluster	0.0121516493666522	0.6060606060606061	32	1	>20	0.9178691678691678
ENSG00000166454.10:B1	wild_cluster	1.0	1.0	107	54	>20	1.0
ENSG00000168395.15:B1	wild_cluster	1.0	1.0	62	56	>20	1.0
ENSG00000170571.12:B1	wild_cluster	0.0896463020084267	0.8875	79	7	11-20	1.0
ENSG00000172940.12:B1	wild_cluster	0.0109260877893303	0.49230769230769234	64	4	1-5	0.8684719535783365
ENSG00000175806.15:B1	wild_cluster	1.0	1.0	25	76	>20	1.0
ENSG00000177463.15:B1	wild_cluster	4.2096264577335305e-53	0.2857142857142857	20	63	11-20	0.7142730888201504
ENSG00000179115.11:B1	wild_cluster	5.476978138876068e-67	0.05263157894736842	18	65	11-20	0.47177207516670033
ENSG00000181222.15:B1	wild_cluster	1.148528755790848e-23	0.6323529411764706	135	50	>20	0.9246837305089733
ENSG00000182899.16:B1	wild_cluster	1.0	1.0	12	58	11-20	1.0
ENSG00000184203.8:B1	wild_cluster	9.148175242269083e-56	0.5536480686695279	232	36	>20	0.9037782544134632
ENSG00000185436.12:B1	wild_cluster	1.345266261545558e-61	0.16666666666666666	11	29	>20	0.5846354166666666
ENSG00000186812.13:B1	wild_cluster	1.0	1.0	20	63	11-20	1.0
ENSG00000188585.9:B1	wild_cluster	9.500389419131513e-14	0.07339449541284404	108	3	6-10	0.4917083854818523
ENSG00000196277.16:B1	wild_cluster	1.0	1.0	10	90	>20	1.0
ENSG00000197020.11:B1	wild_cluster	3.970996127779448e-16	0.0975609756097561	409	6	11-20	0.5408009635651913
ENSG00000198046.12:B1	wild_cluster	2.41322086400566e-59	0.3333333333333333	5	95	>20	0.7372742200328407
ENSG00000198818.10:B1	wild_cluster	0.0048121223591007	0.5146341463414634	409	6	11-20	0.8778710378196899
ENSG00000204371.11:B1	wild_cluster	1.0	1.0	2	114	11-20	1.0
ENSG00000215305.10:B1	wild_cluster	1.5696669823118222e-82	0.02702702702702703	221	44	>20	0.3814378252097271
ENSG00000225361.3:B1	wild_cluster	1.9394198222574592e-30	0.02040816326530612	97	15	>20	0.3665306122448979
ENSG00000229852.2:B1	wild_cluster	1.2651152733862373e-17	0.8067226890756303	118	30	>20	1.0
ENSG00000239911.2:B1	wild_cluster	2.1516068389838764e-23	0.08032128514056225	248	5	11-20	0.5021435228331781
ENSG00000245958.6:B1	wild_cluster	2.683913153041717e-43	0.4430379746835443	78	27	11-20	0.8358153387937454
ENSG00000251287.8:B1	wild_cluster	7.76849430820826e-23	0.625	23	22	11-20	0.9246837305089733
ENSG00000257501.6:B1	wild_cluster	0.3254543350259972	0.9302325581395349	128	3	1-5	1.0
ENSG00000262879.5:B1	wild_cluster	0.6141093803790626	0.8606060606060606	164	4	6-10	1.0
ENSG00000272288.5:B1	wild_cluster	0.0462005770655396	0.20408163265306123	293	2	6-10	0.6297776842695841
ENSG00000284642.1:B1	wild_cluster	9.42121404712502e-16	0.21359223300970873	205	12	>20	0.6393527508090615
ENSG00000099219.14:B1	wild_cluster	4.789648902577706e-63	0.1978021978021978	90	24	11-20	0.627972027972028
ENSG00000099219.14:B2	wild_cluster	3.8407095204452703e-38	0.041463414634146344	409	6	11-20	0.4157407407407407
ENSG00000099219.14:B3	wild_cluster	2.15767419710191e-09	0.2768361581920904	176	8	11-20	0.7125757662670413
ENSG00000136933.16:B1	wild_cluster	1.978552439532287e-40	0.022988505747126436	173	9	11-20	0.3753396029258098
ENSG00000136933.16:B2	wild_cluster	9.343409043682855e-06	0.2983425414364641	180	3	11-20	0.7241935483870967
ENSG00000136933.16:B3	wild_cluster	2.8108895037400728e-11	0.14390243902439023	409	6	11-20	0.5692704416030944
ENSG00000197177.15:B1	wild_cluster	5.1660364985871966e-34	0.6	244	40	>20	0.9178691678691678
ENSG00000197177.15:B2	wild_cluster	1.552234802002377e-25	0.29918032786885246	243	20	>20	0.7241935483870967
ENSG00000197177.15:B3	wild_cluster	6.342872876789293e-06	0.7090163934426229	243	20	>20	0.976528713667907
ENSG00000095713.14:B2	wild_cluster	0.0003713690759239	0.525	79	7	11-20	0.8779329608938549
ENSG00000115593.15:B1	wild_cluster	5.598908415564331e-20	0.01020408163265306	293	2	6-10	0.344655536365381
ENSG00000143756.12:B1	wild_cluster	0.0639259444689416	0.8141592920353983	112	9	>20	1.0
ENSG00000143756.12:B2	wild_cluster	1.4480835612037488e-39	0.14330218068535824	320	18	>20	0.5692704416030944
ENSG00000160948.14:B1	wild_cluster	1.0	1.0	33	53	11-20	1.0
ENSG00000160948.14:B2	wild_cluster	1.5915751607207189e-84	0.047619047619047616	20	75	>20	0.459805427547363
ENSG00000171135.14:B2	wild_cluster	0.4076771845029844	0.5669014084507042	283	1	6-10	0.91668286992028
ENSG00000184900.15:B1	wild_cluster	7.217153510512304e-54	0.11578947368421053	189	24	>20	0.5590265987549519
ENSG00000184900.15:B2	wild_cluster	1.2063972252383536e-81	0.18454935622317598	232	36	>20	0.6093318199763127
ENSG00000205363.5:B1	wild_cluster	1.4848463572980278e-49	0.21052631578947367	37	29	11-20	0.6344048039561992
ENSG00000205363.5:B2	wild_cluster	5.258081248867826e-39	0.09268292682926829	204	10	>20	0.5253766271756618
ENSG00000273899.5:B1	wild_cluster	1.0932677166260498e-99	0.005263157894736842	189	24	>20	0.344655536365381
ENSG00000273899.5:B2	wild_cluster	2.895494483876664e-105	0.0136986301369863	72	32	>20	0.34485407066052226
ENSG00000025796.14:B1	wild_cluster	1.0	1.0	99	48	>20	1.0
ENSG00000047365.12:B1	wild_cluster	1.0	1.0	4	146	>20	1.0
ENSG00000058673.16:B1	wild_cluster	1.0	1.0	46	52	11-20	1.0
ENSG00000071205.11:B1	wild_cluster	1.0228616509785067e-62	0.40404040404040403	98	35	>20	0.7956821894165871
ENSG00000075826.17:B1	wild_cluster	2.109858542618304e-60	0.2222222222222222	26	72	>20	0.6458108594030924
ENSG00000089682.16:B1	wild_cluster	6.257626789318992e-15	0.6592592592592592	134	10	11-20	0.9379447207969396
ENSG00000095261.14:B1	wild_cluster	1.2583053004667644e-14	0.15254237288135594	176	8	11-20	0.5753091165353322
ENSG00000100207.18:B1	wild_cluster	1.0	1.0	221	44	>20	1.0
ENSG00000100804.18:B1	wild_cluster	3.492046636441012e-15	0.5891472868217055	128	14	11-20	0.9178691678691678
ENSG00000104805.16:B1	wild_cluster	1.0	1.0	11	100	11-20	1.0
ENSG00000106853.20:B1	wild_cluster	3.758299088645009e-70	0.007751937984496124	128	14	11-20	0.344655536365381
ENSG00000110060.9:B1	wild_cluster	0.117727878664674	0.6055045871559633	108	3	6-10	0.9178691678691678
ENSG00000115561.16:B1	wild_cluster	4.660895619328319e-53	0.3048780487804878	81	57	>20	0.7288961038961039
ENSG00000116703.13:B1	wild_cluster	6.755825707417491e-06	0.3790322580645161	247	1	11-20	0.780667357206274
ENSG00000123240.17:B1	wild_cluster	1.982515750779382e-34	0.6611570247933884	120	42	>20	0.9379447207969396
ENSG00000125484.12:B1	wild_cluster	7.741106111042268e-06	0.8061224489795918	97	15	>20	1.0
ENSG00000130783.13:B1	wild_cluster	1.2360020696378745e-29	0.21052631578947367	18	16	6-10	0.6344048039561992
ENSG00000132326.12:B1	wild_cluster	0.8539152243292236	0.9518072289156626	248	5	11-20	1.0
ENSG00000134851.13:B1	wild_cluster	9.596437024537613e-59	0.030303030303030304	32	36	11-20	0.3814378252097271
ENSG00000135766.8:B1	wild_cluster	1.9067298209246109e-06	0.6105263157894737	189	19	>20	0.9198869657364888
ENSG00000136699.19:B1	wild_cluster	1.0	1.0	21	55	11-20	1.0
ENSG00000138642.14:B1	wild_cluster	8.520502795255108e-67	0.06349206349206349	62	32	11-20	0.4748810153358012
ENSG00000139974.15:B1	wild_cluster	1.0	1.0	36	41	11-20	1.0
ENSG00000143149.12:B1	wild_cluster	1.0	1.0	16	18	6-10	1.0
ENSG00000143921.8:B1	wild_cluster	5.1135032398184244e-08	0.22018348623853212	108	3	6-10	0.6458108594030924
ENSG00000148308.17:B1	wild_cluster	1.0	1.0	49	68	>20	1.0
ENSG00000151779.13:B1	wild_cluster	1.0	1.0	18	113	11-20	1.0
ENSG00000153317.15:B1	wild_cluster	1.3271034013644932e-54	0.4	4	147	>20	0.792935982339956
ENSG00000155090.15:B1	wild_cluster	4.748812792618709e-43	0.041463414634146344	409	6	11-20	0.4157407407407407
ENSG00000156671.14:B1	wild_cluster	1.1213890264608007e-54	0.32642487046632124	192	46	>20	0.7372742200328407
ENSG00000158301.18:B1	wild_cluster	3.964276301627596e-26	0.6271186440677966	117	26	11-20	0.9246837305089733
ENSG00000160072.19:B1	wild_cluster	1.6821203971188175e-39	0.03875968992248062	128	16	>20	0.4157407407407407
ENSG00000163596.16:B1	wild_cluster	1.0146984832690943e-93	0.06451612903225806	61	53	>20	0.4748810153358012
ENSG00000164096.13:B1	wild_cluster	1.2288364405083318e-69	0.017543859649122806	56	13	>20	0.35805422647527907
ENSG00000164841.5:B1	wild_cluster	0.2827595058756264	0.9830508474576272	176	8	11-20	1.0
ENSG00000165698.16:B2	wild_cluster	0.1756000596837268	0.6132596685082873	180	3	11-20	0.9209150206027459
ENSG00000166510.14:B1	wild_cluster	3.564658917765401e-46	0.07368421052631578	94	16	11-20	0.4917083854818523
ENSG00000167549.18:B1	wild_cluster	7.567955706542004e-14	0.45482866043613707	320	18	>20	0.8390047206923681
ENSG00000168477.19:B1	wild_cluster	5.329686891306112e-66	0.125	7	66	11-20	0.5640703517587939
ENSG00000169519.21:B1	wild_cluster	6.556348421666393e-72	0.0625	15	50	11-20	0.4748810153358012
ENSG00000170634.13:B1	wild_cluster	3.3245827809822725e-27	0.5	37	29	11-20	0.8684719535783365
ENSG00000171823.7:B1	wild_cluster	0.575755002685116	0.9365853658536586	409	6	11-20	1.0
ENSG00000173041.12:B1	wild_cluster	1.209651591308398e-23	0.8288288288288288	110	26	>20	1.0
ENSG00000174607.11:B1	wild_cluster	0.0002701360148144	0.4489795918367347	48	4	>20	0.8390047206923681
ENSG00000175985.10:B1	wild_cluster	9.31567148825912e-07	0.5121951219512195	204	10	>20	0.8778710378196899
ENSG00000177614.11:B1	wild_cluster	1.094812096455127e-98	0.030042918454935622	232	36	>20	0.3814378252097271
ENSG00000181555.20:B1	wild_cluster	7.260312948417483e-25	0.6204379562043796	136	49	>20	0.9246837305089733
ENSG00000196352.15:B1	wild_cluster	1.0	1.0	37	38	11-20	1.0
ENSG00000197106.7:B1	wild_cluster	1.4740012639268418e-66	0.11475409836065574	243	20	>20	0.5590265987549519
ENSG00000215580.11:B1	wild_cluster	2.215936526968603e-09	0.1937984496124031	128	3	1-5	0.627972027972028
ENSG00000225614.2:B1	wild_cluster	7.462585713268979e-43	0.09268292682926829	204	10	>20	0.5253766271756618
ENSG00000234745.11:B1	wild_cluster	1.0	1.0	205	12	>20	1.0
ENSG00000240344.9:B1	wild_cluster	1.1942076192360694e-05	0.20833333333333334	23	8	1-5	0.634180790960452
