test_id	block_id	gene_id	contrast	cell_type	level_a	level_b	method	latent_space	pairwise_null_seed	n_paths	n_isoforms	n_original_isoforms	n_ecs	n_samples	n_test_levels	degrees_of_freedom	median_gene_umis	statistic	lrt_p_value	bic_log_bayes_factor	null_converged	alternative_converged	null_objective	alternative_objective	alternative_observation_noise_sd	null_random_effect_sd	alternative_random_effect_sd	alternative_concentration	null_iterations	alternative_iterations	null_cavi_iterations	alternative_cavi_iterations	null_gradient_norm	alternative_gradient_norm	null_scaled_gradient_norm	alternative_scaled_gradient_norm	null_optimizer_scale	alternative_optimizer_scale	null_mode_score_norm	alternative_mode_score_norm	null_mode_steps	alternative_mode_steps	null_attempts	alternative_attempts	alternative_reused	null_warm_start	null_optimizer	alternative_optimizer	null_objective_evaluations	alternative_objective_evaluations	null_objective_evaluation_seconds	alternative_objective_evaluation_seconds	null_optimizer_seconds	alternative_optimizer_seconds
ENSMUSG00000039068.17:B1	ENSMUSG00000039068.17:B1	ENSMUSG00000039068.17	cell_type				laplace_multinomial	isoform		2	2	2	12	32	3	2	13.0	3.417005135280988	0.1811368297869834	-1.5873342983638352	True	True	815.9082679233493	814.1997653557088	0.0	0.00033546262790251185	0.00033546262790251185	inf	17	16			0.001247464789664734	0.007723833004740448	1.3752803565085383e-06	9.466545821871811e-06	907.0621737314033	815.9082679233493	2.220446049250313e-16	2.220446049250313e-16	12	12	1	1	False	default	lbfgs	lbfgs	28	21	4.397716707549989	3.908385797403753	0.0497294245287776	0.03320273011922836
ENSMUSG00000039234.12:B1	ENSMUSG00000039234.12:B1	ENSMUSG00000039234.12	cell_type				laplace_multinomial	isoform		2	3	3	6	69	5	4	16.0	0.0	1.0	-7.275172319452771	True	True	1444.577388879773	1444.577388879773	0.0	0.7994793734650392	0.7994793734650392	inf	44	0			0.008238009185690065	0.0075134002246788345	4.591657203192791e-06	5.2011060691634206e-06	1794.1254804391315	1444.577388879773	4.9960069989449934e-15	6.328272934429287e-15	12	12	1	1	False	default	lbfgs	lbfgs	52	3	4.839598610065877	4.434255045838654	0.14752055332064629	0.004775362089276314
ENSMUSG00000040479.13:B2	ENSMUSG00000040479.13:B2	ENSMUSG00000040479.13	cell_type				laplace_multinomial	isoform		3	4	4	12	187	10	18	23.0	44.72864240756826	0.0004534921323764915	-12.287007211606394	True	True	13635.284006337253	13612.91968513347	0.0	0.00035819241944786963	0.00035817696594132593	inf	69	68			0.1228458738985339	0.12718647493127125	8.774061616905039e-06	9.327746666087699e-06	14001.027034258112	13635.284006337255	2.6201263381153694e-14	4.29101199017623e-14	12	12	1	1	False	default	lbfgs	lbfgs	76	76	6.500370099209249	5.369874212890863	0.45636921282857656	0.4288176540285349
ENSMUSG00000043987.19:B1	ENSMUSG00000043987.19:B1	ENSMUSG00000043987.19	cell_type				laplace_multinomial	isoform		2	2	2	6	75	4	3	17.0	5.895410880595591	0.116811082155946	-2.3418353466264463	True	True	1548.8112551521758	1545.863549711878	0.0	0.007555538596974454	0.007553691194826509	inf	20	8			0.013881146393561696	0.008661429153197205	8.785110712762527e-06	5.5923077291598014e-06	1580.0764324342467	1548.8112551521756	2.7755575615628914e-15	1.4432899320127035e-15	12	12	1	1	False	default	lbfgs	lbfgs	26	11	4.512144876644015	4.092226762324572	0.04420965351164341	0.01859621610492468
ENSMUSG00000049321.18:B1	ENSMUSG00000049321.18:B1	ENSMUSG00000049321.18	cell_type				laplace_multinomial	isoform		2	3	3	8	20	2	1	12.0	3.8383239960962214	0.050093571176942325	0.5025553260200026	True	True	234.0983336009766	232.17917160292848	0.0	0.05253471487123744	0.798911412589278	inf	34	24			0.0021822784534714945	0.001668057037332138	5.690376925268184e-06	7.125454554389783e-06	383.50332185923605	234.09833360097664	7.771561172376096e-16	1.582067810090848e-15	12	12	1	1	False	default	lbfgs	lbfgs	44	35	6.0581317925825715	4.966575417667627	0.07979322131723166	0.05753406975418329
ENSMUSG00000053141.17:B4	ENSMUSG00000053141.17:B4	ENSMUSG00000053141.17	cell_type				laplace_multinomial	isoform		2	3	3	11	140	6	5	20.0	2.469284199296453	0.7811136596277747	-8.282014124777572	True	True	5790.270586816046	5789.035944716397	0.0	0.28888808912622477	0.24338938890219927	inf	42	39			0.05528989925662736	0.026360426883268617	9.167428180044918e-06	4.552538001123657e-06	6031.12434270049	5790.270586816044	5.88418203051333e-15	4.260480856999038e-15	12	12	1	1	False	default	lbfgs	lbfgs	46	43	5.017160512506962	4.747006876394153	0.16707141511142254	0.15937863662838936
ENSMUSG00000054640.16:B1	ENSMUSG00000054640.16:B1	ENSMUSG00000054640.16	cell_type				laplace_multinomial	isoform		3	4	4	12	185	9	16	27.0	9.884761377801624	0.872576624041236	-26.027227398362317	True	True	12334.241053765045	12329.298673076144	0.0	0.2642221449553105	0.2922571369828049	inf	25	21			0.13143374751455966	0.09911587560277918	9.086440820931059e-06	8.035830917421864e-06	14464.821826803254	12334.241053765047	3.1131781180748774e-15	1.8876501924058875e-15	12	12	1	1	False	default	lbfgs	lbfgs	35	25	5.457970242016017	5.867802545428276	0.3253016220405698	0.15071287378668785
ENSMUSG00000074794.11:B1	ENSMUSG00000074794.11:B1	ENSMUSG00000074794.11	cell_type				laplace_multinomial	isoform		2	2	2	4	10	2	1	15.0	0.23285526621441477	0.6294147263380894	-0.9232931377327105	True	True	140.9532763379584	140.8368487048512	0.0	0.0012575836731162293	0.001257440235705124	inf	22	11			0.0006115735974839794	0.0001989355556229076	4.135654188075735e-06	1.4113581520867044e-06	147.87832097937968	140.9532763379584	4.695273033220038e-16	3.3306690738754696e-16	12	12	1	1	False	default	lbfgs	lbfgs	25	14	4.258804556913674	3.6147668408229947	0.031071757897734642	0.03100523818284273
ENSMUSG00000095562.9:B2	ENSMUSG00000095562.9:B2	ENSMUSG00000095562.9	cell_type				laplace_multinomial	isoform		2	5	5	27	110	8	7	22.0	9.126706569284579	0.24368663792177855	-7.880364930570657	True	True	5563.357550942524	5558.794197657881	0.0	0.265913683468321	0.26660933988181545	inf	109	103			0.04158181110470116	0.05198120980159773	7.077173268128749e-06	9.343496139807022e-06	5875.482983009637	5563.357550942525	1.8451906669270102e-13	2.653433028854124e-13	12	12	1	1	False	default	lbfgs	lbfgs	119	113	8.153254585340619	8.138399951159954	0.9866640092805028	0.9208882078528404
ENSMUSG00000120400.1:B1	ENSMUSG00000120400.1:B1	ENSMUSG00000120400.1	cell_type				laplace_multinomial	isoform		2	3	3	5	26	3	2	13.0	0.1426103023458154	0.9311776988018592	-2.7619081928833085	True	True	234.6041378619088	234.5328327107359	0.0	0.0010406329202527031	0.0010076135569184652	inf	37	46			0.00369722076618924	0.0015033940281976225	9.640048273424686e-06	6.408216163188652e-06	383.52720456614264	234.60413786190875	1.1102230246251565e-16	2.220446049250313e-16	12	12	1	1	False	default	lbfgs	lbfgs	41	58	4.604106325656176	4.182748889550567	0.09251915663480759	0.1065563540905714
